900.1.1={ law=succ_primogeniture law=agnatic_succession
	liege="c_nettlemont"
}
6584.1.1 = { holder = 359066 } #Harras  Hoare
6605.1.1 = { holder = 360066 } #Wulfgar  Hoare
6639.1.1 = { holder = 361066 } #Harrag Hoare (NC)
6648.1.1 = { holder = 362066 } #Euron II Hoare (NC)
6671.1.1 = { holder = 363066 } #Horgan  Hoare
6692.1.1 = { holder = 3163066 } #Balon VIII Hoare (NC)

6734.1.1 = { holder = 0 }

7458.1.1 = { holder = 364066 } #Fergon  Hoare
7470.1.1 = { holder = 365066 } #Othgar I Hoare
7518.1.1 = { holder = 366066 } #Othgar II Hoare
7539.1.1 = { holder = 367066 } #Craghorn  Hoare
7547.1.1 = { holder = 368066 } #Harmund I Hoare
7598.1.1 = { holder = 369066 } #Harmund II Hoare
7612.1.1 = { holder = 370066 } #Harmund III Hoare
7615.1.1 = { holder = 371066 } #Hagon  Hoare
7622.1.1 = { holder = 0 }

7933.1.1 = { holder=11366 } # Harwyn (C)
7956.1.1 = { holder=11466 } # Harrock (nc)
7960.1.1 = { holder=11566 } # Harren (C)

#After exterminating Hoare's - Goodbrothers of Orkmont appear

7998.2.1 = { holder=111112 } # Goren (nc)
8013.1.1 = { holder=112112 } # Rodrik (nc)
8057.1.1 = { holder=113112 } # Gormond (nc)
8065.1.1 = { holder=114112 } # Wex (nc)
8102.1.1 = { holder=115112 } # Lenwood (nc)
8126.1.1 = { holder=116112 } # Werlag (nc)
8151.1.1 = { holder=117112 } # Kenned (nc)
8183.1.1 = { holder=118112 } # Loron (nc)
8210.1.1 = { holder=119112 } # Othgar (nc)
8245.1.1 = { holder=300112 } # Boremund (nc)
8289.1.1 = { holder=302112 } # Sigfryd (nc)
