7975.1.1 = { 
	holder=100600217 # Rogo (nc) 
	historical_nomad = yes
	liege=k_dothraki
}

7985.1.1 = { liege = k_essaria } #Khal temmo
7999.1.1 = { liege = 0 }

8010.1.1 = { holder=102600217 } # Ogo (nc)
8033.1.1 = { holder=107600217 } # Rhogoro (nc)
8070.1.1 = { holder=111600217 } # Mosko (nc)
8089.1.1 = { holder=112600217 } # Temmo (nc)
8093.1.1 = { holder=116600217 } # Cohollo (nc)
8121.1.1 = { holder=121600217 } # Pono (nc)
8125.1.1 = { holder=123600217 } # Zerqollo (nc)
8164.1.1 = { holder=127600217 } # Hezzo (nc)
8166.1.1 = { holder=131600217 } # Moro (nc)
8187.1.1 = { holder=135600217 } # Remekko (nc)
8237.1.1 = { holder=139600217 } # Rhogoro (nc)
8265.1.1 = { holder=142600217 } # Jasso (nc)
8290.1.1 = { liege = k_essaria } #Zekko Canon
8294.1.1 = { holder=147600217 } # Remekko (nc)

