#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCcadet.1;What will you call this new Cadet House?;Comment allez-vous appeler cette nouvelle maison cadette ?;;;¿Cómo váis a llamar a esta nueva Casa Menor?;;;;;;;;;x
EVTOPTAcadet.1;House Whitewolf;Maison Nersnow;;;Casa Whitewolf;;;;;;;;;x
EVTOPTBcadet.1;House Goldfang;Maison Orstark;;;Casa Goldfang;;;;;;;;;x
EVTOPTCcadet.1;House Dreadwolf;Maison Granstark;;;Casa Dreadwolf;;;;;;;;;x
EVTOPTDcadet.1;House Winterhold;Maison Forstark;;;Casa Winterhold;;;;;;;;;x
EVTOPTAcadet.2;House Redwyrm;Maison Rougefeu;;;Casa Redwyrm;;;;;;;;;x
EVTOPTBcadet.2;House Truedrake;Maison Dragonoyr;;;Casa Truedrake;;;;;;;;;x
EVTOPTCcadet.2;House Fyreblood;Maison Rougedragon;;;Casa Fyreblood;;;;;;;;;x
EVTOPTDcadet.2;House Goldfyre;Maison Ordragon;;;Casa Goldfyre;;;;;;;;;x
EVTOPTAcadet.3;House Silvermane;Maison Lannhill;;;Casa Silvermane;;;;;;;;;x
EVTOPTBcadet.3;House Redclaw;Maison Tylann;;;Casa Redclaw;;;;;;;;;x
EVTOPTCcadet.3;House Roaring;Maison Orlion;;;Casa Roaring;;;;;;;;;x
EVTOPTDcadet.3;House Lionford;Maison Grifferouge;;;Casa Loinford;;;;;;;;;x
EVTOPTAcadet.4;House Darksun;Maison Solnoir;;;Casa Darksun;;;;;;;;;x
EVTOPTBcadet.4;House Sunviper;Maison Vipère;;;Casa Sunviper;;;;;;;;;x
EVTOPTCcadet.4;House Blackadder;Maison Neraspic;;;Casa Blackadder;;;;;;;;;x
EVTOPTDcadet.4;House Snakespear;Maison Sandaspic;;;Casa Sankerspear;;;;;;;;;x
EVTOPTAcadet.5;House Redriver;Maison Riversaigues;;;Casa Redriver;;;;;;;;;x
EVTOPTBcadet.5;House Darkfish;Maison Nertruite;;;Casa Darkfish;;;;;;;;;x
EVTOPTCcadet.5;House Goldfish;Maison Ortruite;;;Casa Goldfish;;;;;;;;;x
EVTOPTDcadet.5;House Steeltrout;Maison Ecailles;;;Casa Steeltrout;;;;;;;;;x
EVTOPTAcadet.6;House Redwing;Maison Rougestone;;;Casa Redwing;;;;;;;;;x
EVTOPTBcadet.6;House Kestrel;Maison Oroyseau;;;Casa Kestrel;;;;;;;;;x
EVTOPTCcadet.6;House Bluebird;Maison Serrazur;;;Casa Bluebird;;;;;;;;;x
EVTOPTDcadet.6;House Skywarden;Maison Oyseaunoir;;;Casa Skywarden;;;;;;;;;x
EVTOPTAcadet.7;House Stagborn;Maison Durstorm;;;Casa Stagborn;;;;;;;;;x
EVTOPTBcadet.7;House Stormhart;Maison Biche;;;Casa Stormhart;;;;;;;;;x
EVTOPTCcadet.7;House Durrande;Maison Durrande;;;Casa Durrande;;;;;;;;;x
EVTOPTDcadet.7;House Deer;Maison Orbois;;;Casa Deer;;;;;;;;;x
EVTOPTAcadet.8;House Bloodrose;Maison Belflowers;;;Casa Bloodrose;;;;;;;;;x
EVTOPTBcadet.8;House Blackrose;Maison Rosenoyr;;;Casa Blackrose;;;;;;;;;x
EVTOPTCcadet.8;House Smallrose;Maison Orose;;;Casa Smallrose;;;;;;;;;x
EVTOPTDcadet.8;House Greenrose;Maison Neufjardin;;;Casa Greenrose;;;;;;;;;x
EVTOPTAcadet.9;House Silverink;Maison Noirpyke;;;Casa Silverink;;;;;;;;;x
EVTOPTBcadet.9;House Redjoy;Maison Rougefer;;;Casa Redjoy;;;;;;;;;x
EVTOPTCcadet.9;House Ironkraken;Maison Nerjoy;;;Casa Ironkraken;;;;;;;;;x
EVTOPTDcadet.9;House Hardman;Maison Ferjoy;;;Casa Hardman;;;;;;;;;x
EVTOPTAcadet.13;House Twinchild;Maison Jumeau;;;Casa Twinchild;;;;;;;;;x
EVTOPTBcadet.13;House Goldcross;Maison Orpont;;;Casa Goldcross;;;;;;;;;x
EVTOPTCcadet.13;House Tollbridge;Maison Frivers;;;Casa Tollbridge;;;;;;;;;x
EVTOPTDcadet.13;House Northgate;Maison Noirpont;;;Casa Northgate;;;;;;;;;x
EVTDESCcadet.10;The bond your cadet house has with its creator is thicker than water.;Le lien qu'a votre famille cadette avec la branche principale est indéfectible.;;;El vínculo que su Casa Menor tiene con la casa principal es inquebrantable.;;;;;;;;;x
EVTOPTAcadet.10;Ok;Ok;GERMAN;;Vale;;;;;;;;;x
cadet_bastard;Give a Cadet Dynasty;Créer une dynastie cadette;GERMAN;;Crear una Casa Menor para [Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal];;;;;;;;;x
cadet_bastard_desc;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] will become head of a new dynasty and is promised a title.;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] deviendra le chef d'une nouvelle dynastie et se verra promettre un titre. ;GERMAN;;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] se convertirá en el cabeza de una nueva Casa y se le promete un título.;;;;;;;;;x
EVTOPTAcadet.11;House North;Maison Nordier;GERMAN;;Casa Norte;;;;;;;;;x
EVTOPTBcadet.11;House South;Maison Sudron;GERMAN;;Casa Sur;;;;;;;;;x
EVTOPTCcadet.11;House West;Maison Ouestan;GERMAN;;Casa Este;;;;;;;;;x
EVTOPTDcadet.11;House East;Maison Estard;GERMAN;;Casa Oeste;;;;;;;;;x
legitimise_not_bastard_cadet;Acknowledge a Cadet Dynasty;Reconnaître une branche cadette;;;Reconocer una Casa Menor;;;;;;;;;x
legitimise_not_bastard_cadet;One of your kinsman was granted a cadet dynasty and its own land and name to rule. However House [From.GetOnlyDynastyName] desperately needs an heir and they can provide one...;Reconnaître une branche cadette;;;Uno de vuestros parientes recibió el derecho de fundar una Casa Menor, de dirigir sus propias tierras y de llevar su propio apellido. Sin embargo, la Casa [From.GetOnlyDynastyName] necesita desesperadamente un heredero y esta Casa Menor podría proporcionarlo...;;;;;;;;;x
EVT_DESC_cadet_15;[Root.GetTitledFirstName], I hereby grant you the honour of naming your cadet house of [Root.GetOnlyDynastyName] full and legitimate members of House [From.GetOnlyDynastyName]. In doing so you and your kin are henceforth acknowledged as rightful heirs of my house.\n\nYours\n[From.GetTitledFirstNameoftheHouse],;[From.GetTitledFirstName] de la maison [From.GetOnlyDynastyName] a reconnu notre maison comme faisant partie de la sienne !;;;[Root.GetTitledFirstName], por la presente os concedo el honor de nombrar vuestra propia Casa Menor de [Root.GetOnlyDynastyName] como legítima parte de la Casa [From.GetOnlyDynastyName]. Al hacer esto, vos y vuestros familiares seréis por lo tanto reconocidos como legítimos herederos de mi Casa.\n\nVuestro\n[From.GetTitledFirstNameoftheHouse];;;;;;;;;x
EVT_OPTA_cadet_15;We are all one!;Nous sommes un !;;;¡Todos somos uno!;;;;;;;;;x
TOOLTIPlegitimise_cadet;All members of the [Root.GetOnlyDynastyName] cadet house will be legitimised and become full members of House [From.GetOnlyDynastyName]\n;Tous les membres de cette branche cadette seront reconnus comme membres à part entière de votre dynastie.;;;Todos los miembros de la Casa Menor [Root.GetOnlyDynastyName] serán legitimados y pasarán a ser miembros de miembros de la Casa [Root.GetOnlyDynastyName]\n;;;;;;;;;x
TOOLTIPlegitimise_cadetB;All members of the [Root.GetOnlyDynastyName] cadet house will be legitimised and become full members of House [This.GetOnlyDynastyName]\n;Tous les membres de cette branche cadette seront reconnus comme membres à part entière de votre dynastie.;;;Todos los miembros de la Casa Menor [Root.GetOnlyDynastyName] serán legitimados y pasarán a ser miembros de miembros de la Casa [This.GetOnlyDynastyName]\n;;;;;;;;;x
legitimise_cadet;Legitmise Cadet House;Légitimise branche cadette;;;Casa Menor Legitimada;;;;;;;;;x
legitimise_cadet_desc; ;;;;;;;;;;;;;x
legitimise_cadet_named;Legitmise House [Root.GetOnlyDynastyName];Légitimise Maison [Root.GetOnlyDynastyName];;;Legítima Casa [Root.GetOnlyDynastyName];;;;;;;;;x
TOOLTIPlegitimise_cadetA;[From.GetTitledFirstName] is the last living member of House [From.GetOnlyDynastyName] who can inherit titles\n;[From.GetTitledFirstName] est la dernière personne en vie de la Maison [From.GetOnlyDynastyName] qui peut hériter de titres\n;;;[From.GetTitledFirstName] es el último miembro vivo de la Casa [From.GetOnlyDynastyName] que puede heredar títulos\n;;;;;;;;;x
EVT_DESC_cadet_17;To all good lords of the realm, I hereby grant my kins[legitmised_cadet.GetManWoman] [legitmised_cadet.GetTitledFirstName] the honour of naming [legitmised_cadet.GetHerHis] cadet house of [legitmised_cadet.GetOnlyDynastyName] full and legitimate members of House [cadet_legitimiser.GetOnlyDynastyName]. In doing so [legitmised_cadet.GetSheHe] and [legitmised_cadet.GetHerHis] kin are henceforth acknowledged as rightful heirs of my house.\n\nSigned\n[cadet_legitimiser.GetTitledFirstNameoftheHouse];"A tous les lords du royaume, par la présente, j'accorde à ma famille [legitmised_cadet.GetManWoman] [legitmised_cadet.GetTitledFirstName] l'honneur de reconnaître sa branche cadette sous le nom de [legitmised_cadet.GetOnlyDynastyName] ; ses membres font pleinement partie de la Maison [cadet_legitimiser.GetOnlyDynastyName]. Ainsi [legitmised_cadet.GetSheHe] et sa parentèle sont reconnus comme étant les héritiers légitimes de ma maison.\n\nSigné\n[cadet_legitimiser.GetTitledFirstName] de la Maison [cadet_legitimiser.GetOnlyDynastyName]";;;A todos los señores de mi reino, por la presento concedo a mis parientes [legitmised_cadet.GetManWoman] [legitmised_cadet.GetTitledFirstName] el honor de llamar a su Casa Menor [legitmised_cadet.GetOnlyDynastyName] miembros legítimos de la Casa [cadet_legitimiser.GetOnlyDynastyName]. Al hacer esto [legitmised_cadet.GetSheHe] y su familia serán por lo tanto reconocidos como herederos legítimos de mi Casa.\n\nFirmado\n[cadet_legitimiser.GetTitledFirstNameoftheHouse];;;;;;;;;x
EVTOPTAcadet.20;House Staine;Maison Teinte;;;Casa Staine;;;;;;;;;x
EVTOPTBcadet.20;House Bradshaw;Maison Liane;;;Casa Bradshaw;;;;;;;;;x
EVTOPTCcadet.20;House Wilkowe;Maison Loulige;;;Casa Wilkowe;;;;;;;;;x
EVTOPTAcadet.21;House Telwall;Maison Francmur;;;Casa Telwall;;;;;;;;;x
EVTOPTBcadet.21;House Stopford;Maison Poingué;;;Casa Stopford;;;;;;;;;x
EVTOPTCcadet.21;House Baille;Maison Baille;;;Casa Baille;;;;;;;;;x
EVTOPTAcadet.22;House Sable;Maison Sable;;;Casa Sable;;;;;;;;;x
EVTOPTBcadet.22;House Brinkdale;Maison Bordvallée;;;Casa Brinkdale;;;;;;;;;x
EVTOPTCcadet.22;House Morgenster;Maison Mastre;;;Casa Morgenster;;;;;;;;;x
EVTOPTAcadet.23;House Elleston;Maison Pierrine;;;Casa Elleston;;;;;;;;;x
EVTOPTBcadet.23;House Lindby;Maison Parilleul;;;Casa Lindby;;;;;;;;;x
