harass_tactic_very_bad;Failed Harassment;Harcèlement échoué;;;Hostigamiento Fallido;;;;;;;;;x
volly_harass_tactic_very_bad;Failed Harassment & Volley;Harcèlement et volée échoués;;;Hostigamiento y Descarga Fallidos;;;;;;;;;x
volly_tactic_very_bad;Failed Volley;Volée échouée;;;Descarga Fallida;;;;;;;;;x
swarm_volly_tactic_very_bad;Failed Swarm & Volley;Nuée et volée échouées;;;Descarga y Enjambre Fallidos;;;;;;;;;x
swarm_tactic_very_bad;Failed Dothraki Swarm;Nuée Dothraki échouée;;;Enjambre Dothraki Fallido;;;;;;;;;x
harras_swarm_tactic_very_bad;Failed Harassment & Swarm;Harcèlement et nuée échoués;;;Hostigamiento y Enjambre Fallidos;;;;;;;;;x
shieldwall_tactic_very_bad;Failed Shieldwall;Mur de bouclier échoué;;;Muro de escudos Fallido;;;;;;;;;x
feint_tactic_very_bad;Failed Feint;Feinte échouée;;;Finta Fallida;;;;;;;;;x
prepare_tactic_very_bad;Failed Preparation;Préparation échouée;;;Preparación Fallida;;;;;;;;;x
charge_of_opportunity_tactic_very_bad;Failed Charge of Opportunity;Charge d'opportunité échouée;;;Carga de Oportunidad Fallida;;;;;;;;;x
charge_tactic_very_bad;Failed Charge;Charge échouée;;;Carga Fallida;;;;;;;;;x
wait_tactic_very_bad;Failed Caution;Prudence échouée;;;Precaución Fallida;;;;;;;;;x
advance_tactic_very_bad;Failed Infantry Advance;Avancée d'infanterie échouée;;;Avance de Infantería Fallido;;;;;;;;;x
awesome_advance_tactic_very_bad;Failed Cavalry Advance;Avancée de cavalerie échouée;;;Avance de Caballería Fallido;;;;;;;;;x
stand_fast_tactic_very_bad;Failed Last Stand;Dernier carré échoué;;;Última Defensa Fallida;;;;;;;;;x
slow_advance_tactic_very_bad;Failed Slow Advance;Avancée lente échouée;;;Avance Lento Fallido;;;;;;;;;x
awesome_charge_tactic_very_bad;Failed Cavalry Charge;Charge de cavalerie échouée;;;Carga de Caballería Fallida;;;;;;;;;x
awesomer_charge_tactic_very_bad;Failed Full Charge;Pleine charge échouée;;;Carga Total Fallida;;;;;;;;;x
barrage_tactic_very_bad;Failed Barrage;Barrage échoué;;;Cortina de fuego Fallida;;;;;;;;;x
raid_tactic_very_bad;Failed Raid;Raid échoué;;;Incursión Fallida;;;;;;;;;x
harass_tactic_bad;Botched Harassment;Harcèlement raté;;;Hostigamiento Pifiado;;;;;;;;;x
volly_harass_tactic_bad;Botched Harassment & Volley;Harcèlement et volée ratés;;;Hostigamiento y Descarga Pifiado;;;;;;;;;x
volly_tactic_bad;Botched Volley;Volée ratée;;;Descarga Pifiada;;;;;;;;;x
swarm_volly_tactic_bad;Botched Swarm & Volley;Nuée et volée ratées;;;Descarga y Enjambre Pifiados;;;;;;;;;x
swarm_tactic_bad;Botched Dothraki Swarm;Nuée Dothraki échouée;;;Enjambre Dothraki Pifiado;;;;;;;;;x
harras_swarm_tactic_bad;Botched Harassment & Swarm;Harcèlement et nuée ratés;;;Hostigamiento y Enjambre Pifiados;;;;;;;;;x
shieldwall_tactic_bad;Botched Shieldwall;Mur de bouclier raté;;;Muro de escudos Pifiado;;;;;;;;;x
feint_tactic_bad;Botched Feint;Feinte ratée;;;Finta Pifiada;;;;;;;;;x
prepare_tactic_bad;Botched Preparation;Préparation raté;;;Preparación Pifiada;;;;;;;;;x
charge_of_opportunity_tactic_bad;Botched Charge of Opportunity;Charge d'opportunité ratée;;;Carga de Oportunidad Pifiada;;;;;;;;;x
charge_tactic_bad;Botched Charge;Charge ratée;;;Carga Pifiada;;;;;;;;;x
wait_tactic_bad;Botched Caution;Prudence ratée;;;Precaución Pifiada;;;;;;;;;x
advance_tactic_bad;Botched Infantry Advance;Avancée d'infanterie ratée;;;Avance de Infantería Pifiado;;;;;;;;;x
awesome_advance_tactic_bad;Botched Cavalry Advance;Avancée de cavalerie ratée;;;Avance de Caballería Pifiada;;;;;;;;;x
stand_fast_tactic_bad;Botched Last Stand;Dernier carré raté;;;Última Defensa Pifiada;;;;;;;;;x
slow_advance_tactic_bad;Botched Slow Advance;Avancée lente ratée;;;Avance Lento Pifiado;;;;;;;;;x
awesome_charge_tactic_bad;Botched Cavalry Charge;Charge de cavalerie ratée;;;Carga de Caballería Pifiada;;;;;;;;;x
awesomer_charge_tactic_bad;Botched Full Charge;Pleine charge ratée;;;Carga Total Pifiada;;;;;;;;;x
barrage_tactic_bad;Botched Barrage;Barrage raté;;;Cortina de fuego Pifiada;;;;;;;;;x
raid_tactic_bad;Botched Raid;Raid raté;;;Incursión Pifiada;;;;;;;;;x
harass_tactic_normal;Classic Harassment;Harcèlement classique;;;Hostigamiento Clásico;;;;;;;;;x
volly_harass_tactic_normal;Classic Harassment & Volley;Harcèlement et volée classiques;;;Hostigamiento y Descarga Clásicos;;;;;;;;;x
volly_tactic_normal;Classic Volley;Volée classique;;;Descarga Clásica;;;;;;;;;x
swarm_volly_tactic_normal;Classic Swarm & Volley;Nuée et volée classiques;;;Descarga y Enjambre Clásicos;;;;;;;;;x
swarm_tactic_normal;Classic Dothraki Swarm;Nuée Dothraki classique;;;Enjambre Dothraki Clásico;;;;;;;;;x
harras_swarm_tactic_normal;Classic Harassment & Swarm;Harcèlement et nuée classiques;;;Hostigamiento y Enjambre Clásicos;;;;;;;;;x
shieldwall_tactic_normal;Classic Shieldwall;Mur de bouclier classique;;;Muro de escudos Clásico;;;;;;;;;x
feint_tactic_normal;Classic Feint;Feinte classique;;;Finta Clásica;;;;;;;;;x
prepare_tactic_normal;Classic Preparation;Préparation classique;;;Preparación Clásica;;;;;;;;;x
charge_of_opportunity_tactic_normal;Classic Charge of Opportunity;Charge d'opportunité classique;;;Carga de Oportunidad Clásica;;;;;;;;;x
charge_tactic_normal;Classic Charge;Charge classique;;;Carga Clásica;;;;;;;;;x
wait_tactic_normal;Classic Caution;Prudence classique;;;Precaución Clásica;;;;;;;;;x
advance_tactic_normal;Classic Infantry Advance;Avancée d'infanterie classique;;;Avance de Infantería Clásico;;;;;;;;;x
awesome_advance_tactic_normal;Classic Cavalry Advance;Avancée de cavalerie classique;;;Avance de Caballería Clásico;;;;;;;;;x
stand_fast_tactic_normal;Classic Last Stand;Dernier carré classique;;;Última Defensa Clásica;;;;;;;;;x
slow_advance_tactic_normal;Classic Slow Advance;Avancée lente classique;;;Avance Lento Clásico;;;;;;;;;x
awesome_charge_tactic_normal;Classic Cavalry Charge;Charge de cavalerie classique;;;Carga de Caballería Clásica;;;;;;;;;x
awesomer_charge_tactic_normal;Classic Full Charge;Pleine charge classique;;;Carga Total Clásica;;;;;;;;;x
barrage_tactic_normal;Classic Barrage;Barrage classique;;;Cortina de fuego Clásica;;;;;;;;;x
raid_tactic_normal;Classic Raid;Raid classique;;;Incursión Clásica;;;;;;;;;x
harass_tactic_good;Impressive Harassment;Harcèlement impressionnant;;;Hostigamiento Impresionante;;;;;;;;;x
volly_harass_tactic_good;Impressive Harassment & Volley;Harcèlement et volée impressionnants;;;Hostigamiento y Descarga Impresionantes;;;;;;;;;x
volly_tactic_good;Impressive Volley;Volée impressionnantes;;;Descarga Impresionante;;;;;;;;;x
swarm_volly_tactic_good;Impressive Swarm & Volley;Nuée et volée impressionnantes;;;Descarga y Enjambre Impresionantes;;;;;;;;;x
swarm_tactic_good;Impressive Dothraki Swarm;Nuée Dothraki impressionnante;;;Enjambre Dothraki Impresionante;;;;;;;;;x
harras_swarm_tactic_good;Impressive Harassment & Swarm;Harcèlement et nuée impressionants;;;Hostigamiento y Enjambre Impresionantes;;;;;;;;;x
shieldwall_tactic_good;Impressive Shieldwall;Mur de boucliers impressionant;;;Muro de escudos Impresionante;;;;;;;;;x
feint_tactic_good;Impressive Feint;Feinte impressionnante;;;Finta Impresionante;;;;;;;;;x
prepare_tactic_good;Impressive Preparation;Préaparation impressionnante;;;Preparación Impresionante;;;;;;;;;x
charge_of_opportunity_tactic_good;Impressive Charge of Opportunity;Charge d'opportunité impressionnante;;;Carga de Oportunidad Impresionante;;;;;;;;;x
charge_tactic_good;Impressive Charge;Charge impressionnante;;;Carga Impresionante;;;;;;;;;x
wait_tactic_good;Impressive Caution;Prudence impressionnante;;;Precaución Impresionante;;;;;;;;;x
advance_tactic_good;Impressive Infantry Advance;Avancée d'infanterie impressionnante;;;Avance de Infantería Impresionante;;;;;;;;;x
awesome_advance_tactic_good;Impressive Cavalry Advance;Avancée de cavalerie impressionante;;;Avance de Caballería Impresionante;;;;;;;;;x
stand_fast_tactic_good;Impressive Last Stand;Dernier carré impressionnant;;;Última Defensa Impresionante;;;;;;;;;x
slow_advance_tactic_good;Impressive Slow Advance;Avancée lente impressionnante;;;Avance Lento Impresionante;;;;;;;;;x
