poor_warrior;Poor Fighter;Mauvais combattant;;;Luchador Malo;;;;;;;;;x
trained_warrior;Trained Fighter;Combattant entraîné;;;Luchador Entrenado;;;;;;;;;x
skilled_warrior;Skilled Fighter;Combattant talentueux;;;Luchador Habilidoso;;;;;;;;;x
master_warrior;Formidable Fighter;Combattant formidable;;;Luchador Formidable;;;;;;;;;x
poor_warrior_desc;This character understands the basics of combat, but is sloppy, overconfident, and inexperienced.;Ce personnage comprend les bases du combat, mais il est négligent, présomptueux et inexpérimenté.;;;Este personaje entiende las bases del combate, pero es descuidado, muestra exceso de confianza y es inexperto.;;;;;;;;;x
trained_warrior_desc;This character has received training in the art of combat. While no master, they can hold their own in a fight.;Ce personnage a suivit un entrainement aux arts de la guerre. S'il n'est pas un maître, il peut se débrouiller dans un combat.;;;Este personaje ha recibido entrenamiento en el arte del combate. No es un maestro, pero se desenreda decentemente en una pelea.;;;;;;;;;x
skilled_warrior_desc;This character possesses a certain talent for battle and swordplay.;Ce personnage possède un certain talent pour les batailles et les duels à l'épée.;;;Este personaje posee cierto talento para la batalla y el manejo de la espada.;;;;;;;;;x
master_warrior_desc;This character is one of the greatest warriors in the known world, favored by the gods and dreaded on the battlefield.;Ce personnage est l'une des plus fines lames de Westeros, il est favorisé par les dieux et redouté sur le champs de bataille. ;;;Este personaje es uno de los grandes guerreros del mundo conocido, favorecido por los dioses y temido en el campo de batalla.;;;;;;;;;x
EVTDESCcombat_trait.1;You asked [Root.Educator.GetTitledFirstName] to teach you how to fight better with a sword.;Vous demandez à [Root.Educator.GetTitledFirstName] de vous apprendre à mieux vous battre avec une épée. ;;;Le habéis pedido a [Root.Educator.GetTitledFirstName] que os enseñe a luchar mejor con la espada;;;;;;;;;x
EVTOPTAcombat_trait.1;Stick 'em with the pointy end!;Frappez-les d’estoc. ;;;¡Ensártalos con la punta!;;;;;;;;;x
#EVTDESC550101;You asked [Root.Educator.GetTitledFirstName] to teach you how to fight even better with a sword.;Vous demandez à [Root.Educator.GetTitledFirstName] de vous apprendre à mieux vous battre avec une épée. ;;;Le habéis pedido a [Root.Educator.GetTitledFirstName] que os enseñe a luchar mejor con la espada;;;;;;;;;x
#EVTDESC550103;You want [Root.Educator.GetTitledFirstName] to help you TRULY master the art of swordmanship!;Vous voulez que [Root.Educator.GetTitledFirstName]vous aide à vraiment maîtriser l'art du combat à l'épée ! ;;;¿¡Queréis que [Root.Educator.GetTitledFirstName] os entrene para ser un auténtico maestro con la espada!?;;;;;;;;;x
EVTDESCcombat_trait.2;Under my guidance, my young [From.GetRootRelation], [From.GetFirstName], is slowly mastering the art of swordsmanship.;Grâce à mes conseils, mon jeune [From.GetRootRelation], [From.GetFirstName], commence lentement à maîtriser l'art du combat à l'épée.;;;Gracias a mis consejos, mi joven [From.GetRootRelation], [From.GetFirstName], comienza lentamente a aprender el arte del combate con espadas.;;;;;;;;;x
EVTDESCcombat_trait.3;My [From.GetRootRelation] has not improved [From.GetHerHis] swordsmanship skills during [From.GetHerHis] training...;Les talents à l'épée de mon(a) [From.GetRootRelation] ne se sont pas améliorés malgré l'entraînement… ;;;La habilidad con la espada de mi [From.GetFromRelation] no mejora a pesar del entrenamiento...;;;;;;;;;x
EVT_OPT_combat_trait.3_ambitious;[From.GetSheHeCap] show lots of ambition despite this;Cependant [From.GetSheHe] montre beaucoup d'ambition.;;;Aún así [From.GetSheHe] muestra gran ambición.;;;;;;;;;x
EVT_OPT_combat_trait.3_slothful;[From.GetSheHeCap] doesn't even seem to be trying;Et [From.GetSheHe] ne semble même pas essayer.;;;[From.GetSheHe] ni siquiera lo está intentando.;;;;;;;;;x
EVT_OPT_combat_trait.3_brave;But [From.GetHerHis] bravery is clear;Mais [From.GetSheHe] est brave.;;;Pero su valentía es evidente.;;;;;;;;;x
EVT_OPT_combat_trait.3_ruthless;Yet, [From.GetSheHe] seems prepared and eager to improve;Mais [From.GetSheHe] semble prêt(e) à tout pour s'améliorer. ;;;Aún así, [From.GetElElla] parece estar dispuest[From.GetOA] a todo para mejorar.;;;;;;;;;x
EVT_OPT_combat_trait.3_intrigue;[From.GetSheHeCap] seems to be a cunning fighter though;[From.GetSheHeCap] semble être un combattant rusé.;;;[From.GetSheHe] parece un luchador astuto.;;;;;;;;;x
EVT_OPT_combat_trait.3_maimed;Worse, [From.GetSheHe] fell from [From.GetHerHis] horse and is grievously injured;Pire encore, [From.GetSheHe] est tomb é de cheval et s'est grièvement blessé.;;;Peor aún, [From.GetSheHe] se cayó del caballo y está gravemente herido.;;;;;;;;;x
EVT_OPT_combat_trait.3_wounded;Even worse, you were over-zealous and injured your [From.GetRootRelation];Pire encore, vous avez montré trop de zèle et avez blessé votre [From.GetFromRelation].;;;Peor aún, habéis sido demasiado entusiasta y habéis herido a vuestr[From.GetOA] [From.GetFromRelation].;;;;;;;;;x
EVT_OPT_combat_trait.3_diligent;Even though [From.GetSheHe] has not improved, [From.GetSheHe] show lots of determination;Bien qu'[From.GetSheHe] n'est pas progressé, [From.GetSheHe] a montré une grande ambition.;;;A pesar de que [From.GetSheHe] no ha progresado, [From.GetSheHe] ha demostrado una gran ambición.;;;;;;;;;x
EVT_OPT_combat_trait.3_no_progress;Maybe next time [From.GetSheHe] will improve;Peut-être que la prochaine fois [From.GetSheHe] s'améliorera.;;;Quizá la próxima vez [From.GetSheHe] mejorará.;;;;;;;;;x
EVT_OPT_combat_trait.3_homosexual;[From.GetSheHeCap] seems to be enjoying the training a little too much...;Pour l'instant [From.GetSheHe] semble un peu trop apprécier l'entraînement…;;;Parece que [From.GetSheHe] disfuta demasiado del entrenamiento...;;;;;;;;;x
EVT_OPT_combat_trait.3_stewardship;Instead [From.GetSheHe] is more interested in the cost of the armour;[From.GetSheHeCap] semble plus interessé par le coût de l'armure.;;;[From.GetSheHeCap] parece más interesad[From.GetOA] en el coste de la armadura.;;;;;;;;;x
EVTDESCcombat_trait.4;I didn't manage to improve my swordsman skills!;Je ne suis pas parvenu à améliorer mes talents à l'épée !;;;¡No conseguí mejorar mi habilidad con la espada!;;;;;;;;;x
EVT_OPT_combat_trait.4;Maybe next time I shall!;Peut-être que j'y parviendrai la prochaine fois. ;;;Tal vez lo logre la próxima vez.;;;;;;;;;x
EVTDESCcombat_trait.5;By forcing my [From.GetRootRelation] to fight, I made [From.GetHerHim] a better [From.GetManWoman]!;En forçant mon(a) [From.GetRootRelation] à se battre, j'en ai fait un(e) meilleur(e) [From.GetManWoman]!;;;¡Forzando a mi [From.GetFromRelation] a luchar, le hice mejor [From.GetManWoman]!;;;;;;;;;x
EVT_OPT_combat_trait.5_ruthless;Yet [From.GetSheHe] seems to be willing to do anything to win;Pour l'instant [From.GetSheHe] semble vouloir tout faire pour l'emporter.;;;De momento [From.GetSheHe] parece ser capaz de todo por ganar.;;;;;;;;;x
EVT_OPT_combat_trait.5_brave;And [From.GetSheHe] shows considerable bravery;Et [From.GetSheHe] fait montre d'une grande bravoure.;;;Y [From.GetSheHe] muestra una gran valentía.;;;;;;;;;x
EVT_OPT_combat_trait.5_wroth;However, [From.GetSheHe] resents your insistence on training;Cependant, [From.GetSheHe] vous en veut d'être aussi exigeant(e). ;;;Sin embargo, [From.GetSheHe] se ofende por vuestra insistencia en el entrenamiento.;;;;;;;;;x
