#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_dosh_khaleen;The Dosh Khaleen;Le Dosh Khaleen;;;El Dosh Khaleen;;;;;;;;;x
CRONE;Dosh Khaleen;Dosh Khaleen;;;Dosh Khaleen;;;;;;;;;x
CRONE_FOA;Khaleesi;Khaleesi;;;Khaleesi;;;;;;;;;x
k_dothraki;The Dothraki;Le Dothraki;;;Los Dothraki;;;;;;;;;x
e_khalasar;The Dothraki Sea;La Mer Dothrak;;;El Mar Dothraki;;;;;;;;;x
e_khalasar_adj;Dothraki;Dothraki;;;Dothraki;;;;;;;;;x
k_dothraki;The Dothraki;Le Dothraki;;;Los Dothraki;;;;;;;;;x
k_dothraki_adj;Dothraki;Dothraki;;;Dothraki;;;;;;;;;x
k_ifeqevron;The Ifeqevron;L'Ifeqevron;;;Los Ifequevron;;;;;;;;;x
k_ifeqevron_adj;Ifeqevron;Ifeqevron;;;Ifequevron;;;;;;;;;x
nomadic_emperor_dothraki;Khal;Khal;;;Gran Khal;;;;;;;;;x
nomadic_emperor_female_dothraki;Khaleesi;Khaleesi;;;Gran Khaleesi;;;;;;;;;x
nomadic_emperor_foa_dothraki;Great Khal;Grand Khal;;;Gran Khal;;;;;;;;;x
nomadic_emperor_foa_female_dothraki;Khaleesi;Khaleesi;;;Gran Khaleesi;;;;;;;;;x
nomadic_emperor_title_ruler_consort_dothraki;Khal;Khal;;;Gran Khal;;;;;;;;;x
nomadic_emperor_title_ruler_consort_female_dothraki;Khaleesi;Khaleesi;;;Khaleesi;;;;;;;;;x
nomadic_emperor_title_queen_mother_female_dothraki;Dosh Khaleen;Dosh Khaleen;;;Dosh Khaleen;;;;;;;;;x
nomadic_empire_dothraki;Khalasar;Khalasar;;;Gran Khalasar;;;;;;;;;x
nomadic_empire_of_dothraki;Khalasar of;Khalasar de;;;Gran Khalasar de;;;;;;;;;x
nomadic_title_prince_dothraki;Khalakka;Khalakka;;;Khalakka;;;;;;;;;x
nomadic_title_prince_female_dothraki;Khalakki;Khalakki;;;Khalakki;;;;;;;;;x
nomadic_title_prince_AGOT_dothraki;Khalakka;Khalakka;;;Khalakka;;;;;;;;;x
nomadic_title_prince_AGOT_female_dothraki;Khalakki;Khalakki;;;Khalakki;;;;;;;;;x
nomadic_king_dothraki;Ko;Ko;;;Khal;;;;;;;;;x
nomadic_king_female_dothraki;Ka;Ka;;;Khaleesi;;;;;;;;;x
nomadic_king_foa_dothraki;My Ko;Mon Ko;;;Khal;;;;;;;;;x
nomadic_king_foa_female_dothraki;My Ka;Ma Ka;;;Khaleesi;;;;;;;;;x
nomadic_king_title_ruler_consort_dothraki;Ko;Ko;;;Khal;;;;;;;;;x
nomadic_king_title_ruler_consort_female_dothraki;Ka;Ka;;;Khaleesi;;;;;;;;;x
nomadic_kingdom_dothraki;Khas;Khas;;;Khalasar;;;;;;;;;x
nomadic_kingdom_of_dothraki;Khas of;Khas de;;;Khalasar de;;;;;;;;;x
nomadic_duke_dothraki;Ko;Ko;;;Khas;;;;;;;;;x
