#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;
#Historical;;;;;;;;;;;;;;x;;;;
nick_black_dread;the Black Dread;la Terreur Noire;;;el Terror Negro;;;;;;;;;x;;;;
nick_blood_wyrm;the Blood Wyrm;le Ver Sanglant;;;el Guiverno de Sangre;;;;;;;;;x;;;;
nick_red_queen;the Red Queen;la Reine Rouge;;;la Reina Roja;;;;;;;;;x;;;;
nick_golden;the Golden;le Doré;;;el Dorado;;;;;;;;;x;;;;
nick_blue_queen;the Blue Queen;la Reine Bleue;;;la Reina Azul;;;;;;;;;x;;;;
nick_bronze_fury;the Bronze Fury;la Furie d'Airain;;;la Furia de Bronce;;;;;;;;;x;;;;
nick_sea_dragon;the Sea Dragon;la Dragonne des Mers;;;el Dragón Marino;;;;;;;;;x;;;;
#Random;;;;;;;;;;;;;;x;;;;
nick_red_dread;the Red Dread;la Terreur Rouge;;;el Terror Rojo;;;;;;;;;x;;;;
nick_white_dread;the White Dread;la Terreur Blanche;;;el Terror Blanco;;;;;;;;;x;;;;
nick_yellow_dread;the Yellow Dread;la Terreur Jaune;;;el Terror Amarillo;;;;;;;;;x;;;;
nick_blazing_fire;the Blazing Fire;le Feu Ardent;;;el Fuego Ardiente;;;;;;;;;x;;;;
nick_shining_light;the Shining Light;la Lumière Éclatante;;;la Luz Brillante;;;;;;;;;x;;;;
nick_red_fury;the Red Fury;la Furie Rouge;;;la Furia Roja;;;;;;;;;x;;;;
nick_shining_queen;the Shining Queen;la Reine Éclatante;;;la Reina Brillante;;;;;;;;;x;;;;
nick_destroyer;the Destroyer;le Destructeur;;;el Destructor;;;;;;;;;x;;;;
nick_black_fire;the Black Fire;le Feu Noir;;;el Fuego Negro;;;;;;;;;x;;;;
nick_red_fire;the Red Fire;le Feu Rouge;;;el Fuego Rojo;;;;;;;;;x;;;;
nick_white_fire;the White Fire;le Feu Blanc;;;el Fuego Blanco;;;;;;;;;x;;;;
nick_yellow_fire;the Yellow Fire;le Feu Jaune;;;el Fuego Amarillo;;;;;;;;;x;;;;
nick_snake;the Snake;le Serpent;;;la Serpiente;;;;;;;;;x;;;;
nick_blood_fire;the Blood Fire;le Feu Sanglant;;;el Fuego de Sangre;;;;;;;;;x;;;;
nick_dark_eyes;the Dark Eyes;l'Œil Noir;;;el Ojos Oscuros;;;;;;;;;x;;;;
nick_dark_fire;the Dark Fire;le Feu Obscur;;;el Fuego Oscuro;;;;;;;;;x;;;;
nick_shadow;the Shadow;l'Ombre;;;la Sombra;;;;;;;;;x;;;;
nick_colour;the [This.GetDragonColour];;;;el [This.GetDragonColour];;;;;;;;;;;;;x
nick_colour_dread;the [This.GetDragonColour] Dread;;;;El Terror [This.GetDragonColour];;;;;;;;;;;;;x
nick_colour_flame;the [This.GetDragonColour] Flame;;;;La Llama [This.GetDragonColour];;;;;;;;;;;;;x
nick_colour_fire;the [This.GetDragonColour] Fire;;;;el Fuego [This.GetDragonColour];;;;;;;;;;;;;x
nick_colour_king;the [This.GetDragonColour] King;;;;el Rey [This.GetDragonColour];;;;;;;;;;;;;x
nick_colour_queen;the [This.GetDragonColour] Queen;;;;la Reina [This.GetDragonColour];;;;;;;;;;;;;x
nick_colour_beast;the [This.GetDragonColour] Beast;;;;la Bestia [This.GetDragonColour];;;;;;;;;;;;;x
nick_colour_whip;the [This.GetDragonColour] Whip;;;;el Azote [This.GetDragonColour];;;;;;;;;;;;;x
nick_colour_scale;[This.GetDragonColour]scale;;;;Escama [This.GetDragonColour];;;;;;;;;;;;;x
nick_colour_wing;[This.GetDragonColour]wing;;;;Ala [This.GetDragonColour];;;;;;;;;;;;;x
nick_colour_fury;the [This.GetDragonColour] Fury;;;;la Furia [This.GetDragonColour];;;;;;;;;;;;;x
nick_the_furious;the Furious;;;;el Furioso;;;;;;;;;;;;;x
nick_the_elusive;the Elusive;;;;el Esquivo;;;;;;;;;;;;;x
nick_the_splendid;the Splendid;;;;el Espléndido;;;;;;;;;;;;;x
nick_the_smouldering;the Smouldering;;;;el Ardiente;;;;;;;;;;;;;x
nick_the_sly;the Sly;;;;el Astuto;;;;;;;;;;;;;x
nick_the_diabolical;the Diabolical;;;;el Diabólico;;;;;;;;;;;;;x
nick_the_bloody;the Bloody;;;;el Sangriento;;;;;;;;;;;;;x
nick_the_doombringer;the Doombringer;;;;el Portador de Fatalidad;;;;;;;;;;;;;x
nick_the_ravager;the Ravager;;;;el Saqueador;;;;;;;;;;;;;x
nick_the_light_claw;the Light Claw;;;;la Garra Rápida;;;;;;;;;;;;;x
nick_the_dark_eye;the Dark Eye;;;;el Ojo Oscuro;;;;;;;;;;;;;x
nick_the_ravenous;the Ravenous;;;;el Voraz;;;;;;;;;;;;;x
nick_the_baleful;the Baleful;;;;el Siniestro;;;;;;;;;;;;;x
nick_the_lazy;the Lazy;;;;el Perezoso;;;;;;;;;;;;;x
nick_the_ghost;the Ghost;;;;el Fantasma;;;;;;;;;;;;;x
nick_colour_ghost;the [This.GetDragonColour] Ghost;;;;el Fantasma [This.GetDragonColour];;;;;;;;;;;;;x
