#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCfar_east.1;The Shadowmen are a constant blight on your lands, forever stepping out of line and encroaching into your territory with their raids. Their most recent raid was more daring than usual, they ventured deeper into your lands and stole crops and materials from the [Root.GetPeasantNamePlural], captured many of the women and even killed some guards. They must be taught a lesson.;;;;;;;;;;;;;x
EVTOPTAfar_east.1;I cannot defend every peasant, we must let it slide this time.;;;;;;;;;;;;;x
EVTOPTBfar_east.1;The best offence is a good defence, we should fortify our vulnerabilities;;;;;;;;;;;;;x
TOOLTIPfar_east.2A;The raiders return and are halted by your defences.;;;;;;;;;;;;;x
TOOLTIPfar_east.2B;The raiders return and break through your defences.;;;;;;;;;;;;;x
TOOLTIPfar_east.2C;The raiders do not return.;;;;;;;;;;;;;x
EVTOPTCfar_east.1;I will personally lead an attack against them;;;;;;;;;;;;;x
TOOLTIPfar_east.3;You shall set out to attack the Shadowmen;;;;;;;;;;;;;x
EVTOPTDfar_east.1;My [Root.GetMyMarshalName] shall teach them to not return;;;;;;;;;;;;;x
TOOLTIPfar_east.5;Your [Root.GetMyMarshalName], [Root.job_marshal.GetTitledFirstName], sets out to attack the Shadowmen;;;;;;;;;;;;;x
EVTDESCAfar_east.2;It has been a while since the Shadowmen have dared to raid deep into your lands again, but emboldened by their recent victory they once again attack. This time they are met by the superior defences you had constructed after the last time and they succeed in halting the attackers, unable to break through many of the raiders die before their leader finally calls for them to retreat.;;;;;;;;;;;;;x
EVTDESCBfar_east.2;It has been a while since the Shadowmen have dared to raid deep into your lands again, but emboldened by their recent victory they once again attack. This time they are met by the superior defences you had constructed after the last time yet they manage to find a weak point! Once again they steal and murder their way through your land...;;;;;;;;;;;;;x
EVTOPTCfar_east.2;It has been a while since the Shadowmen mounted their raid deep into your lands, it seems they are for the moment satisfied with their loot from the last attack. Whilst this is good as it means your [Root.GetPeasantNamePlural] are safe, it also means all the gold you spend fortifying your defences has been wasted...;;;;;;;;;;;;;x
EVTOPTAfar_east.2;Take that you vile brigands!;;;;;;;;;;;;;x
EVTOPTBfar_east.2;What a waste...;;;;;;;;;;;;;x
EVTOPTCfar_east.2;Hopefully they never return;;;;;;;;;;;;;x
EVTDESCfar_east.3;You and your men have successfully tracked and closed in on the camp that the raiders from the Shadowlands have made. You can see a few peasant women being held captive and cattle stolen from the farms. Now is the time to strike...;;;;;;;;;;;;;x
EVTOPTAfar_east.3;Charge!!!;;;;;;;;;;;;;x
EVTOPTBfar_east.3;We should sneak our way into their camp;;;;;;;;;;;;;x
TOOLTIPfar_east.4A;The attack is a success.;;;;;;;;;;;;;x
TOOLTIPfar_east.4B;The attack is repelled.;;;;;;;;;;;;;x
EVTDESCAfar_east.4;You and your men approach the camp and all is silent until the screams of your troops as you charge, switfly followed by the screams of the Shadowmen as they are killed. As the screams continue off into the night you and your men set off home with all that was stolen, the night has been good.;;;;;;;;;;;;;x
EVTDESCBfar_east.4;You and your men approach the camp and all is silent until the screams of your troops as you charge, switfly followed by the screams of your troops as the Shadowmen fell them one by one. Seeing that all is lost you order the retreat, you have lost a lot this night. But the next time you shall be ready.;;;;;;;;;;;;;x
EVTOPTAfar_east.4;That will show them not to trifle with us!;;;;;;;;;;;;;x
EVTOPTBfar_east.4;This is terrible!;;;;;;;;;;;;;x
EVTDESCAfar_east.5;Your [Root.GetMyMarshalName] [Root.job_marshal.GetTitledFirstName] returns from attacking the Shadowmen, [Root.job_marshal.GetSheHe] reports that they had great success and reclaimed all that was stolen from you. The Shadowmen are unlikely to try another attack anytime soon.;;;;;;;;;;;;;x
EVTDESCBfar_east.5;Your [Root.GetMyMarshalName] ,[Root.job_marshal.GetTitledFirstName], returns from attacking the Shadowmen and [Root.job_marshal.GetSheHe] reports that they failed in their goal. Many of your troops were lost and none of the stolen goods were reclaimed.;;;;;;;;;;;;;x
EVTOPTAfar_east.5;Good work [Root.job_marshal.GetTitledFirstName]! That'll teach those savages!;;;;;;;;;;;;;x
EVTOPTBfar_east.5;Your incompetance has cost us greatly!;;;;;;;;;;;;;x
EVTTITLEfar_east.6;The Unification of Asshai;;;;;;;;;;;;;x
