#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RULE_CULTURE_CONVERSION_OFF_DESC;Province cultures will never be converted.;Les cultures provinciales ne seront jamais converties;;;Las culturas de las provincias nunca cambiaran.;;;;;;;;;x
RULE_CULTURE_CONVERSION_RARE_DESC;Province cultures will rarely converted, a factor of six slower than Vanilla.;Les cultures provinciales seront rarement converties, avec un facteur six fois plus lent que la vanilla (version de base);;;Las culturas de las provincias rara vez se cambiaran, en un factor de seis más lento de lo normal.;;;;;;;;;x
RULE_CULTURE_CONVERSION_VANILLA;Vanilla;Vanilla (Version de base du jeu);;;Vanilla (versión básica del juego);;;;;;;;;x
RULE_CULTURE_CONVERSION_VANILLA_DESC;Province cultures will be converted the same as in Vanilla.;Les cultures provinciales seront converties à la même vitesse que la vanilla (version de base);;;Las culturas de las provincia se convertirán a la misma velocidad que la Vanilla;;;;;;;;;x
RULE_RELIGIOUS_CONVERSION_FASTER_DESC;The speed at which counties are converted by means of using the 'Proselytize' job action is increased by a factor of two.;La vitesse avec laquelle les comtés sont convertis à l'aide de l'action ‘prosélyte’ est accrue d'un facteur 2;;;La velocidad a la que los condados se convierten mediante el uso de la acción de trabajo 'Convertir' aumenta en un factor de dos.;;;;;;;;;x
RULE_OPTION_FASTER;Faster;Plus rapidement;;;Más rápido;;;;;;;;;x
RULE_MEGA_WARS;§RAGoT:§! Mega-Wars;Méga-guerres;;;Mega-Guerras;;;;;;;;;x
RULE_MEGA_WARS_ON_DESC;Mega-wars will occur when an emperor tier ruler goes to war, the realm fractures and the great houses must decide whether to support the Empire, the rebellion, strike out on their own, or to stay neutral and bide their time.;Les méga-guerres se produisent lorsqu'un souverain de niveau 'empereur' part en guerre, les fractions du domaine et les grandes maisons doivent décider si elles soutiennent l'empereur, la rébellion, attaquent leur propriété, ou restent neutres et attendent le bon moment.;;;Las Mega-Guerras ocurren cuando un gobernante nivel emperador va a la guerra, el Reino se fractura y las Grandes Casas deben decidir si apoyan al Imperio, la rebelión, atacan por su cuenta, o permanecen neutrales y a la espera.;;;;;;;;;x
RULE_MEGA_WARS_OFF_DESC;Mega-wars will §RNOT§! occur when an emperor tier ruler goes to war, the realm will not fracture and wars will occur normally. NOTE: This does §RNOT§! apply to the pre-scripted wars at the start of bookmarks.;Les méga-guerres ne se produisent §RPAS§! lorsqu'un souverain de niveau 'empereur' part en guerre, le domaine ne se fracture pas et la guerre se passe normalement.;;;Las Mega-Guerras §RNO§! ocurren cuando un gobernante nivel emperador va a la guerra, el reino no se fracturará y las guerra ocurrirá de forma normal NOTA: Esto §RNO§! se aplica a las guerras predefinidas al comienzo del juego.;;;;;;;;;x
RULE_WHITE_WALKERS;§RAGoT:§! White Walkers;Marcheurs blancs;;;Caminantes Blancos;;;;;;;;;x
RULE_WHITE_WALKERS_ON_DESC;The White Walkers can invade and will do so during later bookmarks.;Les marcheurs blancs peuvent envahir et font de même lors de bookmarks ultérieurs.;;;Los Caminantes Blancos pueden invadir y lo harán durante Épocas posteriores .;;;;;;;;;x
RULE_WHITE_WALKERS_OFF_DESC;The White Walkers can §RNOT§! invade and will be removed from the game on start up in later bookmarks.;Les marcheurs blancs ne peuvent §RPAS§! envahir et seront retirés du jeu lors de bookmarks ultérieurs.;;;Los Caminantes Blancos §RNO§! pueden invadir y se eliminarán del juego al iniciar la Época escogida.;;;;;;;;;x
RULE_WHITE_WALKERS_CANON_DESC;The White Walkers will invade around the time as in canon, that is the first severe winter after 8290.;Les marcheurs blancs envahissent à une date proche du canon des livres, c'est-à-dire lors du premier hiver rigoureux après 8290.;;;Los Caminantes Blancos invadirán en una fecha cercana al canon de los libros, es decir, durante el primer invierno severo después de 8290.;;;;;;;;;x
RULE_WHITE_WALKERS_HARD;Harder;Plus difficike;;;Más difícil;;;;;;;;;x
RULE_WHITE_WALKERS_HARD_DESC;The White Walkers will have §Ytwice§! as many troops when they initially invade and any subsequent troops gains from events will also be §Ytwice§! the size of normal.;Les Marcheurs blancs ont §Ydeux fois plus§! de troupes quand ils envahissent la première fois et des événements peuvent leur donner des troupes supplémentaires pour une valeur §Ydouble§! de la normale.;;;Los Caminantes Blancos tendrán el §YDoble§! de tropas cuando inicialmente invadan, y cualquier ganancia de tropas a través de eventos también será del §YDoble§! de lo normal.;;;;;;;;;x
RULE_NON_LORE_INVASIONS;§RAGoT:§! Non-Lore Invasions;Invasions inexistantes historiquement.;;;Invasiones No Históricas;;;;;;;;;x
RULE_NON_LORE_INVASIONS_ON_DESC;Non-Lore Invasions such as the Brindlemen, Mountain Clansmen and Summer Islanders will occur.;Invasions inexistantes historiquement, telles que Hommes-brindés, Empereur jaune, Clans et peuples des îles d'Été.;;;Invasiones No Históricas como los Hombres Pintos, los Clanes de las Montañas y los Isleños del Verano ocurrirán.;;;;;;;;;x
RULE_NON_LORE_INVASIONS_RARE_DESC;Non-Lore Invasions such as the Brindlemen, Mountain Clansmen and Summer Islanders will occur, but the chance of them happening is decreased by a factor of three.;Invasions inexistantes historiquement, telles que Hommes-brindés, Empereur jaune, Clans et peuples des îles d'Été, mais la probabilité qu'elles se produisent est diminuée d'un facteur 3.;;;Invasiones No Históricas como los Hombres Pintos, los Clanes de las Montañas y los Isleños del Verano ocurrirán, pero la posibilidad de que sucedan disminuirá en un factor de 3.;;;;;;;;;x
RULE_NON_LORE_INVASIONS_OFF_DESC;Non-Lore Invasions such as the Brindlemen, Mountain Clansmen and Summer Islanders will §RNOT§! occur.;Les invasions inexistantes historiquement, telles que Hommes-brindés, Empereur jaune, Clans et peuples des îles d'Été §RNE§! se produiront §RPAS§!.;;;Invasiones No Históricas como los Hombres Pintos, los Clanes de las Montañas y los Isleños del Verano §RNO§! ocurrirán.;;;;;;;;;x
RULE_DRAGON_HATCHING;§RAGoT:§! Dragon Hatching & Taming;Éclosion et apprivoisement des dragons;;;Eclosión y Domesticación de Dragones;;;;;;;;;x
RULE_DRAGON_HATCHING_NORMAL_DESC;The difficulty of hatching and taming Dragons is normal.;La difficulté d'éclosion et d'apprivoisement des dragons est normale.;;;La dificultad de incubar y domar Dragones es normal.;;;;;;;;;x
RULE_DRAGON_HATCHING_EASY;Easy;Facile;;;Fácil;;;;;;;;;x
RULE_DRAGON_HATCHING_EASY_DESC;The difficulty of hatching and taming Dragons is easier than normal, twenty five times more likely to succeed in taming.;La difficulté d'éclosion et d'apprivoisement des dragons est plus facile que la normale, 25 fois plus de succès en apprivoisement.;;;La dificultad de incubar y domar Dragones es más fácil de lo normal, es veinticinco veces más probable tener éxito al domar.;;;;;;;;;x
RULE_DRAGON_HATCHING_LESS_HARD;Less Hard;Moins difficile;;;Menos difícil;;;;;;;;;x
RULE_DRAGON_HATCHING_LESS_HARD_DESC;The difficulty of hatching and taming Dragons is slightly less hard than normal, five times more likely to succeed in taming.;La difficulté d'éclosion et d'apprivoisement des dragons est légèrement moins difficile que la normale, 5 fois plus de succès en apprivoisement.;;;La dificultad de incubar y domar Dragones es un poco más fácil de lo normal, es cinco veces más probable tener éxito al domar.;;;;;;;;;x
RULE_DRAGON_HATCHING_HARD;Hard;Difficile;;;Difícil;;;;;;;;;x
RULE_DRAGON_HATCHING_HARD_DESC;The difficulty of hatching and taming Dragons is harder than normal, three times less likely to succeed in taming.;La difficulté d'éclosion et d'apprivoisement des dragons est plus difficile que la normale, 3 fois moins de succès en apprivoisement.;;;La dificultad de incubar y domar Dragones es más difícil de lo normal, es tres veces menos probable tener éxito al domar.;;;;;;;;;x
RULE_DRAGON_HATCHING_VALYRIAN_ONLY;Valyrian Only;Valyrien uniquement;;;Solamente los Valyrios;;;;;;;;;x
RULE_DRAGON_HATCHING_VALYRIAN_ONLY_DESC;The hatching and taming Dragons is limited to Valyrian cultures and High Valyrian Dynasties.;L'éclosion et l'apprivoisement des dragons est limitée aux cultures valyriennes et aux dynasties haut-valyriennes.;;;La incubación y domesticación de Dragones se limita a las culturas Valyrias y las Altas dinastías Valyrias.;;;;;;;;;x
RULE_DRAGON_HATCHING_OFF_DESC;Dragons are removed from the game and cannot be tamed. This disables Aegon's conquest events.;;;;Los Dragones son eliminados del juego y no pueden ser domados. Esto desactiva los eventos de la conquista de Aegon.;;;;;;;;;x
RULE_HIGH_VALYRIAN_CULL;§RAGoT:§! High Valyrian Cull; Cult. haut Valyriennes;;;Eliminar Valyrios;;;;;;;;;x
RULE_HIGH_VALYRIAN_CULL_ON_DESC;Lowborn High Valyrian courtiers that are spawned by the game will be automatically culled. Character conversion to High Valyrian is also prohibited.;Les courtisans haut-valyriens de basse naissance créés par le jeu sont automatiquement éliminés. La conversion de personnages à la culture haut-valyrienne est également interdite.;;;Los cortesanos Altos Valyrios y los de baja cuna creados por el juego se eliminan automáticamente. La conversión de personajes a la cultura de Alta Valyria también está prohibida.;;;;;;;;;x
RULE_HIGH_VALYRIAN_CULL_OFF_DESC;Lowborn High Valyrian courtiers that are spawned by the game will §RNOT§! be automatically culled. Character conversion to High Valyrian is allowed.;Les courtisans haut-valyriens de basse naissance créés par le jeu §RNE§! sont §RPAS§! automatiquement éliminés. La conversion de personnages à la culture haut-valyrienne est autorisée.;;;Los cortesanos Altos Valyrios y los de baja cuna creados por el juego no se eliminan automáticamente. La conversión de personajes a la cultura de Alta Valyria también está permitida.;;;;;;;;;x
RULE_DUEL_OUTCOME_RANDOMNESS;§RAGoT:§! Duel Outcome Randomness;Résultat de duel aléatoire;;;Aleatoriedad del Resultado de los Duelos;;;;;;;;;x
