#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#events;;;;;;;;;;;;;;x
EVTDESC65030;Nothing feels good, nothing feels fun nor interesting. I am in the deepest, blackest pit of sorrow and worthlessness, feeling as I will never be able to escape from it and wondering why [This.Religion.GetRandomGodName] makes us feel like this...;Rien n’a de saveur, rien ne m’amuse et rien ne m’intéresse. J’éprouve une profonde tristesse et je me sens inutile. J’ai l’impression que je ne m’en sortirai jamais et je me demande pourquoi [This.Religion.GetRandomGodName] m’impose une telle épreuve...;Nichts fühlt sich gut an, nichts macht mir Spaß oder interessiert mich. Ich sitze im tiefsten, schwärzesten Loch der Traurigkeit und Wertlosigkeit. Ich fühle mich, als ob ich ihm nie entrinnen werde. Warum lässt uns Gott derart fühlen?;;Nada me divierte ni me interesa. Estoy en un profundo foso de tristeza y vacío, sintiendo que nunca podré salir, y me pregunto por qué Dios hace que me sienta así...;;;;;;;;;x
EVTDESC65032;My [This.Religion.GetRandomGodName], why have you forsaken me? I have been cursed with a fever, a headache from Hell and now I am coughing blood. I think [Root.Religion.GetRandomGodName] must have decided to punish me for my sins!;Mon Dieu, pourquoi m’avez-vous abandonné(e) ? J’ai eu de la fièvre, un mal de tête infernal et maintenant je crache du sang. Je crois que [Root.Religion.GetRandomGodName] a décidé de me punir pour mes péchés !;Mein Gott, warum hast du mich verlassen? Erst war ich mit einem Fieber und höllischen Kopfschmerzen verflucht, jetzt huste ich Blut. [Root.Religion.GetRandomGodName] muss wohl entschieden haben, mich für meine Sünden zu bestrafen!;;Dios mío, ¿por qué me has abandonado? He sido maldecido por una fiebre, un infernal dolor de cabeza y ahora toso sangre. ¡Creo que [Root.Religion.GetRandomGodName] me está castigando por mis pecados!;;;;;;;;;x
EVTDESC65033;[This.Religion.GetRandomGodName] healed people like me, if I just was more devout and truly repented my sins He might heal me too.;[This.Religion.GetRandomGodName] a guéri des gens comme moi. Si je deviens plus fervent(e) et que je me repens vraiment de mes péchés, Il me guérira peut-être moi aussi.;[This.Religion.GetRandomGodName] hat Leute wie mich geheilt. Wäre ich frommer und würde meine Sünden wahrhaft bereuen, dann könnte Er auch mich heilen.;;[This.Religion.GetRandomGodName] curó a gente como yo, si fuera más devoto y me arrepintiese de mis pecados también me curaría.;;;;;;;;;x
EVTOPTA65033;Forgive me [This.Religion.GetRandomGodName], for I have sinned...;Pardonnez-moi [This.Religion.GetRandomGodName] parce que j’ai péché...;Vergib mir Vater, denn ich habe gesündigt.;;Perdóname [This.Religion.GetRandomGodName], porque he pecado...;;;;;;;;;x
EVTOPTB65036;I thank [This.Religion.GetRandomGodName] in private;Je rends grâce à [This.Religion.GetRandomGodName] en privé.;Ich danke dem Herrn im Stillen;;Doy gracias a [This.Religion.GetRandomGodName] en privado;;;;;;;;;x
EVTOPTC65049;[This.Religion.GetRandomGodName] will cure me!; [This.Religion.GetRandomGodName] me guérira !;Gott wird mich heilen!;;¡[This.Religion.GetRandomGodName]me curará!;;;;;;;;;x
EVTTOOLTIP65054;[This.Religion.GetRandomGodName] answers [Root.GetFirstName]'s prayers; [This.Religion.GetRandomGodName] exauce les prières de [Root.GetFirstName].;Gott antwortet auf [Root.GetFirstName]s Gebete;; [This.Religion.GetRandomGodName] responde las oraciones de [Root.GetFirstName];;;;;;;;;x
EVTOPTB65053;[This.Religion.GetRandomGodName] is punishing me rightly for my sins; [This.Religion.GetRandomGodName] me punit justement pour mes péchés.;Gott straft mich zurecht für meine Sünden;; [This.Religion.GetRandomGodName] me castiga justamente por mis pecados;;;;;;;;;x
EVTDESC65054;[This.Religion.GetRandomGodName] answered my prayers! I am cured of my illness and can atone for my sins before it is too late.; [This.Religion.GetRandomGodName] a exaucé mes prières ! Je suis guéri(e) et je peux expier mes péchés avant qu’il ne soit trop tard.;Gott hat meine Gebete beantwortet! Ich bin von meiner Krankheit geheilt und kann für meine Sünden büßen, bevor es zu spät ist.;;¡[This.Religion.GetRandomGodName] ha respondido mis oraciones! Me he curado y puedo expiar mis pecados antes de que sea tarde.;;;;;;;;;x
EVTDESC65055;Why am I sick, [From.GetRootRelation], is [This.Religion.GetRandomGodName] punishing me? I haven't done anything wrong, have I?;Pourquoi suis-je malade, [From.GetRootRelation] ? Est-ce [This.Religion.GetRandomGodName] qui me punit ? Je n’ai pourtant rien fait de mal, si ?;Warum bin ich krank, [From.GetRootRelation], ist das Gottes Strafe? Ich habe doch nichts Falsches getan, oder?;;¿Por qué estoy enfermo, [From.GetRootRelation]? ¿[This.Religion.GetRandomGodName] me está castigando? No he hecho nada malo, ¿verdad?;;;;;;;;;x
EVTOPTA65055;[This.Religion.GetRandomGodName] must be punishing me!;C’est certainement [This.Religion.GetRandomGodName] qui me punit !;Dies muss Gottes Strafe sein!;;¡[This.Religion.GetRandomGodName] me está castigando!;;;;;;;;;x
EVTDESC65056;My [From.GetRootRelation] [From.GetFirstName] is very sick. [From.GetSheHe] is delirious and have started asking if [This.Religion.GetRandomGodName] is punishing [From.GetHerHim].;Mon(Ma) [From.GetRootRelation], [From.GetFirstName], est très malade. [From.GetSheHeCap] délire et se demande si [This.Religion.GetRandomGodName] le(la) punit.;[From.GetFirstName], zu mir im Verwandtschaftsgrad [From.GetRootRelation] stehend, ist sehr krank. [From.GetSheHe] liegt im Delirium und hat zu fragen begonnen, ob Gott [From.GetHerHim] bestrafe.;;Mi [From.GetRootRelation] [From.GetFirstName] está muy grave. Tiene delirios y pregunta si [This.Religion.GetRandomGodName] lo está castigándo.;;;;;;;;;x
EVTOPTD65056;[This.Religion.GetRandomGodName] will cure you!;[This.Religion.GetRandomGodName] vous guérira !;Gott wird Euch heilen!;;¡[This.Religion.GetRandomGodName] te curará!;;;;;;;;;x
EVTDESC73010;I have been reading [Root.Religion.GetScriptureName], and it claims that death is not something a true believer should be afraid of.;Je lis [Root.Religion.GetScriptureName] qui prétend qu’un vrai croyant ne doit pas avoir peur de la mort. ;Ich habe [Root.Religion.GetScriptureName] gelesen. Dort steht, dass sich ein wahrer Gläubiger nicht vor dem Tod fürchten sollte. ;;He leído [Root.Religion.GetScriptureName], y dice que un verdadero creyente no debería temer a la muerte. ;;;;;;;;;x
#events;;;;;;;;;;;;;;x
#modifiers, traits;;;;;;;;;;;;;;x
true_knight;True Knight;Véritable chevalier;Wahrhafter Ritter;;Auténtico caballero;;;;;;;;;x
true_knight_desc;Bravery and no mortal sins gives a true knight respect from the church.;Le courage et l’absence de péchés mortels valent à un véritable chevalier le respect de l’Église.;Tapferkeit und Freisein von Todsünden bringt einem wahrhaftem Ritter den Respekt der Kirche ein.;;El valor y no cometer pecado mortal concede a un auténtico caballero el respeto de la iglesia.;;;;;;;;;x
crusader_rhllor;R'hllor Crusader;Croisé de R'hllor;R'hllor-Kreuzritter;;Paladín de R'hllor;;;;;;;;;x
crusader_rhllor_desc;This character is a veteran Crusader.;Ce personnage est un vétéran des croisades.;Dieser Charakter ist ein erfahrender Kreuzritter.;;Este personaje es un paladín del Señor de la Luz.;;;;;;;;;x
#religion names;;;;;;;;;;;;;;x
westerosi_religion;Westerosi Gods;Ouestrien;Westerosi;;Poniente;;;;;;;;;x
westerosi_religion_FEATURES;§Y*§! Is a traditional anti-slavery religion;§Y*§! Est une religion traditionnellement contre l'esclavage;;;§Y*§! Es una religión tradicionalmente opuesta al esclavismo;;;;;;;;;x
the_seven;Faith of the Seven;Foi des Sept;Glaube der Sieben;;Fe de los Siete;;;;;;;;;x
the_seven_DESC;The traditional religion of the Andals. The Seven is a single god with seven aspects - the Father, the Mother, the Warrior, the Maiden, the Smith, the Crone,and the Stranger - but is usually worshiped as thought it were seven seperate gods. Priests of the Seven are called Septons or Septas, and the gods are worshiped in seven-sided temples, called Septs.;La religion traditionnelle des Andals. Les Sept ne sont que les sept aspects d'une unique divinité -le Père, la Mère, le Guerrier, la Jouvencelle, le Ferrant, l'Aïeule et l'Etranger- mais la plupart des croyants les voient comme sept dieux différents. Les prêtres des Sept sont appellés septons ou septas, et les dieux sont honorés dans des temples à sept façades que l'on appelle des septuaires. ;;;La religión tradicional de los ándalos. Los Siete es un dios único con siete aspectos - el padre, la madre, el guerrero, la doncella, el herrero, la vieja, y el desconocido - pero por lo general es adorado como siete dioses diferentes. Los sacerdotes de los Siete se llaman septones o septas, y los dioses son adorados en templos heptagonales, llamados Septos.;;;;;;;;;x
the_seven_FEATURES;§Y*§! Can obtain and grant knighthoods, and take on squires (even if squire is a different religion)\n§Y*§! Can hold tourneys\n§Y*§! Children of concubines are considered illegitimate bastards;§Y*§! Peut obtenir et octroyer la chevalerie, prendre des écuyers (même si il est de religion différente)\n§Y*§! Peut organiser des tournois\n§Y*§! Les enfants de concubines sont considérés comme des bâtards illégitimes;;;§Y*§! Pueden obtener y conceder la caballería y tomar escuderos (aún siendo de otra religión)\n§Y*§! Pueden organizar torneos\n§Y*§! Los hijos de concubinas son considerados bastardos ilegítimos;;;;;;;;;x
GOD_FATHER;the Father;le Père;Der Vater;;el Padre;;;;;;;;;x
GOD_MOTHER;the Mother;la Mère;Die Mutter;;la Madre;;;;;;;;;x
GOD_WARRIOR;the Warrior;le Guerrier;Der Krieger;;el Guerrero;;;;;;;;;x
GOD_MAIDEN;the Maiden;la Jouvencelle;Der Jungfrau;;la Doncella;;;;;;;;;x
GOD_SMITH;the Smith;le Ferrant;Der Schmied;;el Herrero;;;;;;;;;x
GOD_CRONE;the Crone;l'Aïeule;Die Krone;;la Vieja;;;;;;;;;x
GOD_THE_STRANGER;the Stranger;l'Etranger;Der Fremde;;el Desconocido;;;;;;;;;x
GOD_SEVEN;the Seven;les Sept;the Seven;Die Sieben;los Siete;;;;;;;;;x
old_gods;Old Gods;Anciens Dieux;Alten Götter;;Los Antiguos Dioses;;;;;;;;;x
old_gods_DESC;The Old Gods are the nameless nature spirits worshiped by the First Men, and by the Children of the Forest before them. They are worshiped in sacred groves called Godswoods, with a heart tree at their center - a sacred weirwood tree into which the face of a god has been carved.;Les Anciens Dieux sont les anciennes divinités sans noms des Premiers Hommes qu'ils ont empruntées aux enfants de la forêt suite à leur installation à Westeros. Il n'y a pas de clergé dans cette religion, les seuls intercesseurs entre les hommes et les dieux sont les bois sacrés et plus particulièrement leur arbre-coeur, souvent un barral avec un visage humain sculpté sur le tronc. ;;;Los Antiguos Dioses son los espíritus de la naturaleza sin nombre adorados por los Primeros Hombres, y por los niños del bosque antes que ellos. Ellos son venerados en los bosques sagrados llamados Bosques de Dioses, con un árbol corazón en el centro - un arciano sagrado en el que la cara de un dios ha sido tallada.;;;;;;;;;x
GOD_THE_GODS;the Gods;les Dieux;the Gods;the Gods;los Dioses;;;;;;;;;x
GOD_THE_OLD_GODS;the Old Gods;les Anciens Dieux;the Old Gods;the Old Gods;los Antiguos Dioses;;;;;;;;;x
wildling_religion;Wildling Old Gods;Sauvageon;;;Salvaje;;;;;;;;;x
wildling_religion_FEATURES;§Y*§! Can sacrifice prisoners to the Gods;§Y*§! Peut sacrifier des prisonniers aux dieux;;;§Y*§! Pueden sacrificar prisioneros a los Dioses;;;;;;;;;x
beyond_wall_old_gods;Beyond the Wall Old Gods;Les Anciens Dieux d'Au-Delà du Mur;Götter auf der anderen Seite der Mauer;;Los Antiguos Dioses de Más-Allá-del-Muro;;;;;;;;;x
beyond_wall_old_gods_DESC;The Old Gods are the nameless nature spirits worshiped by the First Men, and by the Children of the Forest before them. Beyond the Wall, they are worshiped at the feet of heart trees - sacred weirwood trees into which the face of a god has been carved.;Les Anciens Dieux sont les anciennes divinités sans noms des Premiers Hommes qu'ils ont empruntées aux enfants de la forêt suite à leur installation à Westeros. Au-delà du Mur, ils sont honorés au pied des arbres-cœurs, des barrals sacrés avec le visage des dieux sculpté sur le tronc.;;;Los Antiguos Dioses son los espíritus de la naturaleza sin nombre adorados por los Primeros Hombres, y por los niños del bosque antes que ellos. Más allá del muro, se los adora a los pies de los árboles corazón, arcianos sagrados en el que la cara de un dios ha sido tallada.;;;;;;;;;x
mountain_old_gods;Old Gods of the Mountains;Anciens Dieux des Montagnes;;;Antiguos Dioses de las Montañas;;;;;;;;;x
mountain_old_gods_DESC;The Old Gods are the nameless nature spirits worshiped by the First Men, and by the Children of the Forest before them. In The Mountains of the Moon, there are clans descendend from the First Men who still worship the Old Gods.;Les Anciens Dieux sont les anciennes divinités sans noms des Premiers Hommes et des enfants de la forêt. Dans les Montagnes de la Lune, certains clans descendent des Premiers Hommes et continuent d'honorer les Anciens Dieux.;;;Los Antiguos Dioses son los espíritus de la naturaleza sin nombre adorados por los Primeros Hombres, y por los niños del bosque antes que ellos. En Las Montañas de la Luna, hay clanes descendientes de los Primeros Hombres que todavía adoran a los antiguos dioses.;;;;;;;;;x
mountain_old_gods_FEATURES;§Y*§! Can take captives as concubines;§Y*§! Peut prendre des prisonnier(e)s comme concubin(e)s;;;§Y*§! Pueden tomar prisioneras como concubinas;;;;;;;;;x
thenn_rel;Thenn;Thenn;Götter auf der anderen Seite der Mauer;;Thenn;;;;;;;;;x
thenn_rel_DESC;The Thenn consider themselves the last of the First Men, with most speaking the Old Tongue and only a few words of the Common Tongue. The Thenn are led by the Magnar, who is considered more a god than a man by his people, and because they have laws and lords in their valley, some consider the Thenns more sophisticated than other free folk. The Thenns are savage fighters, but because of their belief in the Magnar as their god they are absolutely obedient and more disciplined than other free folk. They are often better equipped than most free folk, with bronze helms, axes of bronze and a few of chipped stone, short stabbing spears with leaf-shaped heads, shirts sewn with bronze discs, and plain unadorned shields of black boiled leather with bronze rims and bosses.;Les Thenns se considèrent eux-mêmes comme les derniers des Premiers Hommes, la majorité parlant encore la Vieille Langue et seulement quelques mots de la langue commune. Les Thenns sont gouvernés par le Magnar, qui est plus considété comme un dieu que comme un homme par son peuple. Et comme ils ont des lois et des lords dans leur vallée, certains considèrent qu'ils sont plus sophistiqués que le reste du Peuple Libre. Les Thenns sont plus disciplinés que le reste des clans , et généralement mieux armés avec un équipement en bronze constitué de casques arrondis, d'armures d'écailles, de courtes piques et de haches. ;;;Los thennitas se consideran a si mismos los últimos de los Primeros Hombres, hablan la Antigua Lengua y la mayoría sólo habla algunas palabras de la Lengua Común. Están liderados por un Magnar, quien es considerado más un dios que una persona por su pueblo. Son más sofisticados y más similares a las personas al sur del Muro pues tienen leyes y señores en el valle de un modo similar a los Siete Reinos. Los thennitas son absolutamente obedientes al Magnar y mucho más disciplinados y equipados que el resto del Pueblo Libre.;;;;;;;;;x
GOD_THE_MAGNAR;The Magnar;Le Magnar;;;El Magnar;;;;;;;;;x
drowned_god_group;Ironborn Gods;Fer-né;Drowned [This.Religion.GetRandomGodName];;Hijos del Hierro;;;;;;;;;x
drowned_god;Drowned God;Le Dieu-Noyé;Drowned [This.Religion.GetRandomGodName];;El Dios Ahogado;;;;;;;;;x
