#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
LORDPROTECTOR;Lord Protector;Lord Suzerain;Lord Paramount;;Señor Supremo;;;;;;;;;x
LORDPROTECTOR_female;Lady;Lady Suzeraine;Lady Paramount;;Señora Suprema;;;;;;;;;x
DRAGONSTONE;Prince;Prince;Prince;;Señor Supremo;;;;;;;;;x
DRAGONSTONE_female;Princess;Princess;Princess;;Señora Suprema;;;;;;;;;x
SUMMERHALL;Prince;Prince;Prince;;Señor Supremo;;;;;;;;;x
SUMMERHALL_female;Princess;Princess;Princess;;Señora Suprema;;;;;;;;;x
LORDPARAMOUNT;Lord Paramount;Lord Suzerain;Lord Paramount;;Señor Supremo;;;;;;;;;x
LORDPARAMOUNT_female;Lady Paramount;Lady Suzeraine;Lady Paramount;;Señora Suprema;;;;;;;;;x
LORDPARAMOUNT_FOA;My Lord;Messire;My Lord;;Mi Señor;;;;;;;;;x
LORDPARAMOUNT_FOA_female;My Lady;Ma Dame;My Lady;;Mi Señora;;;;;;;;;x
KING_TITLE;King;Roi;;;Rey;;;;;;;;;x
QUEEN_TITLE;Queen;Reine;;;Reina;;;;;;;;;x
YOUR_GRACE_TITLE;Your Grace;Votre Grâce;;;Su Majestad;;;;;;;;;x
empire_andal;Kingdom;Royaume;;;Reino;;;;;;;;;x
empire_of_andal;Kingdom of;Royaume de;;;Reino de;;;;;;;;;x
emperor_andal;High King;Grand Roi;;;Gran Rey;;;;;;;;;x
emperor_female_andal;Queen;Reine;;;Reina;;;;;;;;;x
emperor_foa_andal;Your Grace;Votre Grâce;;;Su Majestad;;;;;;;;;x
emperor_foa_female_andal;Your Grace;Votre Grâce;;;Su Majestad;;;;;;;;;x
empire_dornish;Kingdom;Royaume;;;Reino;;;;;;;;;x
empire_of_dornish;Kingdom of;Royaume de;;;Reino de;;;;;;;;;x
emperor_dornish;High King;Grand Roi;;;Gran Rey;;;;;;;;;x
emperor_female_dornish;Queen;Reine;;;Reina;;;;;;;;;x
emperor_foa_dornish;Your Grace;Votre Grâce;;;Su Majestad;;;;;;;;;x
emperor_foa_female_dornish;Your Grace;Votre Grâce;;;Su Majestad;;;;;;;;;x
empire_first_men;Kingdom;Royaume;;;Reino;;;;;;;;;x
empire_of_first_men;Kingdom of;Royaume de;;;Reino de;;;;;;;;;x
emperor_first_men;High King;Grand Roi;;;Gran Rey;;;;;;;;;x
emperor_female_first_men;Queen;Reine;;;Reina;;;;;;;;;x
emperor_foa_first_men;Your Grace;Votre Grâce;;;Su Majestad;;;;;;;;;x
emperor_foa_female_first_men;Your Grace;Votre Grâce;;;Su Majestad;;;;;;;;;x
emperor_foa_old_first_man;My King;Votre Grâce;;;Mi Rey;;;;;;;;;x
emperor_foa_female_old_first_man;My Queen;Votre Grâce;;;Mi Reina;;;;;;;;;x
empire_iron_isles_culture;Kingdom;Royaume;;;Reino;;;;;;;;;x
empire_of_iron_isles_culture;Kingdom of;Royaume de;;;Reino de;;;;;;;;;x
emperor_iron_isles_culture;High King;Grand Roi;;;Gran Rey;;;;;;;;;x
emperor_female_iron_isles_culture;Queen;Reine;;;Reina;;;;;;;;;x
emperor_foa_iron_isles_culture;My King;Votre Grâce;;;Mi Rey;;;;;;;;;x
emperor_foa_female_iron_isles_culture;My Queen;Votre Grâce;;;Mi Reina;;;;;;;;;x
king_title_queen_mother_female;Dowager Queen;Reine Douairière;;;Reina Madre;;;;;;;;;x
king_foa;Your Grace;Votre Grâce;;;Su Majestad;;;;;;;;;x
king_foa_female;Your Grace;Votre Grâce;;;Su Majestad;;;;;;;;;x
king_foa_iron_isles_culture;My King;Votre Grâce;;;Mi Rey;;;;;;;;;x
king_foa_female_iron_isles_culture;My Queen;Votre Grâce;;;Mi Reina;;;;;;;;;x
king_foa_old_first_man;My King;Votre Grâce;;;Mi Rey;;;;;;;;;x
king_foa_female_old_first_man;My Queen;Votre Grâce;;;Mi Reina;;;;;;;;;x
#kingdom_dornish;Principality;Principauté;;;Principado;;;;;;;;;x
#kingdom_of_dornish;Principality of;Principauté de;;;Principado de;;;;;;;;;x
#king_dornish;Prince;Prince;Prince;Prince;Príncipe;;;;;;;;;x
#king_female_dornish;Princess;Princesse;Princess;Princess;Princesa;;;;;;;;;x
#king_foa_dornish;My Prince;Mon Prince;My Prince;My Prince;Su Alteza;;;;;;;;;x
#king_foa_female_dornish;My Princess;Ma Princesse;My Princess;My Princess;Su Alteza;;;;;;;;;x
duke_title_prince;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
duke_title_prince_female;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
duke_title_queen_mother_female;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
duke;Lord;Lord;Lord;Lord;Gran Señor;;;;;;;;;x
duke_female;Lady;Lady;Lady;Lady;Gran Señora;;;;;;;;;x
duke_title_ruler_consort;Lord;Lord;Lord;Lord;Gran Señor;;;;;;;;;x
duke_title_ruler_consort_female;Lady;Lady;Lady;Lady;Gran Señora;;;;;;;;;x
duke_title_prince_dornish;Prince;Prince;Prince;Prince;Príncipe;;;;;;;;;x
duke_title_prince_female_dornish;Princess;Princesse;Princess;Princess;Princesa;;;;;;;;;x
duchy;High Lordship;Grande Seigneurie;High Lordship;High Lordship;Gran Señorío;;;;;;;;;x
duchy_of;High Lordship of;Grande Seigneurie de;High Lordship of;High Lordship of;Gran Señorío de;;;;;;;;;x
duke_foa;My Lord;Messire;My Lord;My Lord;Su Excelencia;;;;;;;;;x
duke_foa_female;My Lady;Ma Dame;My Lady;My Lady;Su Excelencia;;;;;;;;;x
duke_iron_isles_culture;Lord Reaver;Lord Ravage;Lord Reaver;Lord Reaver;Lord Segador;;;;;;;;;x
count;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
count_female;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
count_title_ruler_consort;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
count_title_ruler_consort_female;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
county_of;Lordship of;Seigneurie de;Lordship of;Lordship of;Señorío de;;;;;;;;;x
county;Lordship;Seigneurie;Lordship;Lordship;Señorío;;;;;;;;;x
count_foa;My Lord;Messire;My Lord;My Lord;Su Ilustrísima;;;;;;;;;x
count_foa_female;My Lady;Ma dame;My Lady;My Lady;Su Ilustrísima;;;;;;;;;x
baron;Master;Maître;Master;Master;Señor;;;;;;;;;x
baron_female;Mistress;Maîtresse;Mistress;Mistress;Señora;;;;;;;;;x
baron_title_ruler_consort;Master;Maître;Master;Master;Señor;;;;;;;;;x
baron_title_ruler_consort_female;Mistress;Maîtresse;Mistress;Mistress;Señora;;;;;;;;;x
baron_the_seven;Ser;Ser;Ser;Ser;Señor;;;;;;;;;x
baron_female_the_seven;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
baron_title_ruler_consort_the_seven;Ser;Ser;Ser;Ser;Señor;;;;;;;;;x
baron_title_ruler_consort_female_the_seven;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
barony_of;Castle of;Château de;Castle of;Castle of;Castillo de;;;;;;;;;x
baron_foa;My Lord;Messire;My Lord;My Lord;Su Señoría;;;;;;;;;x
baron_foa_the_seven;Ser;Ser;Ser;Ser;Su Señoría;;;;;;;;;x
baron_foa_female;My Lady;Ma Dame;My Lady;My Lady;Su Señoría;;;;;;;;;x
