#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTGETHOUSEWORDS;[Root.GetHouseWords];;;;[Root.GetHouseWords];;;;;;;;;x
HouseWords_Allyrion;No Foe May Pass;;;;Ningún Enemigo Pasará;;;;;;;;;x
HouseWords_Ambrose;Never Resting;;;;Nunca Descansar;;;;;;;;;x
HouseWords_Arryn;As High as Honor;;;;Tan Alto como el Honor;;;;;;;;;x
HouseWords_Ashford;Our Sun Shines Bright;;;;Nuestro Sol Brilla Fuerte;;;;;;;;;x
HouseWords_Baratheon;Ours is the Fury;;;;!Nuestra es la Furia!;;;;;;;;;x
HouseWords_Beesbury;Beware Our Sting;;;;Cuidado con Nuestro aguijón;;;;;;;;;x
HouseWords_Bolton;Our Blades Are Sharp;;;;Nuestras Espadas están Afiladas;;;;;;;;;x
HouseWords_Buckwell;Pride and Purpose;;;;Orgullo y Propósito;;;;;;;;;x
HouseWords_Bulwer;Death Before Disgrace;;;;Muerte antes de la Deshonra;;;;;;;;;x
HouseWords_Caron;No Song So Sweet;;;;Ninguna Canción Más Dulce;;;;;;;;;x
HouseWords_Cerwyn;Honed and Ready;;;;Afilado y listo;;;;;;;;;x
HouseWords_Codd;Though All Men Do Despise Us;;;;Aunque Todos nos Desprecian;;;;;;;;;x
HouseWords_Crakehall;None so Fierce;;;;Ninguno más Fiero;;;;;;;;;x
HouseWords_Egen;By Day or Night;;;;De Día o de Noche;;;;;;;;;x
HouseWords_Farman;The Wind Our Steed;;;;;;;;;;;;;x
HouseWords_Flint;Ever Vigilant;;;;Siempre Vigilante;;;;;;;;;x
HouseWords_Follard;None so Wise;;;;Ninguno tan Sabio;;;;;;;;;x
HouseWords_Footly;Tread Lightly Here;;;;Pisa Ligeramente Aquí;;;;;;;;;x
HouseWords_Forrester;Iron From Ice;;;;Hierro del Hielo;;;;;;;;;x
HouseWords_Fossoway;A Taste of Glory;;;;El Sabor de la Gloria;;;;;;;;;x
HouseWords_Fowler;Let Me Soar;;;;Déjame ascender;;;;;;;;;x
HouseWords_Graceford;Work Her Will;;;;Hacer su Voluntad;;;;;;;;;x
HouseWords_Grandison;Rouse Me Not;;;;No me Despiertes;;;;;;;;;x
HouseWords_Greyjoy;We Do Not Sow;;;;Nosotros No Sembramos;;;;;;;;;x
HouseWords_Hastwyck;None So Dutiful;;;;Ninguno tan Obediente;;;;;;;;;x
HouseWords_Hightower;We Light the Way;;;;Iluminamos El Camino;;;;;;;;;x
HouseWords_Hornwood;Righteous in Wrath;;;;Justos en la Ira;;;;;;;;;x
HouseWords_Jordayne;Let It Be Written;;;;Deja que sea escrito;;;;;;;;;x
HouseWords_Karstark;The Sun of Winter;;;;El Sol del Invierno;;;;;;;;;x
HouseWords_Lannister;Hear Me Roar!;;;;!Oye mi Rugido!;;;;;;;;;x
HouseWords_Lonmouth;The Choice Is Yours;;;;La Elección es Tuya;;;;;;;;;x
HouseWords_Marbrand;Burning Bright;;;;Ardiendo con Intensidad;;;;;;;;;x
HouseWords_Martell;Unbowed, Unbent, Unbroken;;;;Nunca Doblegado, Nunca Roto;;;;;;;;;x
HouseWords_Mormont;Here We Stand;;;;Aquí Aguantamos;;;;;;;;;x
HouseWords_Mallister;Above the Rest;;;;Por Encima del Resto;;;;;;;;;x
HouseWords_Merryweather;Behold Our Bounty;;;;Contempla Nuestra Abundancia;;;;;;;;;x
HouseWords_Mooton;Wisdom and Strength;;;;Sabiduría y Fortaleza;;;;;;;;;x
HouseWords_Oakheart;Our Roots Go Deep;;;;Nuestras Raíces son Profundas;;;;;;;;;x
HouseWords_Peckledon;Unflinching;;;;Inquebrantable;;;;;;;;;x
HouseWords_Penrose;Set Down Our Deeds;;;;Establecemos Nuestras Obras;;;;;;;;;x
HouseWords_Piper;Brave and Beautiful;;;;Valiente y bello;;;;;;;;;x
HouseWords_Plumm;Come Try Me;;;;Ven a probarme;;;;;;;;;x
HouseWords_Redfort;As Strong as Stone;;;;Tan Fuerte como la Piedra;;;;;;;;;x
HouseWords_Royce;We Remember;;;;Nosotros recordamos;;;;;;;;;x
HouseWords_Sarsfield;True to the Mark;;;;Fiel a la Marca;;;;;;;;;x
HouseWords_Sarwyck;Family is Hope, Protect it Always;;;;La Familia es Esperanza, Protégela Siempre;;;;;;;;;x
HouseWords_Serrett;I Have No Rival;;;;No tengo rival;;;;;;;;;x
HouseWords_Smallwood;From These Beginnings;;;;Desde estos Comienzos;;;;;;;;;x
HouseWords_Stark;Winter is Coming;;;;Se acerca el Invierno;;;;;;;;;x
HouseWords_Stokeworth;Proud to Be Faithful;;;;Orgullosos de Ser Leales;;;;;;;;;x
HouseWords_Swygert;Truth Conquers;;;;La Verdad Conquista;;;;;;;;;x
HouseWords_Swyft;Awake! Awake!;;;;¡Despierto! ¡Despierto!;;;;;;;;;x
HouseWords_Tallhart;Proud and Free;;;;Orgullosos y Libres;;;;;;;;;x
HouseWords_Targaryen;Fire and Blood;;;;!Fuego y Sangre!;;;;;;;;;x
HouseWords_Tarly;First in Battle;;;;Primeros en Batalla;;;;;;;;;x
HouseWords_Tollett;When All is Darkest;;;;Cuando Todo es Más Oscuro;;;;;;;;;x
HouseWords_Toyne;Fly High, Fly Far;;;;Vuela alto, vuela lejos;;;;;;;;;x
HouseWords_Trant;So End Our Foes;;;;Así acabamos con nuestros enemigos;;;;;;;;;x
HouseWords_Tully;Family, Duty, Honor;;;;Familia, Deber, Honor;;;;;;;;;x
HouseWords_Tyrell;Growing Strong;;;;Crecer Fuerte;;;;;;;;;x
HouseWords_Velaryon;The Old, the True, the Brave;;;;El Viejo, el Verdadero, el Valiente;;;;;;;;;x
HouseWords_Waxley;Light in Darkness;;;;Luz en las Tinieblas;;;;;;;;;x
HouseWords_Wendwater;For All Seasons;;;;En Todas las Estaciones;;;;;;;;;x
HouseWords_Wensington;Sound the Charge;;;;Suena la Carga;;;;;;;;;x
HouseWords_Westerling;Honor, not Honors;;;;Honor, no Honores;;;;;;;;;x
HouseWords_Westford;Death Over Dishonor;;;;Muerte Sobre Deshonor;;;;;;;;;x
HouseWords_Whitehill;Ever Higher;;;;Siempre más Alto;;;;;;;;;x
HouseWords_Wode;Touch Me Not;;;;No me Toques;;;;;;;;;x
HouseWords_Wydman;Right Conquers Might;;;;Conquistar por Derecho;;;;;;;;;x
HouseWords_Yronwood;We Guard the Way;;;;Nosotros Protegemos el Camino;;;;;;;;;x
HouseWords_Custom;[c_house_words_1.GetName];;;;[c_house_words_1.GetName];;;;;;;;;x
set_house_words;Set House Words;;;;Establecer el Lema de la Casa;;;;;;;;;x
set_house_words_desc;Set the Words of House [Root.GetOnlyDynastyName];;;;Establecer el Lema de la Casa [Root.GetOnlyDynastyName];;;;;;;;;x
HOUSE_WORDS_MESSAGE_LOG;What shall be the Words of House [Root.GetOnlyDynastyName]?;;;;¿Cuál debe ser el Lema de la Casa [Root.GetOnlyDynastyName]?;;;;;;;;;x
c_house_words_1;House Words;;;;Lema de la Casa;;;;;;;;;x
c_house_words_1_adj;House Words;;;;Lema de la Casa;;;;;;;;;x
