#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
WARNING: SPOILERS ARE IN THIS FILE;;;;;;;;;;;;;;x
EVTDESC2220000;A crow just arrived. The infamous Second Sons company, under the command of a Ben Plumm are invading by sea! Ben means to take our lands for himself!;Un corbeau vient juste d'arriver. L'infâme Compagnie des Puînés, commandée par un certain Ben Prünh a débarqué pour une invasion ! Ben projette de s'accaparer nos terres !;;;Acaba de llegar un cuervo. La infame compañía de los Segundos Hijos, bajo el mando de Ben Plumm ha desembarcado en nuestras tierras para invadirnos. Ben Plumm planea tomar nuestras tierras para sí!;;;;;;;;;x
EVTOPTA2220000;Benn Plumm has arrived!;Ben Prünh est arrivé !;;;¡Ben Plumm llegó!;;;;;;;;;x
EVTDESC2220001;Crows bring news that Ben Plumm has arrived to Westeros with an army numbering in the tens of thousands! They might prove a threat.;Des Corbeaux nous informent de l'arrivée de Ben Prünh à Westeros avec une armée plusieurs dizaines de milliers d'hommes ! Ils pourraient constituer une menace.;;;¡Los cuervos nos informan de la llegada de Ben Plumm a Poniente con un ejército de decenas de miles de hombres! Podrían constituir una gran amenaza.;;;;;;;;;x
d_second_sons;Second Sons;Les Puînés;;;Segundos Hijos;;;;;;;;;x
COMMANDER_SS;Commander;Commandant;;;Comandante;;;;;;;;;x
COMMANDER_FOA_SS;Lord Commander;Lord Commandant;;;Lord Comandante;;;;;;;;;x
CB_NAME_MINI_INVASION;Reclaim ancestral lands;Revendiquer les terres ancestrales;;;Reclamar tierras ancestrales;;;;;;;;;x
WAR_NAME_MINI_INVASION;$ORDER$$FIRST_ADJ$ war on $SECOND$ to reclaim ancestral lands;$ORDER$guerre $FIRST_ADJ$ à $SECOND$ pour revendiquer les terres ancestrales;;;$ORDER$$FIRST_ADJ$ guerra contra $SECOND$ para reclamar sus tierras ancestrales;;;;;;;;;x
EVTDESC2220002;A crow just arrived. The Vale's mountain clans have united under one leader and are mobalizing to claim the bite!;Un corbeau vient juste d'arriver. Les clans des Montagnes du Val se sont unis derrière un chef et se préparent à la guerre !;;;Ha llegado un cuervo. Los Clanes de la Montaña de la Luna se han unido bajo un líder y se están movilizando para declarar la guerra.;;;;;;;;;x
EVTDESC2220003;A crow just arrived. The Vale's mountain clans have united under one leader and are mobalizing to claim the bite!;Un corbeau vient juste d'arriver. Les clans des Montagnes du Val ce sont unis derrière un chef et se préparent à la guerre !;;;Ha llegado un cuervo. Los Clanes de la Montaña de la Luna se han unido bajo un líder y se están movilizando para declarar la guerra.;;;;;;;;;x
CHIEF_BITE;High Chief;Grand Chef;;;Gran Jefe;;;;;;;;;x
