EVTTITLEironborn_events.10;A Drowning;Une noyade;;;Un ahogamiento;;;;;;;;;x
EVTDESCironborn_events.10;The waves crash over the gunwales and the ship heaves from side to side. The crew struggles desperately to tear down the sail. You stagger across the deck, trying to reach the safety of the cabin. Lightning strikes, and all goes dark. When you next awaken, you are on the shore, spewing seawater from your lungs, with visions of the Drowned God's hall dancing in your mind. You have drowned, and yet you live!;Les vagues s'écrasent avec fracas sur la coque du navire, malmené par la violence de la houle. L'équipage lutte désespérément pour empêcher le vaisseau de sombrer. Vous traversez le pont d'un pas chancelant, tentant d'atteindre la sécurité de votre cabine. Tout à coup, la foudre s'abat sur le navire dans un déchaînement de bruits et de lumières, puis tout devient sombre. Vous vous réveillez bien plus tard sur le rivage, vomissant de l'eau de mer entrée dans vos poumons. De floues visions des demeures liquides du dieu Noyé flottent dans votre esprit. Vous vous êtes noyé et pourtant vous vivez !   ;;;Las olas rompen por encima de la borda y el barco se balancea peligrosamente. La tripulación lucha desesperadamente por mantenerlo a flote. Intentas moverte por la cubierta para llegar tu compartimento a salvo. Un rayo centellea y alumbra la noche y después todo se hace oscuro. Al despertar estás en una playa vomitando agua salada mientras ves visiones del palacio del Dios Ahogado. Te has ahogado pero vuelves a vivir.;;;;;;;;;x
EVTOPTAironborn_events.10;What is dead may never die, but rises again, harder and stronger!;Ce qui est mort ne saurait mourir mais se lève à nouveau, plus dur à la peine et plus vigoureux !;;;Lo que está muerto no puede morir, sino que se alza de nuevo, más duro, más fuerte.;;;;;;;;;x
drowned;Drowned;Noyé;;;Ahogado;;;;;;;;;x
drowned_desc;This character has seen the halls of the Drowned God. What is dead may never die, but rises again, harder and stronger!;Ce personnage a vu les demeures liquides du dieu Noyé. Ce qui est mort ne saurait mourir mais se lève à nouveau, plus dur à la peine et plus vigoureux !;;;Este personaje se ahogó y ha visto los salones del Dios Ahogado. Lo que está muerto no puede morir, sino que se alza de nuevo, más duro, más fuerte,;;;;;;;;;x
EVTDESCironborn_events.12;A drunken man challenges you to a finger dance.;Un homme ivre vous défie à la danse du doigt;;;Un borracho te reta a jugar a la danza del dedo.;;;;;;;;;x
EVTOPTAironborn_events.12;I accept the challenge.;J'accepte le défi;;;Acepto el reto.;;;;;;;;;x
EVTOPTBironborn_events.12;I refuse the challenge.;Je refuse le défi;;;Rechazo el reto.;;;;;;;;;x
EVTDESCironborn_events.13;Your son shows up at court wearing a velvet doublet and an intolerable look of pride on his face.;Votre fils paraît à la cour arborant un doublet de velours et une intolérable expression de fierté sur le visage ;;;Tu hijo aparece en la corte con un jubón de terciopelo y una insoportable mirada de orgullo en el rostro.;;;;;;;;;x
EVTOPTAironborn_events.13;Tell me how you paid for that coat. Did you pay the Iron price?;Dis-moi comment tu as acquis ce manteau. As-tu payé le Fer-prix ? ;;;Dime, ¿cómo has pagado ese jubón? Has pagado el precio del hierro?;;;;;;;;;x
