#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_jkhalasar;The Jogos Nhai;Les Jogos Nhai;;;Llanuras de los Jogos Nhai;;;;;;;;;x
e_jkhalasar_adj;Jogos Nhai;Jogos Nhai;;;Jogos Nhai;;;;;;;;;x
k_jogos_nhai;The Jogos Nhai;Jogos Nhai;;;Jogos Nhai;;;;;;;;;x
k_jogos_nhai_adj;Jogos Nhai;Jogos Nhai;;;Jogos Nhai;;;;;;;;;x
nomadic_emperor_jogos_nhai;Jhat;Jhat;;;Gran Jhattar;;;;;;;;;x
nomadic_emperor_female_jogos_nhai;Jhati;Jhati;;;Gran Jhattar;;;;;;;;;x
nomadic_emperor_foa_jogos_nhai;Jhat;Jhat;;;Mi Gran Jhattar;;;;;;;;;x
nomadic_emperor_foa_female_jogos_nhai;Jhati;Jhati;;;Mi Gran Jhattar;;;;;;;;;x
nomadic_emperor_title_ruler_consort_jogos_nhai;Jhat;Jhat;;;Gran Jhattar;;;;;;;;;x
nomadic_emperor_title_ruler_consort_female_jogos_nhai;Jhati;Jhati;;;Gran Jhattar;;;;;;;;;x
nomadic_emperor_title_queen_mother_female_jogos_nhai;Nu Jhatani;Nu Jhatani;;;Nu Jhattar;;;;;;;;;x
nomadic_empire_jogos_nhai;Jhahanoc;Jhahanoc;;;Gran Jhattar de;;;;;;;;;x
nomadic_empire_of_jogos_nhai;Jhahanoc of;Jhahanoc de;;;Gran Jhattar;;;;;;;;;x
nomadic_title_prince_jogos_nhai;Jhavua;Jhavua;;;Jhavua;;;;;;;;;x
nomadic_title_prince_female_jogos_nhai;Jhachua;Jhachua;;;Jhachua;;;;;;;;;x
nomadic_title_prince_AGOT_jogos_nhai;Jhavua;Jhavua;;;Jhavua;;;;;;;;;x
nomadic_title_prince_AGOT_female_jogos_nhai;Jhachua;Jhachua;;;Jhachua;;;;;;;;;x
nomadic_king_jogos_nhai;Jha;Jha;;;Jhattar;;;;;;;;;x
nomadic_king_female_jogos_nhai;Jhi;Jhi;;;Jhattar;;;;;;;;;x
nomadic_king_foa_jogos_nhai;My Jha;Mon Jha;;;Mi Jhattar;;;;;;;;;x
nomadic_king_foa_female_jogos_nhai;My Jhi;Ma Jhi;;;Mi Jhattar;;;;;;;;;x
nomadic_king_title_ruler_consort_jogos_nhai;Jha;Jha;;;Jhattar;;;;;;;;;x
nomadic_king_title_ruler_consort_female_jogos_nhai;Jhi;Jhi;;;Jhattar;;;;;;;;;x
nomadic_kingdom_jogos_nhai;Jhah;Jhah;;;Jhattar;;;;;;;;;x
nomadic_kingdom_of_jogos_nhai;Jhah of;Jhah de;;;Jhattar de;;;;;;;;;x
nomadic_duke_jogos_nhai;Jha;Jha;;;Gran Jhat;;;;;;;;;x
nomadic_duke_female_jogos_nhai;Jhi;Jhi;;;Gran Jhat;;;;;;;;;x
nomadic_duke_foa_jogos_nhai;My Jha;Mon Jha;;;Mi Gran Jhat;;;;;;;;;x
nomadic_duke_foa_female_jogos_nhai;My Jhi;Ma Jhi;;;Mi Gran Jhat;;;;;;;;;x
nomadic_duke_title_ruler_consort_jogos_nhai;Jha;Jha;;;Gran Jhat;;;;;;;;;x
