kingsguard;Kingsguard;Garde Royale;;;Guardia Real;;;;;;;;;x;
kingsguard_desc;This character has sworn a vow to protect the royal family, with their own life if need be.;Ce personnage a fait le serment de protéger le roi, au prix de sa vie s'il le faut.;;;Este personaje ha jurado proteger al rey, a costa de su vida si es necesario.;;;;;;;;;x;
EVTDESCkingsguard.2;A vacancy has become available on the Kingsguard. Seven swords must guard the [Root.GetTitle] - you must choose a replacement.;Une place s'est libérée dans la Garde Royale. Sept épées doivent défendre le(a) [Root.GetTitle], vous devez choisir un remplaçant. ;;;Hay una vacante en la Guardia Real. Siete espadas deben defender al [Root.GetTitle], debes elegir a un sustituto.;;;;;;;;;x;
EVTDESCkingsguard.2B;A vacancy has become available on the Kingsguard. Seven swords must guard the [From.GetTitle] - as [From.GetHerHis] [Root.GetLordLady] Regent you must choose a replacement.;Une place s'est libérée dans la Garde Royale. Sept épées doivent défendre le(a) [Root.GetTitle] - en tant que [Root.GetLordLady] Régent€ vous devez choisir un remplaçant.;;;Hay una vacante en la Guardia Real. Siete espadas deben defender al [From.GetTitle], como su regente debes elegir a un sustituto.;;;;;;;;;x;
EVTOPTAkingsguard.2;Bring me the greatest knights in all the realm!;Choisir parmi les meilleurs combattants du royaume.;;;Elige uno de los mejores combatientes del reino.;;;;;;;;;x;
EVTOPTBkingsguard.2;Bring me the knights I can trust most!;Choisir quelqu'un en qui je puisse avoir confiance.;;;Elige a alguien en quien pueda confiar.;;;;;;;;;x;
EVTOPTCkingsguard.2;Bring me knights from powerful houses!;Choisir un fils prestigieux d'une famille prestigieuse.;;;Elige un hijo de una prestigiosa familia.;;;;;;;;;x;
EVTOPTDkingsguard.2;Bring me the sons of the Lords Paramount!;Choisir l'un des fils des Seigneurs suzerains.;;;Elige un hijo de un Señor Supremo.;;;;;;;;;x;
EVTOPTEkingsguard.2;I can't be bothered right now.;Je ne peux pas être dérangé tout de suite.;;;No puedo ser molestado en estos momentos.;;;;;;;;;x;
EVTOPTFkingsguard.2;There are few worthy knights, but I must pick someone;Il y a peu de chevaliers qui conviennent mais je dois prendre quelqu'un.;;;Hay algunos caballeros que están de acuerdo, pero tengo que llevar a alguien.;;;;;;;;;x;
EVTDESCkingsguard.3;The greatest knights of the realm have gathered for you at [Root.Location.GetName]. You must choose one to join your Kingsguard.;Les plus grands chevaliers du royaume se sont réunis à [Root.Location.GetName]. Vous devez en choisir un pour qu'il rejoigne la Garde Royale, sous votre commandement. ;;;Los grandes caballeros del reino se han reunido en [Root.Location.GetName]. Debes elegir uno para unirse a la Guardia Real.;;;;;;;;;x;
EVTDESCkingsguard.3B;The greatest knights of the realm have gathered for you at [Root.Location.GetName]. You must choose one to join [FromFrom.GetTitledFirstNameNoRegnal]'s Kingsguard.;Les plus grands chevaliers du royaume se sont réunis à [Root.Location.GetName]. Vous devez en choisir un pour qu'il rejoigne la Garde Royale, sous le commandement de [FromFrom.GetTitledFirstNameNoRegnal]. ;;;Los grandes caballeros del reino se han reunido en [Root.Location.GetName]. Debes elegir uno para unirse a la Guardia Real de [FromFrom.GetTitledFirstNameNoRegnal];;;;;;;;;x;
EVTOPTAkingsguard.3;[KG_1.GetTitledFirstNameWithDynasty], step forward!;[KG_1.GetTitledFirstName] [KG_1.GetOnlyDynastyName], un pas en avant !;;;[KG_1.GetTitledFirstName] [KG_1.GetOnlyDynastyName], un paso adelante!;;;;;;;;;x;
EVTOPTBkingsguard.3;[KG_2.GetTitledFirstNameWithDynasty], step forward!;[KG_2.GetTitledFirstName] [KG_2.GetOnlyDynastyName], un pas en avant !;;;[KG_2.GetTitledFirstName] [KG_2.GetOnlyDynastyName], un paso adelante!;;;;;;;;;x;
EVTOPTCkingsguard.3;[KG_3.GetTitledFirstNameWithDynasty], step forward!;[KG_3.GetTitledFirstName] [KG_3.GetOnlyDynastyName], un pas en avant !;;;[KG_3.GetTitledFirstName] [KG_3.GetOnlyDynastyName], un paso adelante!;;;;;;;;;x;
EVTDESCkingsguard.4;At your request, the greatest knights of the realm have gathered for you at [Root.Location.GetName]. You have carefully weeded out the treacherous and untrustworthy. All those who remain can be trusted to be loyal to you, and you alone. Now you must choose one to serve on your Kingsguard.;A votre demande, les plus grands chevaliers du royaume se sont réunis à [Root.Location.GetName]. Vous avez soigneusement écarté les hommes déloyaux et les menteurs. Tous ceux qui restent sont dignes de foi et sont loyaux envers vous. Maintenant vous devez en choisir pour servir dans la Garde Royale. ;;;A tu petición los mejores caballeros del reino se han reunido en [Root.Location.GetName]. Has quitado cuidadosamente a los hombres desleales y mentirosos. Todos los que quedan son fiables y son leales. Ahora debes elegir quien servirá en la Guardia Real.;;;;;;;;;x;
EVTDESCkingsguard.4B;At your request, the greatest knights of the realm have gathered for you at [Root.Location.GetName]. You have carefully weeded out the treacherous and untrustworthy. All those who remain can be trusted to be loyal to you, and you alone. Now you must choose one to serve on [FromFrom.GetTitledFirstNameNoRegnal]'s Kingsguard.;A votre demande, les plus grands chevaliers du royaume se sont réunis à [Root.Location.GetName]. Vous avez soigneusement écarté les hommes déloyaux et les menteurs. Tous ceux qui restent sont dignes de foi et sont loyaux envers vous. Maintenant vous devez en choisir pour servir dans la Garde Royale. ;;;A tu petición los mejores caballeros del reino se han reunido en [Root.Location.GetName]. Has quitado cuidadosamente a los hombres desleales y mentirosos. Todos los que quedan son fiables y son leales. Ahora debes elegir quien servirá en la Guardia Real de [FromFrom.GetTitledFirstNameNoRegnal].;;;;;;;;;x;
