######Hightower Nicknames;;;;;;;;;;;;;;x
nick_the_black_tower;the Blacktower;la Tour Noire;;;la Torre Negra;;;;;;;;;x
nick_the_white_tower;the Whitetower;la Tour Blanche;;;la Torre Blanca;;;;;;;;;x
nick_the_crazed_tower;the Madtower;la Tour Démente;;;la Torre Demente;;;;;;;;;x
nick_the_wild_tower;the Angry Tower;la Tour Sauvage;;;la Torre Enojada;;;;;;;;;x
nick_the_harmless_tower;the Redtower;Sans-Muraille;;;la Torre Inofensiva;;;;;;;;;x
nick_the_big_tower;the Hightower;la Hautetour;;;Torrealta;;;;;;;;;x
nick_the_strong_tower;Strongtower;la Tour Terrible;;;Torrefuerte;;;;;;;;;x
nick_the_charming_tower;the Fairtower;la Tour Charmante;;;la Torre Apuesta;;;;;;;;;x
nick_the_grotesque_tower;the Broken Tower;la Tour Brisée;;;la Torre Grotesca;;;;;;;;;x
nick_the_little_tower;the Lowtower;la Tourette;;;Torrebaja;;;;;;;;;x
nick_the_wise_tower;the Wise Tower;la Tour Sage;;;la Torre Sabia;;;;;;;;;x
nick_the_simple_tower;the Dulltower;la Tour Simplette;;;Torrecilla;;;;;;;;;x
nick_the_learned_tower;the Darktower;la Tour Érudite;;;la Torre Erudita;;;;;;;;;x
nick_the_delicate_tower;the Weak Tower;la Tour Délicate;;;la Torre Delicada;;;;;;;;;x
nick_the_suspicious_tower;the Silvertower;la Tour Sûre;;;la Torre Desconfiada;;;;;;;;;x
nick_the_headstrong_tower;the Oldtower;la Tour Ferme;;;Torreantigua;;;;;;;;;x
nick_the_tower_knight;the Tower[This.GetNicknameWarrior];le Chevalier-Tour;;;la Torre [This.GetNicknameWarrior];;;;;;;;;x
######Manderly Nicknames;;;;;;;;;;;;;;x
nick_the_black_merman;the Black Merman;le Triton Noir;;;el Tritón Negro;;;;;;;;;x
nick_the_white_merman;the White Merman;le Triton Blanc;;;el Tritón Blanco;;;;;;;;;x
nick_the_crazed_merman;the Mad Merman;le Triton Fou;;;el Tritón Loco;;;;;;;;;x
nick_the_wild_merman;the Wroth Merman;le Triton Sauvage;;;el Tritón Salvaje;;;;;;;;;x
nick_the_harmless_merman;the Red Merman;le Triton Inoffensif;;;el Tritón Inofensivo;;;;;;;;;x
nick_the_big_merman;the Big Merman;le Grand Triton;;;el Gran Tritón;;;;;;;;;x
nick_the_strong_merman;the Strong Merman;le Triton Invincible;;;el Tritón Musculoso;;;;;;;;;x
nick_the_charming_merman;the Handsome Merman;le Charmant Triton;;;el Tritón Apuesto;;;;;;;;;x
nick_the_grotesque_merman;the Ugly Merman;le Triton Ugly;;;el Tritón Espantoso;;;;;;;;;x
nick_the_little_merman;the Little Merman;le Petit Triton;;;el Pequeño Tritón;;;;;;;;;x
nick_the_wise_merman;the Sage Merman;le Triton Sage;;;el Tritón Sabio;;;;;;;;;x
nick_the_simple_merman;the Dim Merman;le Triton Simplet;;;el Tritón Simplón;;;;;;;;;x
nick_the_learned_merman;the Dark Merman;le Triton Érudit;;;el Tritón Erudito;;;;;;;;;x
nick_the_delicate_merman;the Lame Merman;le Triton Délicat;;;el Tritón Delicado;;;;;;;;;x
nick_the_suspicious_merman;the Silver Merman;le Triton Suspicieux;;;el Tritón Suspicaz;;;;;;;;;x
nick_the_headstrong_merman;the Old Merman;le Triton Inflexible;;;el Tritón Inflexible;;;;;;;;;x
####Shablone - Female;;;;;;;;;;;;;;x
nick_the_black_mermaid;the Black Mermaid;la Sirène Noire;;;la Sirena Negra;;;;;;;;;x
nick_the_white_mermaid;the White Mermaid;la Sirène Blanche;;;la Sirena Blanca;;;;;;;;;x
nick_the_crazed_mermaid;the Mad Mermaid;la Sirène Folle;;;la Sirena Loca;;;;;;;;;x
nick_the_wild_mermaid;the Wild Mermaid;la Sirène Sauvage;;;la Sirena Salvaje;;;;;;;;;x
nick_the_harmless_mermaid;the Red Mermaid;la Sirène Inoffensive;;;la Sirena Inofensiva;;;;;;;;;x
nick_the_big_mermaid;the Big Mermaid;la Grande Sirène;;;la Gran Sirena;;;;;;;;;x
nick_the_strong_mermaid;the Strong Mermaid;la Sirène Invincible;;;la Sirena Invencible;;;;;;;;;x
nick_the_charming_mermaid;the Pretty Mermaid;la Charmante Sirène;;;la Sirena Encantadora;;;;;;;;;x
nick_the_grotesque_mermaid;the Ugly Mermaid;la Sirène Ugly;;;la Sirena Grotesca;;;;;;;;;x
nick_the_little_mermaid;the Little Mermaid;la Petite Sirène;;;la Pequeña Sirena;;;;;;;;;x
nick_the_wise_mermaid;the Canny Mermaid;la Sirène Sage;;;la Sirena Sabia;;;;;;;;;x
nick_the_simple_mermaid;the Vapid Mermaid;la Sirène Simplette;;;la Sirenita;;;;;;;;;x
nick_the_learned_mermaid;the Dark Mermaid;la Sirène Savante;;;la Sirena Pensante;;;;;;;;;x
nick_the_delicate_mermaid;the Weak Mermaid;la Sirène Délicate;;;la Sirena Delicada;;;;;;;;;x
nick_the_suspicious_mermaid;the Silver Mermaid;la Sirène Suspicieuse;;;la Sirena Recelosa;;;;;;;;;x
nick_the_headstrong_mermaid;the Old Mermaid;la Sirène Inflexible;;;la Sirena Testaruda;;;;;;;;;x
######Mormont Nicknames;;;;;;;;;;;;;;x
nick_the_black_bear;the Black Bear;l'Ours Noir;;;el Oso Negro;;;;;;;;;x
nick_the_white_bear;the White Bear;l'Ours Blanc;;;el Oso Blanco;;;;;;;;;x
nick_the_crazed_bear;the Mad Bear;l'Ours Fou;;;el Oso Loco;;;;;;;;;x
nick_the_wild_bear;the Angry Bear;l'Ours Sauvage;;;el Oso Salvaje;;;;;;;;;x
nick_the_harmless_bear;Redbear;l'Ours Mollasson;;;el Oso Dormido;;;;;;;;;x
nick_the_big_bear;the Greatbear;le Grand Ours;;;el Gran Oso;;;;;;;;;x
nick_the_strong_bear;Strongbear;le Grizzli;;;Osofuerte;;;;;;;;;x
nick_the_charming_bear;the Genial Bear;l'Ours Charmant;;;el Oso Encantador;;;;;;;;;x
nick_the_grotesque_bear;the Broken Bear;l'Ours Ugly;;;el Oso Deforme;;;;;;;;;x
nick_the_little_bear;the Little Bear;le Petit Ours;;;el Pequeño Oso;;;;;;;;;x
nick_the_wise_bear;the Wise Bear;l'Ours Sage;;;el Oso Sabio;;;;;;;;;x
nick_the_simple_bear;the Simple Bear;l'Ours Simplet;;;Osito;;;;;;;;;x
nick_the_learned_bear;Darkbear;l'Ours Éclairé ;;;el Oso Erudito;;;;;;;;;x
nick_the_delicate_bear;the Weak Bear;l'Ours Maniéré;;;el Oso Delicado;;;;;;;;;x
nick_the_suspicious_bear;the Silver Bear;l'Ours Méfiant;;;el Oso Desconfiado;;;;;;;;;x
nick_the_headstrong_bear;the Old Bear;l'Ours Têtu;;;el Oso Inflexible;;;;;;;;;x
nick_the_bear_knight;the Bear[This.GetNicknameWarrior];le Chevalier Ours;;;el Oso [This.GetNicknameWarrior];;;;;;;;;x
######Arryn Nicknames;;;;;;;;;;;;;;x
nick_the_black_falcon;the Black Falcon;le Faucon Noir;;;el Halcón Negro;;;;;;;;;x
nick_the_white_falcon;the White Falcon;le Gerfaut;;;el Halcón Blanco;;;;;;;;;x
nick_the_crazed_falcon;the Mad Falcon;le Faucon Fou;;;el Halcón Loco;;;;;;;;;x
nick_the_wild_falcon;the Angry Falcon;le Faucon Sauvage;;;el Halcón Salvaje;;;;;;;;;x
nick_the_harmless_falcon;the Red Falcon;le Sans-Serres;;;el Halcón Sin Garras;;;;;;;;;x
nick_the_big_falcon;the Greathawk;le Grand Faucon;;;el Gran Halcón;;;;;;;;;x
nick_the_strong_falcon;the Strong Falcon;le Faucon Puissant;;;el Halcón Gerifalte;;;;;;;;;x
nick_the_charming_falcon;the Peregrine;le Faucon d'or;;;el Halcón Apuesto;;;;;;;;;x
nick_the_grotesque_falcon;the Vulture;le Vautour;;;el Buitre;;;;;;;;;x
nick_the_little_falcon;the Smallhawk;le Fauconneau;;;el Falconete;;;;;;;;;x
nick_the_wise_falcon;the Sharp Talon;le Faucon Sage;;;el Halcón Sabio;;;;;;;;;x
nick_the_simple_falcon;the Talonless;le Faucon Simplet;;;el Halcón Simplón;;;;;;;;;x
nick_the_learned_falcon;Darkfalcon;le Faucon Savant;;;el Halcón Erudito;;;;;;;;;x
nick_the_delicate_falcon;the Feeble Falcon;le Faucon Gracieux;;;el Halcón Delicado;;;;;;;;;x
nick_the_suspicious_falcon;Silverwing;Serres-Assérées;;;Garraserrada;;;;;;;;;x
nick_the_headstrong_falcon;the Old Falcon;le Faucon Inflexible;;;el Halcón Inflexible;;;;;;;;;x
nick_the_laughing_falcon;the Laughing Falcon;le Faucon Rieur;;;el Halcón Sonriente;;;;;;;;;x
nick_the_falconknight;the Falcon[This.GetNicknameWarrior];le Chevalier-Faucon;;;el Halcón [This.GetNicknameWarrior];;;;;;;;;x
######Florent Nicknames;;;;;;;;;;;;;;x
nick_the_black_fox;the Black Fox;le Renard Noir;;;el Zorro Negro;;;;;;;;;x
nick_the_white_fox;the White Fox;le Renard Blanc;;;el Zorro Blanco;;;;;;;;;x
nick_the_crazed_fox;the Mad Fox;le Renard Fou;;;el Zorro Loco;;;;;;;;;x
nick_the_wild_fox;the Furious Fox;le Renard Sauvage;;;el Zorro Salvaje;;;;;;;;;x
nick_the_harmless_fox;Redfox;le Renard Inoffensif;;;el Zorro Inofensivo;;;;;;;;;x
nick_the_big_fox;the Big Fox;le Grand Renard;;;el Gran Zorro;;;;;;;;;x
nick_the_strong_fox;Strongfox;le Goupil;;;Zorrón;;;;;;;;;x
nick_the_charming_fox;Fairfox;le Charmant Renard;;;el Zorro Apuesto;;;;;;;;;x
nick_the_grotesque_fox;the Ugly Fox;le Renard Risible;;;el Zorro Grotesco;;;;;;;;;x
nick_the_little_fox;the Little Fox;le Renardeau;;;Zorrito;;;;;;;;;x
nick_the_wise_fox;the Cunning;le Renard Sage;;;el Zorro Astuto;;;;;;;;;x
nick_the_simple_fox;the Outfoxed;le Renard Simplet;;;el Raposo;;;;;;;;;x
nick_the_learned_fox;Darkfox;le Renard Érudit;;;el Zorro Listo;;;;;;;;;x
nick_the_delicate_fox;the Feeble Fox;le Renard Délicat;;;el Zorro Delicado;;;;;;;;;x
nick_the_suspicious_fox;the Silver Fox;le Renard Méfiant;;;el Zorro Desconfiado;;;;;;;;;x
nick_the_headstrong_fox;the Old Fox;le Renard Inflexible;;;el Zorro Inflexible;;;;;;;;;x
nick_the_fox_knight;the Fox[This.GetNicknameWarrior];le Chevalier-Renard;;;el Zorro [This.GetNicknameWarrior];;;;;;;;;x
######Greyjoy Nicknames;;;;;;;;;;;;;;x
nick_the_black_cracken;the Black Kraken;la Seiche Noire;;;el Kraken Negro;;;;;;;;;x
nick_the_white_cracken;the White Kraken;la Seiche Blanche;;;el Kraken Blanco;;;;;;;;;x
nick_the_crazed_cracken;Seawind;la Seiche Folle;;;el Kraken Loco;;;;;;;;;x
nick_the_wild_cracken;the Iron Storm;la Seiche Sauvage;;;el Kraken Salvaje;;;;;;;;;x
nick_the_harmless_cracken;the Red Kraken;la Seiche Inoffensive;;;el Kraken Calmado;;;;;;;;;x
nick_the_big_cracken;the Kraken;la Grande Seiche;;;el Gran Kraken;;;;;;;;;x
nick_the_strong_cracken;the Golden Kraken;le Kraken ;;;el Kraken Colosal;;;;;;;;;x
nick_the_charming_cracken;the Fair Kraken;la Charmante Seiche;;;el Kraken Apuesto;;;;;;;;;x
nick_the_grotesque_cracken;Monstrous Kraken;le Cuivre-Né;;;el Kraken Monstruoso;;;;;;;;;x
nick_the_little_cracken;the Iron Ingot;la Petite Seiche;;;Lingote de Hierro;;;;;;;;;x
nick_the_wise_cracken;the Wise Kraken;la Pieuvre;;;el Kraken Astuto;;;;;;;;;x
nick_the_simple_cracken;Dullsea;la Seiche Simplette;;;el Calamar;;;;;;;;;x
nick_the_learned_cracken;Darkiron;la Seiche des Livres;;;el Kraken Erudito;;;;;;;;;x
nick_the_delicate_cracken;Softiron;Dolcefer;;;Dulcehierro;;;;;;;;;x
nick_the_suspicious_cracken;the Silver Kraken;la Seiche Méfiante;;;el Kraken Suspicaz;;;;;;;;;x
nick_the_headstrong_cracken;the Old Kraken;Fer-Tête;;;el Viejo Kraken;;;;;;;;;x
nick_the_laughing_cracken;the Laughing Kraken;la Seiche Rieuse;;;el Kraken Sonriente;;;;;;;;;x
######Tully Nicknames;;;;;;;;;;;;;;x
nick_the_black_fish;the Blackfish;le Poisson Noir;;;el Pez Negro;;;;;;;;;x
nick_the_white_fish;the White River;le Poisson Blanc;;;el Pez Blanco;;;;;;;;;x
nick_the_crazed_fish;Madfish;le Poisson Fou;;;el Pez Loco;;;;;;;;;x
nick_the_wild_fish;Wildfish;le Poisson Sauvage;;;el Pez Salvaje;;;;;;;;;x
nick_the_harmless_fish;the Redfish;la Paisible Truite;;;la Trucha Pacífica;;;;;;;;;x
nick_the_big_fish;the Pike;le Grand Poisson;;;el Esturión;;;;;;;;;x
nick_the_strong_fish;the Strong Fish;le Brochet;;;el Lucio;;;;;;;;;x
nick_the_charming_fish;the Goldfish;le Poisson d'Or;;;el Pez Apuesto;;;;;;;;;x
nick_the_grotesque_fish;Troutface;Tête-d'Ecaille;;;Caratrucha;;;;;;;;;x
nick_the_little_fish;the Minnow;le Gardon;;;el Pezqueñín;;;;;;;;;x
nick_the_wise_fish;the Wise Fish;le Poisson Sage;;;el Pez Sabio;;;;;;;;;x
nick_the_simple_fish;the Trout;le Poisson Simplet;;;el Pececillo;;;;;;;;;x
nick_the_learned_fish;the Darkfish;le Poisson Érudit;;;el Pez Erudito;;;;;;;;;x
nick_the_delicate_fish;the Feeble Fish;le Poisson Tendre;;;el Pez Tierno;;;;;;;;;x
nick_the_suspicious_fish;the Silverfish;le Poisson Méfiant;;;el Pez Desconfiado;;;;;;;;;x
nick_the_headstrong_fish;the Old Fish;le Poisson Inflexible;;;el Pez Inflexible;;;;;;;;;x
nick_the_laughing_fish;the Laughing Fish;le Poisson Clown;;;el Pez Payaso;;;;;;;;;x
nick_the_fish_knight;the River[This.GetNicknameWarrior];le Chevalier-Poisson;;;el [This.GetNicknameWarrior] del Río;;;;;;;;;x
######Tyrell Nicknames;;;;;;;;;;;;;;x
nick_the_black_rose;the Black Rose;la Rose Noire;;;la Rosa Negra;;;;;;;;;x
nick_the_white_rose;the White Rose;la Rose Blanche;;;la Rosa Blanca;;;;;;;;;x
nick_the_crazed_rose;the Raving Rose;la Rose Folle;;;la Rosa Loca;;;;;;;;;x
nick_the_wild_rose;the Thorn;la Rose Sauvage;;;la Rosa Salvaje;;;;;;;;;x
nick_the_harmless_rose;the Red Rose;Sans-Epine;;;la Rosa Sin Espinas;;;;;;;;;x
nick_the_big_rose;the Big Rose;la Grande Rose;;;la Gran Rosa;;;;;;;;;x
nick_the_strong_rose;Strongrose;la Rose Invincible;;;la Rosa Fuerte;;;;;;;;;x
nick_the_charming_rose;the Summer Rose;la Rose d'été;;;la Rosa Estival;;;;;;;;;x
nick_the_grotesque_rose;the Wilted Rose;la Rose d'hiver;;;la Ortiga;;;;;;;;;x
nick_the_little_rose;Smallrose;la Petite Rose;;;la Pequeña Rosa;;;;;;;;;x
nick_the_wise_rose;Wiserose;la Rose Sage;;;la Rosa Astuta;;;;;;;;;x
nick_the_simple_rose;the Violet;la Rose Simplette;;;la Rosita;;;;;;;;;x
nick_the_learned_rose;Darkrose;la Rose Savante;;;la Rosa Sabia;;;;;;;;;x
nick_the_delicate_rose;the Lily;la Rose Délicate;;;el Lirio;;;;;;;;;x
nick_the_suspicious_rose;the Silver Rose;la Rose Méfiante;;;el Espino;;;;;;;;;x
nick_the_headstrong_rose;the Old Rose;la Rose Inflexible;;;el Rosón;;;;;;;;;x
nick_the_rose_knight;the Rose[This.GetNicknameWarrior];le Chevalier aux Roses;;;el [This.GetNicknameWarrior] de la Rosa;;;;;;;;;x
nick_the_knight_of_flowersB;the[This.GetNicknameWarrior] of Flowers;;;;el [This.GetNicknameWarrior] de la Rosa;;;;;;;;;x
######Martel Nicknames;;;;;;;;;;;;;;x
nick_the_black_spear;the Black Sun;la Lance Noire;;;la Lanza Negra;;;;;;;;;x
nick_the_white_spear;the White Sun;la Lance Blanche;;;la Lanza Blanca;;;;;;;;;x
nick_the_crazed_spear;Madspear;le Lance Folle;;;la Lanza Loca;;;;;;;;;x
nick_the_wild_spear;Wrothspear;la Lance Sauvage;;;Lanzasalvaje;;;;;;;;;x
nick_the_harmless_spear;Redspear;la Lance Émoussée;;;la Lanza Sin Punta;;;;;;;;;x
nick_the_big_spear;Longspear;la Longue Pique;;;Lanzalarga;;;;;;;;;x
nick_the_strong_spear;Strongspear;la Lance Imbrisable;;;el Lanzón;;;;;;;;;x
nick_the_charming_spear;Warmspear;la Charmante Lance;;;la Lanza Apuesta;;;;;;;;;x
nick_the_grotesque_spear;the Broken Spear;la Hallebarde;;;Lanzarrota;;;;;;;;;x
nick_the_little_spear;Shortspear;la Petite Lance;;;Lanzacorta;;;;;;;;;x
nick_the_wise_spear;Sharpspear;la Lance Sage;;;la Lanza Sabia;;;;;;;;;x
nick_the_simple_spear;Dullspear;la Lance Sans-Tête;;;Lanzatorpe;;;;;;;;;x
nick_the_learned_spear;Darkspear;la Lance Savante;;;la Lanza Erudita;;;;;;;;;x
nick_the_delicate_spear;Softspear;la Lance Délicate;;;la Lanza Delicada;;;;;;;;;x
nick_the_suspicious_spear;Silverspear;la Lance Empoisonnée;;;la Lanza Emponzoñada;;;;;;;;;x
nick_the_headstrong_spear;Oldspear;la Lance Inflexible;;;la Lanza Inflexible;;;;;;;;;x
nick_spearknight;the[This.GetNicknameWarrior] of Spears;le Chevalier des Lances;;;el [This.GetNicknameWarrior] de la Lanza;;;;;;;;;x
######Lannister Nicknames;;;;;;;;;;;;;;x
nick_the_black_lion;the Black Lion;le Lion Noir;;;el León Negro;;;;;;;;;x
nick_the_white_lion;the White Lion;le Lion Blanc;;;el León Blanco;;;;;;;;;x
nick_the_crazed_lion;the Mad Lion;le Lion Fou;;;el León Loco;;;;;;;;;x
nick_the_wild_lion;the Angry Lion;le Lion Sauvage;;;el León Salvaje;;;;;;;;;x
nick_the_harmless_lion;the Red Lion;le Lion Endormi;;;el León Durmiente;;;;;;;;;x
nick_the_big_lion;the Big Lion;le Grand Lion;;;el Gran León;;;;;;;;;x
nick_the_strong_lion;the Strong Lion;le Lion Invincible;;;el León Invencible;;;;;;;;;x
nick_the_charming_lion;the Golden Lion;le Lion Charmant;;;el León Apuesto;;;;;;;;;x
nick_the_grotesque_lion;the Ugly Lion;Sans-Crinière;;;el León Calvo;;;;;;;;;x
nick_the_little_lion;the Little Lion;le Petit Lion;;;el Pequeño León;;;;;;;;;x
nick_the_wise_lion;the Sage Lion;le Lion Sage;;;el León Sabio;;;;;;;;;x
nick_the_simple_lion;the Dim Lion;le Lion Simplet;;;el Leoncillo;;;;;;;;;x
nick_the_learned_lion;Darklion;le Lion Érudit;;;el León Erudito;;;;;;;;;x
