#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
incompetent_scientist;Novice Scientist;Savant incompétent;Wanderpriester;;Científico incompetente;;;;;;;;;x
incompetent_scientist_desc;The Novice Scientist received a scholarly education but displays no advanced talent beyond basic literacy and science.;Ce personnage a reçu une éducation savante, mais à part apprendre à lire, il n’en a rien retenu.;Der Wanderpriester hat zwar eine kirchliche Ausbildung genossen, aber dabei hat er nur halbwegs Lesen und Schreiben gelernt.;;Este personaje ha recibido una educación científica, pero no muestra talento más allá de la cienca y cultura básica.;;;;;;;;;x
dutiful_academic;Dutiful Academic;Savant soumis;Pflichtbewusster Geistlicher;;Académico obediente;;;;;;;;;x
dutiful_academic_desc;The Dutiful Academic is learned and possessed of beautiful penmanship, but lacks particular skills in advanced scholarship.;Ce personnage est éduqué et doué pour la calligraphie, mais il ne s’intéresse pas particulièrement aux études plus poussées.;Der pflichtbewusste Geistliche ist gebildet und von schöner Federführung wie besessen. Dafür mangelt es ihm aber an theologischem Interesse.;;Este personaje es culto y posee una bella caligrafía, pero no está particularmente interesado en conocimientos más avanzados.;;;;;;;;;x
expert_scientist;Expert Scientist;Savant érudit;Gelehrter Theologe;;Experto científico;;;;;;;;;x
expert_scientist_desc;The Expert Scientist is wise and well read, with a deep understanding of philosophy, science and history.;Ce personnage est sage, lettré et excelle dans les domaines de la philosophie, de l'histoire et de la littérature.;Der gelehrte Theologe ist weise und sehr belesen. Er hat großes Wissen in philosophischen und theologischen Dingen.;;Este personaje es sabio y culto, y posee un conocimiento profundo de filosofía, historia y literatura.;;;;;;;;;x
mastermind_scholar;Mastermind Scholar;Célèbre érudit;Meistertheologe;;Célebre erudito;;;;;;;;;x
mastermind_scholar_desc;The Mastermind Scholar is recognized as one of the top scholars of the Realm, perfect for a Maester's career and as a scholarly teacher.;Ce personnage est considéré comme l’un des grands esprits du Royaume. Il est destiné à devenir mestre ou enseignant. ;Der Meistertheologe wird als einer der besten Gelehrten der Kirche angesehen. Deshalb ist er perfekt für das Amt als Hofkaplan geeignet, und auch als Lehrer in geistlichen Belangen führt an ihm kein Weg vorbei.;;Este personaje es considerado una de las grandes mentes del Reino. Está destinado a convertirse en Maestre o enseñante.;;;;;;;;;x
maester;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
archmaester;Archmaester;Archimestre;Archmaester;Archmaester;Archimaestre;;;;;;;;;x
maester_desc;This character is a chained Maester of the Citadel;Ce personnage arbore la chaîne des mestres de la Citadelle.;;;Este personaje es un maestre de la Ciudadela;;;;;;;;;x
archmaester_desc;This character is an Archmaester of the Citadel, a senior member of the Order.;Ce personnage est un archimestre de la Citadelle, un supérieur de l'Ordre. ;;;Este personaje es un archimaestre de la Ciudadela;;;;;;;;;x
title_archmaester;Archmaester;Archimestre;Archmaester;Archmaester;Archimaestre;;;;;;;;;x
title_maester;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
title_maester_desc;This character is a chained Maester of the Citadel;Ce personnage arbore la chaîne des mestres de la Citadelle.;;;Este personaje lleva la cadena de los maestres de la Ciudadela.;;;;;;;;;x
job_physician;Court Physician;Soigneur;;;Sanador;;;;;;;;;x
job_physician_andal;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
job_physician_iron_isles_culture;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
job_physician_dornish;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
job_physician_high_valyrian;Court Physician;Soigneur;;;Sanador;;;;;;;;;x
job_physician_western_valyrian;Court Physician;Soigneur;;;Sanador;;;;;;;;;x
job_physician_first_men;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
job_physician_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x
job_physician_rhoynar;Court Physician;Soigneur;;;Sanador;;;;;;;;;x
job_physician_old_andal;Court Physician;Soigneur;;;Sanador;;;;;;;;;x
job_physician_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x
job_physician_skagosi;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
job_physician_asshai;Maegi;Maegi;;;Maegi;;;;;;;;;x
job_physician_pirate;Court Physician;Soigneur;;;Sanador;;;;;;;;;x
job_physician_corsair;Court Physician;Soigneur;;;Sanador;;;;;;;;;x
city_job_physician_andal;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
city_job_physician_iron_isles_culture;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
city_job_physician_dornish;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
city_job_physician_high_valyrian;Court Physician;Mestre;Maester;Maester;Maestre;;;;;;;;;x
city_job_physician_western_valyrian;Court Physician;Mestre;Maester;Maester;Maestre;;;;;;;;;x
city_job_physician_first_men;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
city_job_physician_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x
city_job_physician_rhoynar;Court Physician;Soigneur;;;Sanador;;;;;;;;;x
city_job_physician_old_andal;Court Physician;Soigneur;;;Sanador;;;;;;;;;x
city_job_physician_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x
city_job_physician_skagosi;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
city_job_physician_asshai;Maegi;Maegi;;;Maegi;;;;;;;;;x
city_job_physician_pirate;Court Physician;Soigneur;;;Sanador;;;;;;;;;x
city_job_physician_corsair;Court Physician;Soigneur;;;Sanador;;;;;;;;;x
LP_job_physician_andal;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
LP_job_physician_iron_isles_culture;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
LP_job_physician_dornish;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
LP_job_physician_high_valyrian;Court Physician;Mestre;Maester;Maester;Maestre;;;;;;;;;x
LP_job_physician_western_valyrian;Court Physician;Mestre;Maester;Maester;Maestre;;;;;;;;;x
LP_job_physician_first_men;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
LP_job_physician_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x
LP_job_physician_rhoynar;Court Physician;Soigneur;;;Sanador;;;;;;;;;x
LP_job_physician_old_andal;Court Physician;Soigneur;;;Sanador;;;;;;;;;x
LP_job_physician_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x
LP_job_physician_skagosi;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
LP_job_physician_asshai;Maegi;Maegi;;;Maegi;;;;;;;;;x
LP_job_physician_pirate;Court Physician;Soigneur;;;Sanador;;;;;;;;;x
LP_job_physician_corsair;Court Physician;Soigneur;;;Sanador;;;;;;;;;x
NW_job_physician_andal;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
NW_job_physician_iron_isles_culture;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
NW_job_physician_dornish;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
NW_job_physician_high_valyrian;Court Physician;Mestre;Maester;Maester;Maestre;;;;;;;;;x
NW_job_physician_western_valyrian;Court Physician;Mestre;Maester;Maester;Maestre;;;;;;;;;x
NW_job_physician_first_men;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
NW_job_physician_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x
NW_job_physician_rhoynar;Court Physician;Soigneur;;;Sanador;;;;;;;;;x
NW_job_physician_old_andal;Court Physician;Soigneur;;;Sanador;;;;;;;;;x
NW_job_physician_moon_clansman;Healer;Soigneur;;;Sanador;;;;;;;;;x
NW_job_physician_skagosi;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
NW_job_physician_asshai;Maegi;Maegi;;;Maegi;;;;;;;;;x
NW_job_physician_pirate;Court Physician;Soigneur;;;Sanador;;;;;;;;;x
NW_job_physician_corsair;Court Physician;Soigneur;;;Sanador;;;;;;;;;x
nomadic_job_physician_andal;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
nomadic_job_physician_iron_isles_culture;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
nomadic_job_physician_dornish;Maester;Mestre;Maester;Maester;Maestre;;;;;;;;;x
