#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
January;First Moon;janvier;Januar;Styczeñ;Enero;Gennaio;Január;Leden;;;;;;x
February;Second Moon;février;Februar;Luty;Febrero;Febbraio;Február;Únor;;;;;;x
March;Third Moon;mars;März;Marzec;Marzo;Marzo;Március;Bøezen;;;;;;x
April;Fourth Moon;avril;April;Kwiecieñ;Abril;Aprile;Április;Duben;;;;;;x
May;Fifth Moon;mai;Mai;Maj;Mayo;Maggio;Május;Kvìten;;;;;;x
June;Sixth Moon;juin;Juni;Czerwiec;Junio;Giugno;Június;Èerven;;;;;;x
July;Seventh Moon;juillet;Juli;Lipiec;Julio;Luglio;Július;Èervenec;;;;;;x
August;Eighth moon;août;August;Sierpieñ;Agosto;Agosto;Augusztus;Srpen;;;;;;x
September;Ninth Moon;septembre;September;Wrzesieñ;Septiembre;Settembre;September;Záøí;;;;;;x
October;Tenth Moon;octobre;Oktober;PaŸdziernik;Octubre;Ottobre;Október;Øíjen;;;;;;x
November;Eleventh Moon;novembre;November;Listopad;Noviembre;Novembre;November;Listopad;;;;;;x
December;Twelfth Moon;décembre;Dezember;Grudzieñ;Diciembre;Dicembre;December;Prosinec;;;;;;x
String_January;First Moon;janvier;Januar;;Primera Luna;;;;;;;;;x
String_February;Second Moon;février;Februar;;Segunda Luna;;;;;;;;;x
String_March;Third Moon;mars;März;;Tercera Luna;;;;;;;;;x
String_April;Fourth Moon;avril;April;;Cuarta Luna;;;;;;;;;x
String_May;Fifth Moon;mai;Mai;;Quinta Luna;;;;;;;;;x
String_June;Sixth Moon;juin;Juni;;Sexta Luna;;;;;;;;;x
String_July;Seventh Moon;juin;Juni;;Séptima Luna;;;;;;;;;x
String_August;Eighth Moon;août;August;;Octava Luna;;;;;;;;;x
String_September;Ninth Moon;septembre;September;;Novena Luna;;;;;;;;;x
String_October;Tenth Moon;octobre;Oktober;;Décima Luna;;;;;;;;;x
String_November;Eleventh Moon;novembre;November;;Undécima Luna;;;;;;;;;x
String_December;Twelfth Moon;décembre;Dezember;;Duodécima Luna;;;;;;;;;x
