#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_the_ironside;Ironside;Côte-de-Fer;Eisenseite;;Brazo de Hierro;;;;;;;;;x
nick_the_poet;the Poet;le Poète;der Dichter;;el Poeta;;;;;;;;;x
nick_the_cunning;the Cunning;le Sagace;der Listige;;el Astuto;;;;;;;;;x
nick_the_meek;the Meek;le Doux;der Sanftmütige;;el Manso;;;;;;;;;x
nick_the_impaler;the Tickler;l'Empaleur;der Kitzler;;el Empalador;;;;;;;;;x
nick_the_spider;the Spider;l'Araignée;die Spinne;;la Araña;;;;;;;;;x
nick_the_learned;the Learned;le Savant;der Gelehrte;;el Instruido;;;;;;;;;x
nick_the_eloquent;the Eloquent;l'Éloquent;der Wortgewandte;;el Elocuente;;;;;;;;;x
nick_the_indolent;the Indolent;l'Indolent;der Träge;;el Indolente;;;;;;;;;x
nick_the_hunchback;the Hunchback;le Bossu;der Bucklige;;el Jorobado;;;;;;;;;x
nick_the_benign;the Benign;le Bienveillant;der Gutartige;;el Benigno;;;;;;;;;x
nick_the_leper;the Leper;le Lépreux;der Aussätzige;;el Leproso;;;;;;;;;x
nick_the_prudent;the Prudent;le Prudent;der Umsichtige;;el Prudente;;;;;;;;;x
nick_the_wolf;the Wolf;le Loup;der Wolf;;el Lobo;;;;;;;;;x
nick_the_downcast;the Downcast;l'Abattu;der Niedergeschlagene;;el Alicaído;;;;;;;;;x
nick_the_mild;the Mild;le Léger;der Milde;;el Blando;;;;;;;;;x
nick_the_scholar;the Scholar;l'Érudit;der Schüler;;el Erudito;;;;;;;;;x
nick_the_theologian;the Theologian;le Théologien;der Theologe;;el Teólogo;;;;;;;;;x
nick_the_decadent;the Decadent;le Décadent;der Dekadente;;el Decadente;;;;;;;;;x
nick_the_vain;the Vain;le Vaniteux;der Eitle;;el Vanidoso;;;;;;;;;x
nick_the_stout;the Stout;le Robuste;der Stämmige;;el Robusto;;;;;;;;;x
nick_the_ugly;the Ugly;le Laid;der Hässliche;;el Feo;;;;;;;;;x
nick_the_short;the Short;le Bref;der Kleingewachsene;;el Corto;;;;;;;;;x
nick_the_planter;the Planter;le Planteur;der Pflanzer;;el Plantador;;;;;;;;;x
nick_the_rash;the Rash;l'Imprudent;der Unbesonnene;;el Imprudente;;;;;;;;;x
nick_the_parricide;the Parricide;le Parricide;der Vatermörder;;el Matasangre;;;;;;;;;x
nick_the_illustrious;the Illustrious;l'Illustre;der Berühmte;;el Ilustre;;;;;;;;;x
