#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ironborn_reaving;Go on a Reaving;Partir pour un raid;;;Organizar una expedición de saqueo;;;;;;;;;x
ironborn_reaving_desc;Pay the iron price and organise a ironborn reaving across the Narrow Sea, to pillage and plunder. You will need a §Yregent§! whilst away.;Payer le fer-prix et organiser un raid fer-né au-delà du Détroit pour razzier et piller. Vous allez avoir besoin d'un ¤Yrégent¤! pendant votre absence.;;;Pagar el precio del hierro y organizar una expedición de saqueo más allá del Mar Angosto. Necesitarás un ¤Yregente¤! Durante tu ausencia.;;;;;;;;;x
on_reaving;Reaving;En raid;;;En una expedición de saqueo;;;;;;;;;x
on_reaving_desc;This character is abroad reaving and paying the iron price ;Ce personnage se trouve à l'étranger pour razzier et payer le fer-prix;;;Este personaje está en una expedición de saqueo;;;;;;;;;x
TOOLTIPINVITEREAVING;The Ironborn in your court and family will be invited to go on a reaving\n;Les Fer-nés de votre cour et de votre famille vont être invités à participer à un raid\n;;;Los Hombres del Hierro de tu corte y de tu familia serán invitados a participar en una expedición de saqueo.\n;;;;;;;;;x
EVTDESCraid_events.1;Who shall suffer the wroth of the Ironborn? Where shall we pillage and plunder to pay the Iron price?;Qui subira la colère des Fer-Nés? Où devrions-nous piller et razzier pour payer le fer-prix?;;;Quién sufrirá la cólera de los Hijos del Hierro? Dónde deberíamos saquear para pagar el precio del hierro?;;;;;;;;;x
EVTOPTAraid_events.1;The Disputed Lands are ripe for pillage;Les Terres Disputées sont mûres pour le pillage;;;Las Tierras de la Discordia están maduras para el saqueo;;;;;;;;;x
EVTOPTBraid_events.1;Northern Essos shall suffer;Le Nord d'Essos va souffrir;;;El Norte de Essos sufrirá;;;;;;;;;x
EVTOPTCraid_events.1;The lands of the Summer Sea are weak;Les pays de la Mer d’Été sont faibles;;;Las tierras del Mar del Verano son débiles;;;;;;;;;x
EVTOPTDraid_events.1;Slaver's Bay has much plunder to be found;La Baie des Serfs nous rapportera le plus de butin;;;La Bahía de los Esclavos nos proporcionará un gran botín;;;;;;;;;x
EVTDESCraid_events.2;[Root.GetFirstNameWithDynasty], I invite you to the pay the iron price by joining me on a reaving across in the seas of The Disputed Lands. I promise we will gain many salt wives and much plunder, as in the ways of old!\n\n Yours,\n[From.GetFirstNameWithDynasty];[Root.GetFirstNameWithDynasty], je vous invite à payer le fer-prix en rejoignant mon raid au-delà du Détroit. Je vous promet quantité de femme-sels et de butins, comme autrefois!\n\n Bien à vous,\n[From.GetFirstNameWithDynasty];;;[Root.GetFirstNameWithDynasty], os invito a pagar el precio del hierro uniéndoos a mi expedición de saqueo más allá de las Tierras de la Discordia. Os prometo gran cantidad de esposas de sal y botines, como las antiguas costumbres!\n\n Atentamente,\n[From.GetFirstNameWithDynasty];;;;;;;;;x
EVTDESCraid_events.2B;[Root.GetFirstNameWithDynasty], I invite you to the pay the iron price by joining me on a reaving far to the north in the Shivering Sea, where we can target Lorathi and Ibbenese ships. I promise we will gain many salt wives and much plunder, as in the ways of old!\n\n Yours,\n[From.GetFirstNameWithDynasty];[Root.GetFirstNameWithDynasty], je vous invite à payer le fer-prix en rejoignant mon raid au-delà du Détroit. Je vous promet quantité de femme-sels et de butins, comme autrefois!\n\n Bien à vous,\n[From.GetFirstNameWithDynasty];;;[Root.GetFirstNameWithDynasty], os invito a pagar el precio del hierro uniéndoos a mi expedición de saqueo más allá del Mar de los Escalofríos, donde atacaremos naves lorathias e Ibbenesas. Os prometo gran cantidad de esposas de sal y botines, como las antiguas costumbres!\n\n Atentamente,\n[From.GetFirstNameWithDynasty];;;;;;;;;x
