#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
WARNING: SPOILERS ARE IN THIS FILE;;;;;;;;;;;;;;x
EVTDESC999900230;Stannis ASoS- Placeholder;Stannis ASoS- Maître de la place;;;Stannis ASoS- Marcador de posición;;;;;;;;;x
EVTOPTA999900230;tbd;tbd;;;tbd;;;;;;;;;x
EVTDESC999900231;Balon greyjoy ASoS- Placeholder;Balon Greyjoy ASoS- Maître de la place;;;Balon Greyjoy ASoS- Marcador de posición;;;;;;;;;x
EVTOPTA999900231;tbd;tbd;;;tbd;;;;;;;;;x
EVTDESC999900233;Mace Tyrell ASoS- Placeholder;Mace Tyrell ASoS- Maître de la place;;;Mace Tyrell ASoS- Marcador de posición;;;;;;;;;x
EVTOPTA999900233;tbd;tbd;;;tbd;;;;;;;;;x
EVTDESC999900234;Joffrey ASoS- Placeholder;Joffrey ASoS- Maître de la place;;;Joffrey ASoS- Marcador de posición;;;;;;;;;x
EVTTITLEstorm_of_swords.1;Return of the Onion Knight;Retour du Chevalier Oignon;;;Retorno del Caballero de la Cebolla;;;;;;;;;x
EVTDESCstorm_of_swords.1;Placeholder- Stannis decides next action;Maître de la place- Stannis décide de la prochaine action;;;Marcador de posición- Stannis decide la próxima acción;;;;;;;;;x
EVTOPTAstorm_of_swords.1;Agree with Davos- go to wall (placeholder);D'accord avec Davos- aller au Mur (maître de la place);;;De acuerdo con Davos- ir al Muro (marcador de posición);;;;;;;;;x
EVTOPTBstorm_of_swords.2;Agree with Axell- attack claw isle (placeholder);D'accord avec Axell- attaquer Pince-Isle (maître de la place);;;De acuerdo con Axel- atacar Isla Zarpa (marcador de posición);;;;;;;;;x
EVTOPTCstorm_of_swords.2;Brood some more (placeholder);Couvez-en un peu plus (maître de la place);;;Rumiarlo un poco más (marcador de posición);;;;;;;;;x
EVTTITLEaegons_landing.1;War of Conquest;La Conquête;;;Guerra de la Conquista;;;;;;;;;x
EVTDESCaegons_landing.1;It has been a century since the Doom of Valyria which left House Targaryen as the last bastion of the blood of the Dragon. We have strived to expand our holdings ever since, and now we are poised to conquer using the Dragons as the ultimate weapon- rather than relying on our meager manpower. The Free Cities call upon me to unite them into a new Freehold, Westeros and its Seven Kingdoms, however, seems a greater prize... ;Cela fait un siècle que le Fléau s'est abattu sur Valyria, faisant de la Maison Targaryen le dernier bastion du sang du Dragon. Depuis, nous avons attendu le moment propice pour étendre nos possessions et aujourd'hui nous sommes prêts à lancer une guerre de conquête en nous appuyant essentiellement sur nos dragons, nos troupes n'ayant que de maigres effectifs. Les Cités Libres m'appellent pour que je les unissent en une nouvelle Possession, mais Westeros et ses Sept Royaumes semble être bien plus alléchants. Après le refus du Roi de l'Orage Argilac l'Arrogant d'unir sa fille à mon ami et demi-frère Orys et la mort de mon ambassadeur dont il a fait trancher les mains, je sais qu'il voudra résister. Je prendrai ses terres par la force s'il le faut, il ne peut y avoir qu'un seul Roi...;;;Hace un siglo que la maldición cayó sobre Valyria, haciendo de la casa Targaryen el último bastión de la sangre del Dragón. Hemos estado esperando el momento propicio para extender nuestras posesiones y hoy es el día en el que estamos preparados para lanzar una guerra de conquista apoyándonos en nuestros dragones, ya que nuestras tropas están escasas de efectivos. Las Ciudades Libres me llaman para que las unifique en un nuevo Feudo Franco, pero Poniente y sus Siete Reinos parecen ser más atractivos. Tras el rechazo del Rey de la Tormenta Argilac el Arrogante de unir a su hija con mi amigo y mediohermano Orys y la muerte de mi emisario al que cortó las manos, sé que querrá resistirse, pero tomaré sus tierras por la fuerza si es necesario, no habrá más que un rey...;;;;;;;;;x
EVTOPTAaegons_landing.110;All of Westeros shall bend the knee;Tout Westeros devra ployer le genou.;;;Todo Poniente doblará la rodilla.;;;;;;;;;x
EVTOPTBaegons_landing.110;I will establish a new Valyrian Empire in Essos!;Je vais établir un nouvel empire valyrien à Essos !;;;Estableceré un nuevo Imperio Valyrio en Essos!;;;;;;;;;x
EVTOPTCaegons_landing.110;Actually, I accept the Storm King's offer of an alliance;;;;En realidad, acepto la oferta de una alianza con el rey de la tormenta;;;;;;;;;x
EVTDESCaegons_landing.110;After the Storm King Argilac the Arrogant refused my offer of a marriage between my friend Orys and his daughter, insulting me by cutting our envoy's hand off, I knew that the Kings of Westeros would resist. I will take these lands by force if necessary, there will be only one king...;Après le refus du Roi de l'Orage Argilac l'Arrogant de donner sa fille en mariage à mon ami Orys et la cruauté dont il a fait preuve avec mes envoyés, Il est clair que les rois de Westeros résisteront. Je prendrai ces terres par la force si nécessaire, il n'y aura qu'un roi... ;;;Tras el rechazo del Rey de la Tormenta Argilac el Arrogante de unir a su hija con mi amigo y mediohermano Orys y la muerte de mi emisario al que cortó las manos, sé que los reyes de POniente querrán resistirse, pero tomaré sus tierras por la fuerza si es necesario, no habrá más que un rey...;;;;;;;;;x
EVTOPTAaegons_landing.1;The Iron Islands shall submit;Les Iles de Fer devront se soumettre;;;Las Islas del Hierro deberán someterse;;;;;;;;;x
EVTOPTBaegons_landing.1;The Storm King shall bend the knee;Le Roi de l'Orage devra plier le genou;;;El Rey de la Tormenta doblará la rodilla;;;;;;;;;x
EVTOPTGaegons_landing.1;The Lands of the Reach are fertile;Les terres du Bief sont fertiles;;;Las tierras del Dominio son fértiles;;;;;;;;;x
EVTOPTCaegons_landing.1;I Strike at the Lords of the west!;Que d'or entre les mains des Rois du Roc!;;;Tomaré el oro de los reyes de la Roca!;;;;;;;;;x
TOOLTIPEVTOPTAaegons_landing.1;All local Lords sworn to [This.GetFirstNameWithDynasty] shall be subdued\n;Tous les seigneurs jurant allégeance à [This.GetFirstNameWithDynasty] devront être soumis\n;;;Todos los señores que juran fidelidad a [This.GetFirstNameWithDynasty] deberán someterse\n;;;;;;;;;x
EVTDESCaegons_landing.111;Ever since the Doom of Valyria the remnants of the Freehold, the so called Free Cities, have fought for supremacy. Volantis, one such leftover, offered an alliance to reunite these cities, but I joined her enemies and cast them down lest they grew too powerful. I will not be equal to these mongrel Volantenes, I will forge Valyria anew under my own banner!;Depuis le Fléau de Valyria les restes des Possessions, les fameuses Cités Libres, se battent pour la suprémacie. L'un d'entre elles, Volantis, a offert une alliance pour réunir à nouveau les cités. Mais j'ai rejoins ses ennemis pour la détruire avant qu'elle ne devienne trop puissante. Je ne serai pas l'égal de ces dégénérés de Volantains, je recréerai Valyria sous ma propre bannière ! ;;;Tras la maldición de Valyrias, los restos del Feudo Franco, las famosas Ciudades Libres, luchan entre ellas por la supremacía. Una de ellas, Volantis, te ha ofrecido una alianza para unir de nuevo las ciudades. Pero me he unido a sus enemigos para destrurila antes de que se haga demasiado poderosa. No seré como esos degenerados volantinos, refundaré Valyria bajo mi propio estandarte! ;;;;;;;;;x
EVTOPTAaegons_landing.111;The Pentoshi shall bend the knee;Les Pentoshi devront plier le genou.;;;Los pónticos doblarán la rodilla.;;;;;;;;;x
EVTOPTBaegons_landing.111;Myr shall be my next target;Myr sera ma prochaine cible.;;;Myr será mi próximo objetivo.;;;;;;;;;x
EVTOPTCaegons_landing.111;The Island of Tyrosh shall fall;L'île de Tyrosh tombera.;;;La isla de Tyrosh caerá.;;;;;;;;;x
EVTOPTDaegons_landing.111;Braavos is strong, but not as strong as the Dragon;Braavos est puissante, mais pas aussi puissante que le dragon.;;;Braavos es poderosa, pero no tanto como el dragón.;;;;;;;;;x
EVTDESCaegons_landing.2;[Root.PrimaryTitle.GetFOA], [From.GetFirstNameWithDynasty], the reknowned dragon rider, has sent his sisters to us, demanding we swear him fealty! [From.GetSheHeCap] claims [Root.PrimaryTitle.GetName] by right of conquest and demands our immediate surrender. Surely we cannot fight against such beasts? Surely we must surrender?;[Root.PrimaryTitle.GetFOA], [From.GetFirstNameWithDynasty], le fameux chevaucheur de dragon, nous a envoyé sa soeur, demandant que nous lui jurions fidélité! [From.GetSheHeCap] revendique [Root.PrimaryTitle.GetName] par droit de conquête et demande notre reddition immédiate. Pouvons-nous nous battre contre de tels monstres? Devrions-nous nous rendre? ;;;[Root.PrimaryTitle.GetFOA], [From.GetFirstNameWithDynasty], el famoso jinete de dragón, nos ha enviado a su hermana, pidiendo que le juremos lealtad! [From.GetSheHeCap] reclama [Root.PrimaryTitle.GetName] por derecho de conquista y pide nuestra rendición inmediata. Podríamos luchar contra estas bestias? Deberíamos rendirnos?;;;;;;;;;x
