stillborn;Stillborn;Mort-né;;;Mortinato;;;;;;;;;x;
stillborn_desc;This child was dead at birth.;Cet enfant est mort à la naissance.;;;Este niño murió al nacer.;;;;;;;;;x;
stillborn_death;stillborn;mort-né.;;;mortinato;;;;;;;;;x;
EVTOPTB400;I'll have to ask for some moon tea.;Je vais devoir demander du thé de lune.;;;Tendré que pedir té de la luna.;;;;;;;;;x;
TOOLTIPSTILLBIRTH;The child will be stillborn.\n;L'enfant sera mort-né.;;;El niño será un mortinato.;;;;;;;;;x;
EVTOPTA402;I suppose it's time to come clean about the affair.;Je suppose qu'il est temps de tout dire sur cette affaire.;;;Supongo que es hora de decir la verdad sobre este asunto...;;;;;;;;;x;
EVTOPTC402;Perhaps, but [Root.Spouse.GetFirstName] doesn't know that...;Peut-être, mais [Root.Spouse.GetFirstName] ne le sait pas…;;;Tal vez, pero [Root.Spouse.GetFirstName] no lo sabe…;;;;;;;;;x;
EVTTOOLTIP404;You tell [This.GetFirstName] you are expecting his child, he will suspect something is not right...;va apprendre qu'il ne s'agit pas de son enfant.;;;se enterará de tu aventura.;;;;;;;;;x;
EVTTOOLTIP40499;You confess to [This.GetFirstName] of your adultery;;;;Usted confiesa [This.GetFirstName] de su adulterio;;;;;;;;;x;
EVTDESC40499;At first, you were overjoyed to learn that [From.GetFirstName] was pregnant - but that joy turned to rage as she confessed that you weren't the father.;C'est d'abord avec joie que vous avez appris la grossesse de [From.GetFirstName], mais celle-ci a rapidement fait place à la colère lorsqu'elle vous a avoué que vous n'étiez pas le père. ;;;Te alegraste mucho al enterarte del embarazo de [From.GetFirstName], pero esa alegría se volvió rabia cuando te confesó que no eras el padre. ;;;;;;;;;x;
EVTOPTA40499;This will have to be dealt with.;Il va fallloir faire avec.;;;Algo habrá que hacer.;;;;;;;;;x;
EVTTOOLTIP405;Your lover [This.GetFirstName] reacts to your confession.;réagit à vos aveux.;;;reacciona a tu confesión.;;;;;;;;;x;
EVTDESC405;As you arrive at court, you see [From.Spouse.GetTitledFirstName] fix you with a steely gaze. At first, you think nothing of it, but you soon hear the talk of the court. Everyone knows that [From.GetFirstName] is pregnant - and worse, everyone knows that you're the father! She has confessed to the entire affair!;A votre arrivée à la cour vous êtes accueilli par le regard froid de [From.Spouse.GetTitledFirstName]. Au début vous n'y avez pas prêté grande attention, mais vous avez rapidement entendu les rumeurs dont bruissait la cour. Tout le monde sait que [From.GetFirstName] est enceinte, mais pire que cela, tout le monde sait que vous êtes le père ! Elle a tout avoué !;;;Al llegar a la corte [From.Spouse.GetTitledFirstName] te recibe con la mirada fría. Al principio no prestas atención, pero rápidamente te enteras de los rumores que corren por la corte. Todo el mundo sabe que [From.GetFirstName] está embarazada, pero lo peor de todo es que todo el mundo sabe que eres el padre! Ella lo ha confesado todo!;;;;;;;;;x;
EVTOPTA405;That treacherous whore!;La traîtresse ! La catin !;;;Esa puta traidora!;;;;;;;;;x;
