escaped_siege;Escaped from a siege;Echappé d'un siège;;;Escapó del asedio;;;;;;;;;;x
left_at_siege;Kept in the Castle;Enfermé dans le château;;;Encerrado en el castillo;;;;;;;;;;x
left_to_rot;Left to rot in prison;Laissé pourrir en prison;;;Dejado pudrirse en prisión;;;;;;;;;;x
death_escape;Died attempting a daring escape;Mort en tentant de s'évader;;;Muerto intentando fugarse;;;;;;;;;;x
left_behind;Left behind at siege;Laissé pour compte lors du siège;;;Abandonado en un asedio;;;;;;;;;;x
stalwart_defender;Stalwart Defender;Fidèle Défenseur;;;Defensor incondicional;;;;;;;;;;x
modifier_hidden;Hidden in countryside;Caché dans la campagne;;;Escondido en el campo;;;;;;;;;;x
joined_war_against_me;Joined War Against Me;A rejoint une guerre contre moi;;;Se unió a una guerra contra mi;;;;;;;;;;x
stolen_banner;Captured Banner;Bannière capturée;;;Estandarte capturado;;;;;;;;;;x
liberated;Liberated from occupation;Libéré de l'occupation;;;Liberado de la ocupación;;;;;;;;;;x
EVTDESCSIEGECAPTURE;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] was captured by [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] while trying to flee the castle!;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a été capturé(e) par [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] durant sa tentative d'évasion !;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] wurde in der Schlacht von [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] gefangengenommen!;;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] fue capturado por [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] en un intento de fuga!;;;;;;;;;;x
EVTDESCCAPTUREENEMYSIEGE;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] was captured after the siege and is now my prisoner!;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] a été capturé(e) après le siège. C’est désormais mon(ma) prisonnier(ière) !;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] wurde in der Schlacht gefangengenommen und ist nun mein Gefangener!;;[From.GetTitledFirstNameWithDynastyAndTitleNoRegnal] fue capturado tras el asedio y ahora es mi prisionero!;;;;;;;;;;x
EVTDESCbattlewin001;You can add this to the list of my accomplishments.;Vous pouvez l'ajouter à la liste de mes exploits.;;;Puedes añadir esto a mi lista de logros;;;;;;;;;;x
EVTDESCsiegewin001;You can add this to the list of my accomplishments.;Vous pouvez l'ajouter à la liste de mes exploits.;;;Puedes añadir esto a mi lista de logros;;;;;;;;;;x
EVTDESCsiegeescape01;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal]! The castle could fall any day now, we must make preparations...;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal] ! Le château pourrait tomber d'un jour à l'autre, nous devons nous y préparer… ;;;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal]! El castillo puede caer en cualquier día, debemos prepararnos...;;;;;;;;;;x
EVTOPTAsiegeescape1;Flee the castle via secret underground tunnel...;S'échapper du château grâce à un tunnel secret…;;;Escapar del castillo por túneles subterráneos secretos;;;;;;;;;;x
EVTOPTAsiegeescape2;place;place;;;sitio;;;;;;;;;;x
EVTDESCsiege_agot.2A;[Root.PrimaryTitle.GetFOA], we've rounded up everybody we could find in [FromFrom.GetName]. What should we do with them?;[Root.PrimaryTitle.GetFOA], nous avons regroupé toutes les personnes que nous avons trouvé. Que devons-nous faire avec eux ? ;;;[Root.PrimaryTitle.GetFOA], hemos agrupado a todos los que encontramos. ¿Qué debemos hacer ahora?;;;;;;;;;;x
EVTDESCsiege_agot.2B;[Root.PrimaryTitle.GetFOA], we have taken [FromFrom.GetName], but [siege_location_owner.GetTitledFirstNameWithDynastyNoRegnal] is not here...;[Root.PrimaryTitle.GetFOA], il n'est pas là…;;;[Root.PrimaryTitle.GETFOA], su líder no está aquí..;;;;;;;;;;x
EVTDESCsiege_agot.2C;[Root.PrimaryTitle.GetFOA], I am pleased to report I have captured some high value prisoners after our successful siege of [FromFrom.GetName]. I hereby turn them over to you for your judgement.\n\nYours Humbly\n[From.GetTitledFirstNameNoRegnal];[Root.PrimaryTitle.GetFOA], je suis heureux de vous apprendre que j'ai fais des prisonniers ayant une grande valeur après votre prise de [FromFrom.GetName]. Je vous les envoie devant vous pour que vous les jugiez.\n\nVotre humble serviteur\n[From.GetTitledFirstName];;;[Root.PrimaryTitle.GetFOA], me complace informarle que capturé prisioneros de alto valor después de nuestro exitoso asedio a [FromFrom.GetName]. Por la presente, se los entrego para que los juzgue.\n\nVuestro humilde\n[From.GetTitledFirstName];;;;;;;;;;x
