greensight;Green Dreams;Vervoyant;;;Verdevidente;;;;;;;;;x
greensight_desc;This character dreams of the future.;Ce personnage voit l'avenir dans ses rêves;;;Este personaje tienes sueños verdes proféticos;;;;;;;;;x
crow;A Crow;Un corbeau;;;Un Cuervo;;;;;;;;;x
crow_desc;A crow always follows this character.;Un corbeau accompagne constamment ce personnage;;;Un Cuervo siempre sigue a este personaje;;;;;;;;;x
wolf;A Wolf;Un loup;;;Un Lobo;;;;;;;;;x
wolf_desc;A wolf always follows this character.;Un loup accompagne constamment ce personnage;;;Un lobo siempre sigue a este personaje;;;;;;;;;x
whale;A Whale;Une baleine;;;Una Ballena;;;;;;;;;x
whale_desc;A whale is oddly always offshore from this character.;Une baleine n'est jamais loin de ce personnage quand il est en mer;;;Una Ballena siempre sigue a este personaje;;;;;;;;;x
sea_lion;A Sea Lion;Un lion de mer;;;Un León Marino;;;;;;;;;x
sea_lion_desc;A sea lion always follows this character.;Un lion de mer acompagne constamment ce personnage.;;;Un León Marino siempre sigue a este personaje;;;;;;;;;x
eagle;An Eagle;Un aigle;;;Un Águila;;;;;;;;;x
eagle_desc;An Eagle always follows this character.;Un aigle accompagne constamment ce personnage;;;Un águila siempre sigue a este personaje;;;;;;;;;x
shadowcat;A Shadow Cat;Un chat noir;;;Un Gatosombra;;;;;;;;;x
shadowcat_desc;A Shadow Cat always follows this character.;Un chat noir accompagne constamment ce personnage;;;Un Gatosombra siempre sigue a este personaje;;;;;;;;;x
boar;A Boar;Un sanglier;;;Un Jabalí;;;;;;;;;x
boar_desc;A Boar always follows this character.;Un sanglier accompagne constamment ce personnage;;;Un Jabalí siempre sigue a este personaje;;;;;;;;;x
snowbear;A Snow Bear;Un ours blanc;;;Un Oso Blanco;;;;;;;;;x
snowbear_desc;A Snow Bear always follows this character.;Un ours blanc accompagne constamment ce personnage;;;Un Oso Blanco siempre sigue a este personaje;;;;;;;;;x
direwolf;A Direwolf;Un loup-garou;;;Un Lobo Huargo;;;;;;;;;x
direwolf_desc;Name: §Y[Root.direwolf_name.GetFirstName]§!\nA Direwolf always follows [Root.GetFirstName].\n[From.GetFirstName];Un loup-garou accompagne constamment ce personnage;;;Nombre: §Y[Root.direwolf_name.GetFirstName]§!\nA Huargo siempre sigue a [Root.GetFirstName].\n[From.GetFirstName];;;;;;;;;x
dog;A Dog;Un chien;;;Un Perro;;;;;;;;;x
dog_desc;A Dog always follows this character.;Un chien accompagne constamment ce personnage.;;;Un Perro siempre sigue a este personaje;;;;;;;;;x
brownbear;A Brown Bear;Un ours brun;;;Un Oso Pardo;;;;;;;;;x
