#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_beyond_wall;Beyond the Wall;Au-delà du Mur;Beyond the Wall;Beyond the Wall;Más allá del Muro;;;;;;;;;x
k_beyond_the_wall;Beyond the Wall;Au-delà du Mur;Beyond the Wall;Beyond the Wall;Más allá del Muro;;;;;;;;;x
d_upper_frostfangs;Upper Frostfangs;Crocgivres Supérieurs;Upper Frostfangs;Upper Frostfangs;Colmillos Helados Superiores;;;;;;;;;x
d_shivering_shore;The Otherlands;La Rive Grelotte;The Shivering Shore;The Shivering Shore;Las Tierras de los Otros;;;;;;;;;x
d_lower_frostfangs;Lower Frostfangs;Crocgivres Inférieurs;Lower Frostfangs;Lower Frostfangs;Colmillos Helados Inferiores;;;;;;;;;x
d_haunted_forest;The Haunted Forest;La Forêt Hantée;The Haunted Forest;The Haunted Forest;El Bosque Encantado;;;;;;;;;x
d_frozen_shore;The Frozen Shore;La Grève Glacée;The Frozen Shore;The Frozen Shore;La Costa Helada;;;;;;;;;x
c_whitetree;Whitetree;L'Arbre Blanc;Whitetree;Whitetree;Árbolblanco;;;;;;;;;x
c_thenn;The Thenn;Thenn;Thenn;Thenn;Thenn;;;;;;;;;x
c_the_gorge;The Gorge;Les Gorges;The Gorge;The Gorge;La Garganta;;;;;;;;;x
c_skirling_pass;Skirling Pass;Col Museux;Skirling Pass;Skirling Pass;Paso Aullante;;;;;;;;;x
c_shivering_forest;The Shivering Forest;La Forêt Frissonnante;The Shivering Forest;The Shivering Forest;El Bosque de los Escalofríos;;;;;;;;;x
c_n_frostfangs;Frost Caves;Crocgivres Septentrionaux;Northern Frostfangs;Northern Frostfangs;Cuevas Heladas;;;;;;;;;x
c_ice_bay_shore;Ice Bay Shore;Rive de la Baie des Glaces;Ice Bay Shore;Ice Bay Shore;Costa de Bahía Helada;;;;;;;;;x
c_haunted_forest;The Haunted Forest;La Forêt Hantée;The Haunted Forest;The Haunted Forest;El Bosque Encantado;;;;;;;;;x
c_hardhome;Hardhome;Durlieu;Hardhome;Hardhome;Casa Austera;;;;;;;;;x
c_frozen_shore;The Frozen Shore;La Grève Glacée;The Frozen Shore;The Frozen Shore;La Costa Helada;;;;;;;;;x
c_fot_first_men;Fist of the First Men;Poing des Premiers Hommes;Fist of the First Men;Fist of the First Men;Puño de los Primeros Hombres;;;;;;;;;x
c_crasters_keep;Winter Keep;Fort-Hiver;;;Torreón del Invierno;;;;;;;;;x
c_crasters_keep_B;Craster's Keep;Manoir de Craster;Craster's Keep;Craster's Keep;Torreón de Craster;;;;;;;;;x
c_c_frostfangs;Forktop;Crocgivre Centraux;Central Frostfangs;Central Frostfangs;Colmillos Helados Centrales;;;;;;;;;x
c_antler_vale;Antler Vale;Vallée de l'Epois;Antler Vale;Antler Vale;Valle del Asta;;;;;;;;;x
b_ruddy_hall;Ruddy Hall;Cramoisi;Ruddy Hall;Ruddy Hall;Salón Rojo;;;;;;;;;x
b_thenn;Thenn;Thenn;Thenn;Thenn;Thenn;;;;;;;;;x
b_forktop_point;Jagged Point;Cap des Fourches;Forktop Point;Forktop Point;Cimaforca;;;;;;;;;x
b_skirling_watch;Skirling Watch;Tour Museuse;Skirling Watch;Skirling Watch;Torre Aullante;;;;;;;;;x
b_the_fist;Fist of the First Men;Poing des Premiers Hommes;Fist of the First Men;Fist of the First Men;Puño de los Primeros Hombres;;;;;;;;;x
