#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_dorne;Dorne;Dorne;Dorne;Dorne;Dorne;;;;;;;;;x
e_dorne_adj;Dornish;Dornien;Dornish;Dornish;Dorniense;;;;;;;;;x
k_dorne;Dorne;Dorne;Dorne;Dorne;Dorne;;;;;;;;;x
k_dorne_adj;Dornish;Dornien;Dornish;Dornish;Dorniense;;;;;;;;;x
d_brokenarm;Broken Arm;Bras Cassé;Broken Arm;Broken Arm;Brazo Roto;;;;;;;;;x
c_sunspear;Sunspear;Lancehélion;Sunspear;Sunspear;Lanza del Sol;;;;;;;;;x
b_speartower;Sunspear;Lancehélion;Sunspear;Sunspear;Lanza del Sol;;;;;;;;;x
b_theshadowtown;The Shadow Town;La Ville Ombreuse;The Shadow Town;The Shadow Town;Ciudad de la Sombra;;;;;;;;;x
b_watergardens;Water Gardens;Jardins Aquatiques;Water Gardens;Water Gardens;Los Jardines del Agua;;;;;;;;;x
b_towerofthesun;The Sandship;La Frégate des Sables;Tower of the Sun;Tower of the Sun;Barco de Arena;;;;;;;;;x
b_threefoldgate;Threefold Gates;Triples Portes;Threefold Gates;Threefold Gates;La Triple Puerta;;;;;;;;;x
b_oldpalace;Old Palace;Palais Vieux;Old Palace;Old Palace;Palacio Antiguo;;;;;;;;;x
b_sunnysept;Sunny Sept;Septuaire Ensoleillé;Sunny Sept;Sunny Sept;Septo Soleado;;;;;;;;;x
c_lemonwood;Lemonwood;Boycitre;Lemonwood;Lemonwood;Limonar;;;;;;;;;x
b_lemonwood;Lemonwood;Boycitre;Lemonwood;Lemonwood;Limonar;;;;;;;;;x
b_sourton;Sourton;Sourton;Sourton;Sourton;Los Bancales;;;;;;;;;x
b_oldlordsmanor;Old Lords Manor;Vieux-Lords;Old Lords Manor;Old Lords Manor;Feudo Viejo;;;;;;;;;x
b_millerstown;Millerstown;Meulebourg;Millerstown;Millerstown;Azahar;;;;;;;;;x
b_stinkwater;Stinkwater;;;;;;;;;;;;;x
b_deadglade;Deadglade;Morte-Clairière;Deadglade;Deadglade;Piedrafresca;;;;;;;;;x
c_plankytown;Plankytown;Tablade;Plankytown;Plankytown;Los Tablones;;;;;;;;;x
b_bloodspill;Bloodspill;Sanversé;Bloodspill;Bloodspill;Atalaya del Sangreverde;;;;;;;;;x
b_longdike;Longdike;Grand Barrage;Longdike;Longdike;Acequia;;;;;;;;;x
b_tribunal;Tribunal;Tribunal;Tribunal;Tribunal;Tribunal;;;;;;;;;x
b_vipersnest;Viper's Nest;Le Nid des Vipères;Viper's Nest;Viper's Nest;Nido de la Víbora;;;;;;;;;x
b_plankytown;Plankytown;Tablade;Plankytown;Plankytown;Los Tablones;;;;;;;;;x
c_spotswood;Spottswood;Bois-Moucheté;Spotswood;Spotswood;Bosquepinto;;;;;;;;;x
b_olivegrove;Olivegrove;Olive;Olivegrove;Olivegrove;El Olivar;;;;;;;;;x
b_greystoke;Greystoke;Grichauffe;Greystoke;Greystoke;Corcel de la Arena;;;;;;;;;x
b_thornford;Thornford;Gué des Epines;Thornford;Thornford;Vado del Espino;;;;;;;;;x
b_whitecliff;Whitecliff;Blanche-Falaise;Whitecliff;Whitecliff;Caballeriza;;;;;;;;;x
b_spotswood;Spotswood;Bois-Tâcheté;Spotswood;Spotswood;Bosquepinto;;;;;;;;;x
d_vaith;Vaith;Vaith;Vaith;Vaith;Vaith;;;;;;;;;x
c_godsgrace;Godsgrace;La Gracedieu;Godsgrace;Godsgrace;Bondadivina ;;;;;;;;;x
b_godsgrace;Godsgrace;La Gracedieu;Godsgrace;Godsgrace;Bondadivina ;;;;;;;;;x
b_rhoynestear;Rhoyne's Tear;Larme de Rhoyne;Rhoyne's Tear;Rhoyne's Tear;Lágrima del Rhoyne;;;;;;;;;x
b_dunstables;Dunstables;Donestable;Dunstables;Dunstables;Los Médanos;;;;;;;;;x
b_orangewood;Orangewood;Boyorange;Orangewood;Orangewood;Naranjal;;;;;;;;;x
b_santon;Santon;Santon;Santon;Santon;El Santón;;;;;;;;;x
b_waterfoot;Waterfoot;Pieds-Mouillés;Waterfoot;Waterfoot;Aguatón;;;;;;;;;x
c_saltshore;Salt Shore;Salrivage;Saltshore;Saltshore;Costa Salada;;;;;;;;;x
b_saltshore;Salt Shore;Salrivage;Saltshore;Saltshore;Costa Salada;;;;;;;;;x
b_bayswater;Bayswater;Baies de l'Eau;Bayswater;Bayswater;Poza de la Sal;;;;;;;;;x
b_seashellshall;Seashell's Hall;Furie de la Mer;Seashell's Hall;Seashell's Hall;Caparazón;;;;;;;;;x
b_saltmarket;Saltmarket;Marché du Sel;Saltmarket;Saltmarket;Puerto Salazón;;;;;;;;;x
b_seacourt;Seacourt;Courmer;Seacourt;Seacourt;El Salar;;;;;;;;;x
c_reddunes;The Red Dunes;Les Dunes Rouges;Red Dunes;Red Dunes;Dunas Rojas;;;;;;;;;x
b_reddunes;Vaith;Vaith;Vaith;Vaith;Vaith;;;;;;;;;x
b_whiskerville;Whiskerville;Poilruine;Whiskerville;Whiskerville;La Zafra;;;;;;;;;x
b_ferry;Ferry;Ferry;Ferry;Ferry;Almazara;;;;;;;;;x
b_vaith;Duneside;Dunine;;;Barján;;;;;;;;;x
b_holdbytheriver;Hold by the River;Tour de la Rivière;Hold by the River;Hold by the River;Olivares del Río;;;;;;;;;x
c_scorchedrock;Scorched Rock;Roche Roussie;Scorched Rock;Scorched Rock;Roca Quemada;;;;;;;;;x
b_sandwall;Sandwall;Mur de Sable;Sandwall;Sandwall;Muro de Arena;;;;;;;;;x
b_oldglory;Old Glory;Vieille Gloire;Old Glory;Old Glory;Vieja Gloria;;;;;;;;;x
b_deserthearth;Deserthearth;Cœur-Désert;Deserthearth;Deserthearth;Fogón;;;;;;;;;x
b_lastoasis;Last Oasis;Dernière Oasis;Last Oasis;Last Oasis;Último Oasis;;;;;;;;;x
d_ghosthills;Ghost Hills;Spectremont;Ghosthills;Ghosthills;Colinas Fantasma;;;;;;;;;x
c_ghosthills;Ghost Hill;Spectremont;Ghosthills;Ghosthills;Colina Fantasma;;;;;;;;;x
b_ghosthill;Ghost Hill;Spectremont;Ghosthill;Ghosthill;Colina Fantasma;;;;;;;;;x
b_sevengraces;Sevengraces;Septigrâces;Sevengraces;Sevengraces;Sietegracias;;;;;;;;;x
b_nymercairn;Nymercairn;Cairn Caché;Nymercairn;Nymercairn;Túmulo de Nymeria;;;;;;;;;x
b_hallsofthedead;Halls of the Dead;Demeures des Morts;Halls of the Dead;Halls of the Dead;Las Catacumbas;;;;;;;;;x
b_barrows;Barrows;Collines ;Barrows;Barrows;Túmulo Fantasma;;;;;;;;;x
c_thescourge;The Scourge;Le Fléau;The Scourge;The Scourge;Azote;;;;;;;;;x
b_cronetower;Cronetower;VieilleTour;Cronetower;Cronetower;Torre de la Arpía;;;;;;;;;x
b_scourgeford;Scourgeford;Gué du Fléau;Gué du Fléau;Scourgeford;Vado del Azote;;;;;;;;;x
b_maidentower;Maidentower;Tour de la Jouvencelle;Tour de la Pucelle;Maidentower;Torre de la Doncella;;;;;;;;;x
b_mothertower;Mothertower;Tour de la Mère;Mothertower;Mothertower;Torre de la Madre;;;;;;;;;x
b_sunburst;Sunburst;Rayon de Soleil;Sunburst;Sunburst;Rayo de Sol;;;;;;;;;x
c_thetor;The Tor;Le Pic;The Tor;The Tor;Tor;;;;;;;;;x
b_amber;The Amber;L'Ambre;The Amber;The Amber;La Pluma;;;;;;;;;x
b_bushmills;Bushmills;Moulin de Brousailles;Bushmills;Bushmills;Pozo del Matorral;;;;;;;;;x
b_sharkshore;Sharkshore;Rivage des Requins;Sharkshore;Sharkshore;Piedra Caballera;;;;;;;;;x
b_thetor;The Tor;Le Pic;The Tor;The Tor;Tor;;;;;;;;;x
b_septondunes;Sept on Dunes;Septuaire des Dunes;Sept on Dunes;Sept on Dunes;El Alcor;;;;;;;;;x
b_sandgate;Sandgate;Porte du Sable;Sandgate;Sandgate;Puertarena;;;;;;;;;x
c_ghastongrey;Ghaston Grey;Griseffroy;Ghaston Grey;Ghaston Grey;Rocagrís;;;;;;;;;x
b_ghastongrey;Ghaston Grey;Griseffroy;Ghaston Grey;Ghaston Grey;Rocagrís;;;;;;;;;x
b_greyport;Greyport;Port-Gris;Greyport;Greyport;Presidio;;;;;;;;;x
d_brimstone;Brimstone;Soufre;Brimstone;Brimstone;Azufre;;;;;;;;;x
c_nymerwell;Nymerwell;Nymerwell;Nymerwell;Nymerwell;Pozo de Nymeria;;;;;;;;;x
b_saltmines;Saltmines;Mines de Sel;Saltmines;Saltmines;Minas de Sal;;;;;;;;;x
b_dustyrock;Dusty Rock;Roche Poussiéreuse;Dusty Rock;Dusty Rock;Roca Polvorienta;;;;;;;;;x
b_silentwatcher;Silent Watcher;Guetteur Silencieux;Silent Watcher;Silent Watcher;El Brocal;;;;;;;;;x
b_wellofnymeria;Well of Nymeria;Puîts de Nyméria;Well of Nymeria;Well of Nymeria;Pozo de Nymeria;;;;;;;;;x
c_greatdesert;Great Desert;Grand Désert;Great Desert;Great Desert;Gran Desierto;;;;;;;;;x
b_scimitar;Scimitar;Cimeterre;Scimitar;Scimitar;Cimitarra;;;;;;;;;x
b_drywell;Drywell;Bonsec;Drywell;Drywell;Pozomarchito;;;;;;;;;x
b_sandford;Sandford;Gué-Ensablée;Sandford;Sandford;Vadera Baldía;;;;;;;;;x
c_hellholt;Hellholt;Denfert;Hellholt;Hellholt;Sotoinferno;;;;;;;;;x
