#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_jade_sea;The Jade Sea;La Mer de Jade;;;El Mar de Jade;;;;;;;;;x
e_qarth;Qaath;Qaath;;;Qaath;;;;;;;;;x
e_qarth_adj;Qaathi;Qaathi;;;Qaatheca;;;;;;;;;x
k_qarth;Qarth;Qarth;;;Qarth;;;;;;;;;x
k_qarth_adj;Qartheen;Qarthien;;;Qarthiense;;;;;;;;;x
d_qarth;Qarth;Qarth;;;Qarth;;;;;;;;;x
d_qarth_adj;Qartheen;Qarthien;;;Qarthiense;;;;;;;;;x
d_thirteen;The Thirteen;Les Treize;;;Los Trece;;;;;;;;;x
d_tourmaline;The Tourmaline Brotherhood;La Fraternité Tourmaline;;;La Hermandad de la Turmalina;;;;;;;;;x
d_spicers;The Spicers;Les Epiciers;;;Los Especieros;;;;;;;;;x
d_warlocks;The Warlocks of Qarth;Les Conjurateurs de Qarth;;;Los Brujos de Qarth;;;;;;;;;x
GUILD_OF;Guild of;Guilde de(s);;;Gremio de;;;;;;;;;x
ANCIENT_GUILD_OF;Ancient Guild of;Ancienne Guilde de(s);;;Antiguo Gremio de;;;;;;;;;x
c_qarth;Qarth;Qarth;;;Qarth;;;;;;;;;x
b_hall_thrones;The Hall of a Thousand Thrones;La Salle aux Mille Trônes;;;La Sala de los Mil Tronos;;;;;;;;;x
b_port_qarth;Qarth;Qarth;;;Qarth;;;;;;;;;x
b_house_undying;The House of the Undying;L'Hôtel des Nonmourrants;;;La Casa de los Eternos;;;;;;;;;x
b_port_thirteen;Port Thirteen;Port des Treize;;;Puerto de los Trece;;;;;;;;;x
b_tourmaline_harbour;Tourmaline Harbour;Port-Tourmaline;;;Puerto Turmalina;;;;;;;;;x
b_spicer_port;Spicer Port;Port des Epiciers;;;Puerto de los Especieros;;;;;;;;;x
b_jade_palace;Jade Palace;Palais de Jade;;;Palacio de Jade;;;;;;;;;x
d_matsar;Matsar;Matsar;;;Matsar;;;;;;;;;x
c_matsar;Matsar;Matsar;;;Matsar;;;;;;;;;x
b_matsar;Matsar;Matsar;;;Matsar;;;;;;;;;x
b_matsartown;Matsar;Matsar;;;Matsar;;;;;;;;;x
b_matsartemple;Matsar;Matsar;;;Matsar;;;;;;;;;x
d_lehqron;Lehqron;Lehqron;;;Lehqron;;;;;;;;;x
c_lehqron;Lehqron;Lehqron;;;Lehqron;;;;;;;;;x
b_lehqron;Lehqron;Lehqron;;;Lehqron;;;;;;;;;x
b_lehqrontown;Lehqron;Lehqron;;;Lehqron;;;;;;;;;x
b_lehqrontemple;Lehqron;Lehqron;;;Lehqron;;;;;;;;;x
c_jadepoint;Jade Point;Pointe-Jade;;;Punta de Jade;;;;;;;;;x
b_jadepoint;Jade Point;Pointe-Jade;;;Punta de Jade;;;;;;;;;x
b_jadepoint_castle;Jade Point;Pointe-Jade;;;Punta de Jade;;;;;;;;;x
b_jadepoint_temple;Jade Point;Pointe-Jade;;;Punta de Jade;;;;;;;;;x
d_jade_gate;The Jade Gate;Les Portes de Jade;;;Las Puertas de Jade;;;;;;;;;x
c_jadegate;Jade Gate;Portes de Jade;;;Puerta de Jade;;;;;;;;;x
b_jadegate;Jade Gate;Portes de Jade;;;Puerta de Jade;;;;;;;;;x
b_jadegate_castle;Jade Gate;Portes de Jade;;;Puerta de Jade;;;;;;;;;x
b_jadegate_temple;Jade Gate;Portes de Jade;;;Puerta de Jade;;;;;;;;;x
c_bawrashar;Bawrashar;Bawrashar;;;Bawrashar;;;;;;;;;x
b_bawrashar;Bawrashar;Bawrashar;;;Bawrashar;;;;;;;;;x
b_bawrashar_castle;Bawrashar;Bawrashar;;;Bawrashar;;;;;;;;;x
b_bawrashar_temple;Bawrashar;Bawrashar;;;Bawrashar;;;;;;;;;x
d_qarkash;Qarkash;Qarkash;;;Qarkash;;;;;;;;;x
c_qarkash;Qarkash;Qarkash;;;Qarkash;;;;;;;;;x
b_qarkash;Qarkash;Qarkash;;;Qarkash;;;;;;;;;x
b_qarkash_city;Qarkash;Qarkash;;;Qarkash;;;;;;;;;x
b_qarkash_temple;Qarkash;Qarkash;;;Qarkash;;;;;;;;;x
c_cape_of_skulls;Cape of Skulls;Cap des Crânes;;;Cabo Calavera;;;;;;;;;x
b_cape_of_skulls;Cape of Skulls;Cap des Crânes;;;Cabo Calavera;;;;;;;;;x
b_cape_of_skulls_castle;Cape of Skulls;Cap des Crânes;;;Cabo Calavera;;;;;;;;;x
b_cape_of_skulls_temple;Cape of Skulls;Cap des Crânes;;;Cabo Calavera;;;;;;;;;x
d_port_yhos;Port Yhos;Port Yhos;;;Puerto Yhos;;;;;;;;;x
c_port_yhos;Port Yhos;Port Yhos;;;Puerto Yhos;;;;;;;;;x
b_port_yhos;Port Yhos;Port Yhos;;;Puerto Yhos;;;;;;;;;x
b_port_yhos_city;Port Yhos;Port Yhos;;;Puerto Yhos;;;;;;;;;x
b_port_yhos_temple;Port Yhos;Port Yhos;;;Puerto Yhos;;;;;;;;;x
c_makhrosh;Makhrosh;Makhrosh;;;Makhrosh;;;;;;;;;x
b_makhrosh;Makhrosh;Makhrosh;;;Makhrosh;;;;;;;;;x
b_makhrosh_city;Makhrosh;Makhrosh;;;Makhrosh;;;;;;;;;x
b_makhrosh_temple;Makhrosh;Makhrosh;;;Makhrosh;;;;;;;;;x
c_nechos;Nekhos;Nekhos;;;Nekhos;;;;;;;;;x
b_nechos;Nekhos;Nekhos;;;Nekhos;;;;;;;;;x
b_nechos_city;Nekhos;Nekhos;;;Nekhos;;;;;;;;;x
b_nechos_temple;Nekhos;Nekhos;;;Nekhos;;;;;;;;;x
d_toqolarth;Toqolarth;Toqolarth;;;Toqolarth;;;;;;;;;x
c_toqolarth;Toqolarth;Toqolarth;;;Toqolarth;;;;;;;;;x
b_toqolarth;Toqolarth;Toqolarth;;;Toqolarth;;;;;;;;;x
b_toqolarth_city;Toqolarth;Toqolarth;;;Toqolarth;;;;;;;;;x
b_toqolarth_temple;Toqolarth;Toqolarth;;;Toqolarth;;;;;;;;;x
c_qolahn;Qolahn;Qolahn;;;Qolahn;;;;;;;;;x
b_qolahn;Qolahn;Qolahn;;;Qolahn;;;;;;;;;x
b_qolahn_city;Qolahn;Qolahn;;;Qolahn;;;;;;;;;x
b_qolahn_temple;Qolahn;Qolahn;;;Qolahn;;;;;;;;;x
d_qal;Qal;Qal;;;Qal;;;;;;;;;x
c_qal;Qal;Qal;;;Qal;;;;;;;;;x
