#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_reach;The Reach;Le Bief;The Reach;The Reach;El Dominio;;;;;;;;;x
e_reach_adj;Reachman;du Bief;Reachman;Reachman;del Dominio;;;;;;;;;x
k_reach;The Reach;Bief;The Reach;The Reach;El Dominio;;;;;;;;;x
k_reach_adj;Reachman;du Bief;Reachman;Reachman;del Dominio;;;;;;;;;x
d_ocean_road;Oceanroad;Route du Front de Mer;Oceanroad;Oceanroad;Camino del Océano;;;;;;;;;x
c_old_oak;Old Oak;Vieux Rouvre;Old Oak;Old Oak;Roble Viejo;;;;;;;;;x
c_catswold;Catswold;Chatière;Catswold;Catswold;Colina del Gato;;;;;;;;;x
d_red_lake;Red Lake;Lac Rouge;Red Lake;Red Lake;Lago Rojo;;;;;;;;;x
c_redwater;Red Lake;Lac Rouge;Redwater;Redwater;Lago Rojo;;;;;;;;;x
c_risley_glade;Risley Glade;;;;Claro Risley;;;;;;;;;x
d_northmarch;The Northmarch;La Marche du Nord;The Northmarch;The Northmarch;La Marca del Norte;;;;;;;;;x
c_coldmoat;Coldmoat;Froide-Douve;Coldmoat;Coldmoat;Fosafría;;;;;;;;;x
c_dosk;Dosk;Dosk;Dosk;Dosk;Dosk;;;;;;;;;x
c_standfast;Standfast;Piéferme;Standfast;Standfast;Tiesa;;;;;;;;;x
c_derring_downs;Derring Downs;Bas-Derring;Derring Downs;Derring Downs;Colinas de la Gesta;;;;;;;;;x
d_goldengrove;Goldengrove;Boisdoré;Goldengrove;Goldengrove;Sotodeoro;;;;;;;;;x
c_goldengrove;Goldengrove;Boisdoré;Goldengrove;Goldengrove;Sotodeoro;;;;;;;;;x
c_smithyton;Smithyton;Bourg-les-forges;Smithyton;Smithyton;Herrera;;;;;;;;;x
c_ivy_hall;Ivy Hall;Sallierre;Ivy Hall;Ivy Hall;Salón de Hiedra;;;;;;;;;x
d_torrentpeak;Torrentpeak;Pictorrent;Torrentpeak;Torrentpeak;Pico Torrentino;;;;;;;;;x
c_wythers;Wythers;Wythers;Wythers;Wythers;Wythers;;;;;;;;;x
c_alden_keep;Alden Keep;Tour d'Alden;Alden Keep;Alden Keep;Almenar;;;;;;;;;x
c_torrentpeak;Torrentpeak;Pictorrent;Torrentpeak;Torrentpeak;Pico Torrentino;;;;;;;;;x
d_tumbleton;Tumbleton;Chutebourg;Tumbleton;Tumbleton;Ladera;;;;;;;;;x
c_tumbleton;Tumbleton;Chutebourg;Tumbleton;Tumbleton;Ladera;;;;;;;;;x
c_harpshire;Harpshire;Harpes;Harpshire;Harpshire;Tierras del Arpa;;;;;;;;;x
c_hammerhal;Hammerhal;Martelerie;Hammerhal;Hammerhal;Martillán;;;;;;;;;x
d_roseroad;The Rose Road;La Route de la Rose;The Rose Road;The Rose Road;El Camino de las Rosas;;;;;;;;;x
c_bitterbridge;Bitterbridge;Pont-l'Amer;Bitterbridge;Bitterbridge;Puenteamargo;;;;;;;;;x
c_leygood_keep;Leygood Keep;Tour Bonleu;Leygood Keep;Leygood Keep;Fuerte Leygood;;;;;;;;;x
c_longtable;Longtable;Longuetable;Longtable;Longtable;Granmesa;;;;;;;;;x
c_roseford;Roseford;Roncières;Roseford;Roseford;Vado de la Rosa;;;;;;;;;x
d_mandervale;Mandervale;Vallée de la Mander;Mandervale;Mandervale;Valle del Mander;;;;;;;;;x
c_cider_hall;Cider Hall;Cidre;Cider Hall;Cider Hall;La Sidra;;;;;;;;;x
c_inchfield;Inchfield;Milopin;Inchfield;Inchfield;Piedemonte;;;;;;;;;x
c_holyhall;Holyhall;Sacristie;Holyhall;Holyhall;Sacramento;;;;;;;;;x
