#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_riverlands;The Trident;Le Trident;;;El Tridente;;;;;;;;;x
e_riverlands_adj;Riverlander;Riverain;Riverlander;;Ribereño;;;;;;;;;x
k_riverlands;The Trident;Le Trident;The Trident;;Las Tierras de los Ríos;;;;;;;;;x
k_riverlands_adj;Riverman;Riverain;Riverlander;;Ribereño;;;;;;;;;x
d_thecrossing;The Crossing;Le Pont;The Crossing;;El Cruce;;;;;;;;;x
c_mistlewood;Mistlewood;Boigui;Mistlewood;;Bosque del Mirlo;;;;;;;;;x
b_charlscastle;Charl's Castle;Château Charlton;Charl's Castle;;Torreacebo;;;;;;;;;x
b_charlton;Charlton;Charlton;Charlton;;Acebedo;;;;;;;;;x
c_capeofeagles;Cape of Eagles;Cap des Aigles;Cape of Eagles;;Cabo de Águilas;;;;;;;;;x
b_eagleseyrie;Eagle's Eyrie;Refuge des Aigles;Eagle's Eyrie;;Aguilón;;;;;;;;;x
c_thetwins;The Twins;Les Jumeaux;The Twins;;Los Gemelos;;;;;;;;;x
b_thetwins;The Twins;Les Jumeaux;The Twins;;Los Gemelos;;;;;;;;;x
b_mistlewatch;Mistlewatch;Gardegué;Mistlewatch;;Portazgo;;;;;;;;;x
b_greysept;The Twins;Les Jumeaux;The Twins;;Los Gemelos;;;;;;;;;x
c_freylands;Freylands;Terres Frey;Freylands;;Sietecauces;;;;;;;;;x
b_sevenstreams;Sevenstreams;Sept-Rus;Sevenstreams;;Sietecauces;;;;;;;;;x
b_hagsmire;Hag's Mire;Sorcefangier;Hag's Mire;;Cenagal;;;;;;;;;x
c_stillfen;Stillfen;Marais;Stillfen;;Marjal Tranquila;;;;;;;;;x
b_stillfen;Stillfen;Marais;Stillfen;;Marjal Tranquila;;;;;;;;;x
c_rushmoor;Rushmoor;Landejonc;Rushmoor;;Pantano de la Bruja;OJO;;;;;;;;x
b_rushmoor;Rushmoor;Landejonc;Rushmoor;;Torre del Pantano;OJO;;;;;;;;x
d_oldstones;Seagard;Salvemer;Seagard;;Varamar;;;;;;;;;x
c_seagard;Seagard;Salvemer;Seagard;;Varamar;;;;;;;;;x
b_seagardcastle;Seagard Castle;Château Salvemer;Seagard Castle;;Castillo de Varamar;;;;;;;;;x
b_seagard;Seagard;Salvemer;Seagard;;Varamar;;;;;;;;;x
c_erenford;Erenford;Erongué;Erenford;;Vado de la Garza;;;;;;;;;x
b_erenfordhall;Erenford Hall;Erongué;Erenford Hall;;Garza Dorada;;;;;;;;;x
c_oldstones;Oldstones;Vieilles-Pierres;Oldstones;;Piedrasviejas;;;;;;;;;x
b_pitford;Pitford;Profongué;Pitford;;Vado de la Fosa;;;;;;;;;x
b_oldstones;Oldstones;Vieilles-Pierres;Oldstones;;Piedrasviejas;;;;;;;;;x
c_martletbay;Martlet Bay;Baie de Martlet;Martlet Bay;;Loma del Vencejo;;;;;;;;;x
b_martletnest;Martlet Nest;Nid de Martlet;Martlet Nest;;Nido del Vencejo;;;;;;;;;x
b_braithwell;Braithwell;Braithpuits;;;Buenrespiro;;;;;;;;;x
c_gravesham;Gravesham;Feinte;Gravesham;;Sepulturas;;;;;;;;;x
b_gravesham;Gravesham;Feinte;Gravesham;;Las Tumbas;;;;;;;;;x
d_trident;The Trident;Le Trident;The Trident;;El Tridente;;;;;;;;;x
c_wycombe;Wycombe;Vylcombe;Wycombe;;Valdehalcón;;;;;;;;;x
b_wycombe;Wycombe;Vylcombe;Wycombe;;Valdehalcón;;;;;;;;;x
c_bluefork;Blue Fork;Bleufurque;Blue Fork;;Forca Azul;;;;;;;;;x
b_sevenbridges;Seven Bridges;Sept-Ponts;Seven Bridges;;Siete Puentes;;;;;;;;;x
b_ramsford;Ramsford;Guébelin;Ramsford;;Vado de los Carneros;;;;;;;;;x
c_redfork;Fieldstone;Fieldstone;Fieldstone;;Fieldstone;;;;;;;;;x
b_stonemill;Stone Mill;Moulin-Pierre;Stonemill;;Molino de Piedra;;;;;;;;;x
c_deddington;Deddington;Deddington;Green Fork;;Deddington;;;;;;;;;x
b_deddington;Deddington;Deddington;;;Deddington;;;;;;;;;x
b_wendishtown;Wendish Town;Warbourg;Wendish Town;;Wendish;;;;;;;;;x
b_sherrer;Sherrer;Sherrer;Sherrer;;Sherrer;;;;;;;;;x
c_chiltern;Chiltern;Chiltern;Chiltern;;Bosque Blanco;;;;;;;;;x
b_chilterncastle;Chiltern Castle;Château Chiltern ;Chiltern Castle;;Fuerte Blanco;;;;;;;;;x
