#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_stormlands;The Stormlands;Les Terres de l'Orage;The Stormlands;The Stormlands;Las Tierras de la Tormenta;;;;;;;;;x
e_stormlands_adj;Stormlander;Orageois;Stormlander;Stormlander;Tormenteño;;;;;;;;;x
k_stormlands;The Stormlands;Terres de l'Orage;The Stormlands;The Stormlands;Las Tierras de la Tormenta;;;;;;;;;x
k_stormlands_adj;Stormlander;Orageois;Stormlander;Stormlander;Tormenteño;;;;;;;;;x
Sking;Storm King;Roi de l'Orage;;;Rey de la Tormenta;;;;;;;;;x
Sking_female;Storm Queen;Reine de l'Orage;;;Reina de la Tormenta;;;;;;;;;x
Sking_FOA;Your Grace;Votre Grâce;Your Grace;Your Grace;Su Majestad;;;;;;;;;x
D_DURRANVALE;Durranvale;Durranval;;;Valle de Durran;;;;;;;;;x
C_BLACKHEART;Blackheart;Noircoeur;;;Corazonegro;;;;;;;;;x
B_BLACKHEART_KEEP;Blackheart Keep;Fort-Noircoeur;;;Fuerte Corazónegro;;;;;;;;;x
d_wendwater;Wendwater;Wend;;;Aguastortas;;;;;;;;;x
c_bronzegate;Bronzegate;Les Bronzes;;;Puertabronce;;;;;;;;;x
b_bronzegate;Bronzegate;Les Bronzes;;;Puertabronce;;;;;;;;;x
b_bucklerforge;Bucklerforge;Mailleforge;;;Forjahebilla;;;;;;;;;x
b_bronze_sept;Bronzegate;Les Bronzes;;;Puertabronce;;;;;;;;;x
c_felwood;Felwood;Felbois;;;Bosquealto;;;;;;;;;x
b_felwood;Felwood;Felbois;;;Bosquealto;;;;;;;;;x
b_brickendon;Brickendon;Bricendon;;;Viladrillo;;;;;;;;;x
b_felwood_sept;Felwood;Felbois;;;Bosquealto;;;;;;;;;x
c_amberly;Amberly;Ambre;;;Ambarino;;;;;;;;;x
b_amberly;Amberly;Ambre;;;Ambarino;;;;;;;;;x
b_fairhunt;Logrus Town;Logrusville;;;Cazajusta;;;;;;;;;x
c_hadlow_keep;Hadlow Keep;Tour Halbas;;;Torreón Hadlow;;;;;;;;;x
b_hadlow_keep;Hadlow Keep;Tour Halbas;;;Torreón Hadlow;;;;;;;;;x
c_langward_hall;Langward Hall;Castelrive;;;Torreón Langward;;;;;;;;;x
b_langward_hall;Langward Hall;Castelrive;;;Torreón Langward;;;;;;;;;x
d_red_watch;The Red Watch;La Tour Rouge;;;Atalaya Roja;;;;;;;;;x
c_lonmouth;Lonmouth;Lonbec;;;Lonmouth;;;;;;;;;x
b_lonmouth;Lonmouth;Lonbec;;;Torre de los Cráneos;;;;;;;;;x
c_stonehelm;Stonehelm;Pierheaume;;;Yelmo de Piedra;;;;;;;;;x
b_stonehelm;Stonehelm;Pierheaume;;;Yelmo de Piedra;;;;;;;;;x
b_swanport;Slaynemouth;Embouchure de la Camarde;;;Puertomatanzas;;;;;;;;;x
b_twinflight;Twinflight;Voljumeaux;;;Vuelo de Cisne;;;;;;;;;x
