#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_westerlands;The Rock;Le Roc;;;La Roca;;;;;;;;;x
e_westerlands_adj;Westerlander;Ouestien;;;Occidental;;;;;;;;;x
k_westerlands_adj;Westerlander;Ouestien;;;Occidental;;;;;;;;;x
k_westerlands;The Westerlands;Terres de l'Ouest;;;Las Tierras del Oeste;;;;;;;;;x
d_the_crag;The Crag;Falaise;;;El Risco;;;;;;;;;x
d_silverhill;Silverhill;L'Argenterie;;;Refugio de Plata;;;;;;;;;x
d_goldroad;The Gold Road;La route d'Or;The Gold Road;The Gold Road;El Camino Dorado;;;;;;;;;x
d_kayce;Kayce;Kayce;;;Kayce;;;;;;;;;x
d_sarsfield;Sarsfield;Sarschamps;;;Sarsfield;;;;;;;;;x
d_golden_tooth;The Golden Tooth;La Dent d'Or;;;Colmillo Dorado;;;;;;;;;x
d_crakehall;Crakehall;Crakehall;;;Refugio Quebrado;;;;;;;;;x
d_cornfield;Cornfield;Champmoisson;;;Maizal;;;;;;;;;x
d_casterly_rock;Casterly Rock;Castral Roc;;;Roca Casterly;;;;;;;;;x
d_castamere;Castamere;Castamere;;;Castamere;;;;;;;;;x
d_ashemark;Ashemark;Cendremarc;;;Marcaceniza;;;;;;;;;x
c_wyndhall;Wyndhall;Bysecastel;;;Refugio del Viento;;;;;;;;;x
c_thurrock;Thurrock;Thurroc;;;Piedra Caída;;;;;;;;;x
c_the_crag;The Crag;Falaise;;;El Risco;;;;;;;;;x
c_tendring;Tendring;Joyaux;;;El Retamar;;;;;;;;;x
c_tarbeck_hall;Tarbeck Hall;Tour Tarbeck;;;Torre Tarbeck;;;;;;;;;x
c_silverhill;Silverhill;L'Argenterie;;;Refugio de Plata;;;;;;;;;x
c_sarsfield;Sarsfield;Sarschamps;;;Sarsfield;;;;;;;;;x
c_riverspring;Riverspring;Puysaigues;Riverspring;;Aguasfuentes;;;;;;;;;x
c_redbramble;Redbramble;Rougemûre;;;Zarzarroja;;;;;;;;;x
c_pendrick_hills;Pendrick Hills;Collines de Pendric;;;Colinas Pendric;;;;;;;;;x
c_peckledon;Peckledon;Dombecq;;;Picotazo;;;;;;;;;x
c_payne_hall;Payne Hall;Payne;;;Buendolor;;;;;;;;;x
c_oxcross;Oxcross;Croixboeuf;;;Cruce de Bueyes;;;;;;;;;x
c_nunns_deep;Nunns Deep;Trounonnain;;;Sima de Nunn;;;;;;;;;x
c_myatt;Myatt;Myatt;;;Gato Moteado;;;;;;;;;x
c_maunhill;Maunhill;Colline de Maun;;;Collado Ciruelo;;;;;;;;;x
c_lonmont;Lonmont;Lonmont;;;Montelargo;;;;;;;;;x
c_lannisport;Lannisport;Port Lannis;;;Lannisport;;;;;;;;;x
c_kayce;Kayce;Kayce;;;Kayce;;;;;;;;;x
c_hornvale;Hornvale;Corval;;;Valdecuerno;;;;;;;;;x
c_hawthorn;Hawthorn;Epinois;;;Espino;;;;;;;;;x
c_greenmont;Greenmont;Vermont;;;Arco Dorado;;;;;;;;;x
c_greenfield;Greenfield;Verchamps;;;Pradal;;;;;;;;;x
c_goldshire;Goldshire;Terres de l'Or;;;Cerros del Búho;;;;;;;;;x
c_golden_tooth;The Golden Tooth;La Dent d'Or;;;Colmillo Dorado;;;;;;;;;x
c_glitterdale;Glitterdale;Valscintille;;;Valdorado;;;;;;;;;x
c_feastfires;Feast Fires;Feux-de-Joie;;;Las Hogueras;;;;;;;;;x
c_fang_tower;Fang Tower;Tour Canine;;;Torre Colmillo;;;;;;;;;x
c_falwell;Falwell;Falwell;;;Malabar;;;;;;;;;x
c_fair_isle;Fair Isle;Belle Île;;;Isla Bella;;;;;;;;;x
c_drox_castle;Drox Castle;Fort-Drox;;;Ballestar;;;;;;;;;x
c_deep_den;Deep Den;Antrecombe;;;Cuevahonda;;;;;;;;;x
c_crakehall;Crakehall;Crakehall;;;Refugio Quebrado;;;;;;;;;x
c_cornfield;Cornfield;Champmoisson;;;Maizal;;;;;;;;;x
c_casterly_rock;Casterly Rock;Castral Roc;;;Roca Casterly;;;;;;;;;x
c_castamere;Castamere;Castamere;;;Castamere;;;;;;;;;x
c_brent_brook;Brent Brook;Rusbrent;;;Monte del Jabalí;;;;;;;;;x
c_banefort;Banefort;Fléaufort;;;Fuerte Desolación;;;;;;;;;x
c_ashemark;Ashemark;Cendremarc;;;Marcaceniza;;;;;;;;;x
b_wyndhalltown;Tyringham;Cheminée;;;Sendero Pedregoso;;;;;;;;;x
b_wyndhallsept;Wyndsept;Septuaire Bourrasque;;;Salón del Viento;;;;;;;;;x
b_wyndhall;Wyndhall;Venteux;;;Refugio del Viento;;;;;;;;;x
b_westford;Westford;Ouestemont;;;Refugio de Águilas;;;;;;;;;x
b_underwood;Underwood;Soubois;Underwood;;Espada Quebrada;;;;;;;;;x
b_thurrocktowntwo;Oliviaton;Oliveville;;;Rama Caída;;;;;;;;;x
b_thurrocktown;Smallplace;Petite-Place;;;Corrientesuave;;;;;;;;;x
b_thurrock;Thurrock;Thurroc;;;Piedra Caída;;;;;;;;;x
b_the_cragtown;Crags Bay;Baie des Roches;;;Conchamarina;;;;;;;;;x
b_the_cragsept;The Crag;Falaise;;;El Risco;;;;;;;;;x
b_the_crag;The Crag;Falaise;;;El Risco;;;;;;;;;x
b_tendringtowntwo;Goldmeadow;Orpré;;;Posta Dorada;;;;;;;;;x
b_tendringtownone;Silverbrook;Rusargent;;;Argenta;;;;;;;;;x
b_tendringsepttwo;Seven Rings;Sept-Anneaux;;;Siete Anillos;;;;;;;;;x
b_tendringsept;Sunspot;Solarium;;;Retamosa;;;;;;;;;x
b_tendring;Tendring;Joyaux;;;El Retamar;;;;;;;;;x
b_tarbeck_halltown;Gallowstree;Fourcharbre;;;Sietepuntas;;;;;;;;;x
b_tarbeck_hallsept;Tarbeck Hall;Château Tarbeck;;;Torre Tarbeck;;;;;;;;;x
b_tarbeck_hall;Tarbeck Hall;Château Tarbeck;;;Torre Tarbeck;;;;;;;;;x
b_sowerby;Sowerby;Sowerby;Sowerby;;Las Fuentes;;;;;;;;;x
b_silverhilltown;Southery;Sudine;;;Pavonada;;;;;;;;;x
b_silverhillsept;Silverhill;L'Argenterie;;;Refugio de Plata;;;;;;;;;x
b_silverhillcastletwo;Viewpoint;Poindevue;;;Guarida del Unicornio;;;;;;;;;x
b_silverhillcasteltwo;Castle Acre;Castelacre;;;El Pavón;;;;;;;;;x
b_silverhill;Silverhill;L'Argenterie;;;Refugio de Plata;;;;;;;;;x
b_sarsfieldtowntwo;Sarsborrow;Sarsedette;;;Marcafiel;;;;;;;;;x
b_sarsfieldtown;Mildenhall;Placide;;;Flechaverde;;;;;;;;;x
b_sarsfieldsept;Sarsfield;Sarschamps;;;Sarsfield;;;;;;;;;x
b_sarsfield;Sarsfield;Sarschamps;;;Sarsfield;;;;;;;;;x
b_riverspring;Riverspring;Puysaigues;Riverspring;;Aguasfuentes;;;;;;;;;x
b_redbrambletown;Little Port;Port-Petit;;;Fresal;;;;;;;;;x
b_redbramblesept;Wonders;Merveilles;;;Torre del Fresón;;;;;;;;;x
b_redbramble;Redbramble;Rougemûre;;;Zarzarroja;;;;;;;;;x
b_pendrick_hillstowntwo;Borrows;Emprunt;;;Carcoma;;;;;;;;;x
b_pendrick_hillstown;Deadwater;Eaumorte;;;Gorgojar;;;;;;;;;x
b_pendrick_hillssept;Seven Views;Sept-Visions;;;Mina;;;;;;;;;x
b_pendrick_hills;Pendrick Hills;Collines de Pendric;;;Torre del Escarabajo;;;;;;;;;x
b_peckledontowntwo;Brixworth;Dolcebrise;;;Diezestrellas;;;;;;;;;x
b_peckledontown;Peckletown;Eaunoir;;;Estelar;;;;;;;;;x
b_peckledonsept;Westborder;Frontouest;;;El Trifinio;;;;;;;;;x
b_peckledon;Peckledon;Dombecq;;;Picotazo;;;;;;;;;x
b_payne_halltowntwo;Cedrictown;Cedricville;;;Dolores;;;;;;;;;x
b_payne_halltown;Fivehead;Cinq-Têtes;;;Monedasdeoro;;;;;;;;;x
b_payne_hallsept;Payne Hall;Payne;;;Buendolor;;;;;;;;;x
b_payne_hall;Payne Hall;Payne;;;Buendolor;;;;;;;;;x
b_oxcrosscastletwo;Oxcross;Croixboeuf;;;Cruce de Bueyes;;;;;;;;;x
b_oxcross;Oxefort;Fort-Bœuf;;;La Alabarda;;;;;;;;;x
b_nunns_deep;Nunns Deep;Trounonnain;;;Torreón de la Daga;;;;;;;;;x
b_myatttowntwo;Winkerton;Winkerton;;;La Motilla;;;;;;;;;x
b_myatttown;Myatton;Bourg-Myyatt;;;Motilleja;;;;;;;;;x
b_myattsept;Myattsept;Septuaire de Myatt;;;Gato Moteado;;;;;;;;;x
b_myatt;Myatt;Myatt;;;Gato Moteado;;;;;;;;;x
b_maunhilltowntwo;Lann's Point;Pointe Lannister;;;Punta Pruna;;;;;;;;;x
