#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
independent_high_lordships;Independent high lordships;Grande Seigneurie indépendante;Independent high lordships;;Grandes señoríos independientes;;;;;;;;;x
independent_high_lordships_desc;All titles above high lord will be destroyed and become uncreatable. All vassals of the destroyed titles will become independent. All high lordships will become creatable even without a capital in it's territory.;Tous les titres au dessus de grand lord vont être détruits et impossibles à créer. Tous les vassaux des titres détruits vont devenir indépendants. Toutes les grandes seigneuries pourront être créées même sans capitale sur le territoire.;All titles above high lord will be destroyed and become uncreatable. All vassals of the destroyed titles will become independent. All high lordships will become creatable even without a capital in it's territory.;;Todos los títulos por encima de Gran Señor serán destruidos e imposibles de crear de nuevo. Todos los vasallos de los títulos destruidos serán independientes. Todos los títulos de Grandes Señores serán creables aún sin tener capital en el territorio.;;;;;;;;;x
TOOLTIPINDEPENDENTHL;All empire and king tier titles will be destroyed;Tous les titres d'empire et de royaume vont être détruits;All empire and king tier titles will be destroyed;;Todos los títulos de imperio y de reino serán destruidos.;;;;;;;;;x
k_winterfellTK;Winterfell;Winterfell;Winterfell;;Invernalia;;;;;;;;;x
winterking_male;Winter King;Roi de l'Hiver;Winter King;;Rey del Invierno;;;;;;;;;x
winterking_female;Winter Queen;Reine de l'Hiver;Winter Queen;;Reina del Invierno;;;;;;;;;x
k_skagosTK;Skagos;Skagos;Skagos;;Skagos;;;;;;;;;x
k_karholdTK;Karhold;Karhold;Karhold;;Bastión Kar;;;;;;;;;x
k_lasthearthTK;Last Hearth;Âtre-lès-Confins;Last Hearth;;Último Hogar;;;;;;;;;x
k_northclansTK;The North Clans;Clans du Nord;The North Clans;;Clanes del Norte;;;;;;;;;x
k_wolfswoodTK;Wolfswood;Bois-aux-Loups;Wolfswood;;Bosque de los Lobos;;;;;;;;;x
wolfking_male;Wolf King;Roi Loup;Wolf King;;Rey Lobo;;;;;;;;;x
wolfking_female;Wolf Queen;Reine Louve;Wolf Queen;;Reina Loba;;;;;;;;;x
k_rillsTK;The Rills;Rus;The Rills;;Los Riachuelos;;;;;;;;;x
k_barrowlandsTK;The Barrowlands;Tertres;The Barrowlands;;Los Túmulos;;;;;;;;;x
barrowking_male;Barrow King;Roi des Tertres;;;Rey Tumulario;;;;;;;;;x
barrowking_female;Barrow Queen;Reine des Tertres;;;Reina Tumularia;;;;;;;;;x
k_flintsfingerTK;Flint's Finger;Pouce-Flint;Flint's Finger;;Dedo de Pedernal;;;;;;;;;x
k_theneckTK;The Neck;Neck;The Neck;;El Cuello;;;;;;;;;x
marshking_male;Marsh King;Roi des Marches;Marsh King;;Rey del Pantano;;;;;;;;;x
marshking_female;Marsh Queen;Reine des Marches;Marsh Queen;;Reina del Pantano;;;;;;;;;x
k_whiteharborTK;White Harbor;Blancport;White Harbor;;Puerto Blanco;;;;;;;;;x
k_hornwoodTK;Hornwood;Corbois;Hornwood;;Bosque del Cuerno;;;;;;;;;x
k_dreadfortTK;The Dreadfort;Fort-Terreur;The Dreadfort;;Fuerte Terror;;;;;;;;;x
dreadking_male;Red King;Roi Rouge;Dread King;;Rey Rojo;;;;;;;;;x
dreadking_female;Red Queen;Reine Rouge;Dread Queen;;Reina Roja;;;;;;;;;x
k_thecrossingTK;The Crossing;Pont;The Crossing;;El Cruce;;;;;;;;;x
k_oldstonesTK;Oldstones;Vieilles-Pierres;Oldstones;;Piedrasviejas;;;;;;;;;x
k_tridentTK;The Trident;Trident;The Trident;;El Tridente;;;;;;;;;x
k_blackwoodTK;Blackwood;Nerbosc;Blackwood;;Bosquenegro;;;;;;;;;x
k_riverrunTK;Riverrun;Vivesaigues;Riverrun;;Aguasdulces;;;;;;;;;x
riverking_male;River King;Roi Riverain;River King;;Rey de los Ríos;;;;;;;;;x
riverking_female;River Queen;Reine Riveraine;River Queen;;Reina de los Ríos;;;;;;;;;x
k_southstoneTK;Southstone;Piersud;Southstone;;Seto de Piedra;;;;;;;;;x
k_acornsridgeTK;Acorn's Ridge;Glanmonte;Acorn's Ridge;;Princesa Rosada;;;;;;;;;x
k_harrenhalTK;Harrenhal;Harrenhal;Harrenhal;;Harrenhal;;;;;;;;;x
k_bayofclawsTK;The Bay of Claws;Baie des Griffes;The Bay of Claws;;Bahía de las Zarpas;;;;;;;;;x
k_the_biteTK;The Bite;Morsure;The Bite;;El Mordisco;;;;;;;;;x
k_the_sistersTK;The Sisters;Trois Sœurs;The Sisters;;Tres Hermanas;;;;;;;;;x
k_northwealdTK;Northweald;Norbuisson;Northweald;;Bosques del Norte;;;;;;;;;x
k_the_fingersTK;The Fingers;Les Doigts;The Fingers;;Los Dedos;;;;;;;;;x
k_strongsongTK;Strongsong;Forchant;Strongsong;;Rapsodia;;;;;;;;;x
k_the_giants_lanceTK;The Vale of Arryn;Val d'Arryn;The Vale of Arryn;;El Valle de Arryn;;;;;;;;;x
k_eastwealdTK;Eastweald;Bois de l'Est;Eastweald;;Bosques del Este;;;;;;;;;x
k_runestoneTK;Runestone;Roches-aux-runes;Runestone;;Piedra de las Runas;;;;;;;;;x
bronzeking_male;Bronze King;;;;Rey del Bronce;;;;;;;;;x
bronzeking_female;Bronze Queen;;;;Reina del Bronce;;;;;;;;;x
k_wickendenTK;Wickenden;Combemèche;Wickenden;;Serbaledo;;;;;;;;;x
