#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCtrial_by_combat.1;[Root.GetTitledFirstNameNoRegnal], I have been unjustly imprisoned by [FromFrom.Host.GetTitledFirstNameNoRegnal] and, seeing as I'm unlikely to recieve fair judgement from [FromFrom.Host.GetHerHim], have demanded a trial by combat to prove my innocence. As your [FromFrom.GetRootRelation], I implore you to be my champion in my trial, to defend my honour!\n\n Signed,\n[FromFrom.GetTitledFirstNameWithDynastyNoRegnal];[Root.GetTitledFirstNameNoRegnal], j'ai été injustement emprisonné par [FromFrom.Host.GetTitledFirstNameNoRegnal] et, voyant que je ne recevrai pas un juste procès de sa part, j'ai demandé un duel judiciaire pour prouver mon innocence. En tant que votre [FromFrom.GetRootRelation], je vous implore de devenir mon champion lors de ce duel pour défendre mon honneur !\n\n Signé,\n[FromFrom.GetTitledFirstNameWithDynastyNoRegnal];;;[Root.GetTitledFirstNameNoRegnal], he sido encarcelado injustamente por [FromFrom.Host.GetTitledFirstNameNoRegnal], y es poco probable que reciba un juicio justo. Por eso he solicitado un juicio por combate. Como vuestro [FromFrom.GetRootRelation], os imploro que seáis mi campeón para defender mi honor!\n\n Firmado,\n[FromFrom.GetTitledFirstNameWithDynastyNoRegnal];;;;;;;;;x
EVTOPTAtrial_by_combat.1;I will fight for [FromFrom.GetHerHim];Mon épée est sienne;;;Lucharé por [FromFrom.GetHerHim];;;;;;;;;x
EVTOPTBtrial_by_combat.1;I don't think so;Je ne crois pas non;;;No lo creo;;;;;;;;;x
EVTTOOLTIPtrial_by_combat.2;will be pleased you agree and inform their captor;va être heureux que vous acceptiez et va en informer ceux qui le retiennent;;;estará feliz de que hayas aceptado y se informará a su captor;;;;;;;;;x
EVTTOOLTIPtrial_by_combat.3;will be disappointed to hear this;va être déçu de l'apprendre;;;estará decepcionado de vuestro rechazo;;;;;;;;;x
EVTDESCtrial_by_combat.2;[Root.PrimaryTitle.GetFOA], I [From.GetTitledFirstNameWithDynastyNoRegnal], will honour my allegiance to you and stand for you in your trial by combat against [Root.Host.GetTitledFirstNameNoRegnal];[Root.PrimaryTitle.GetFOA], moi, [From.GetFirstNameWithDynasty], vais honorer mon allégeance envers vous et vous représenterai dans votre duel judiciaire contre [Root.Host.GetTitledFirstNameNoRegnal];;;[Root.PrimaryTitle.GetFOA], yo, [From.GetFirstNameWithDynasty], honraré mi lealtad hacia vos y os representaré en el juicio por combate contra [Root.Host.GetTitledFirstNameNoRegnal];;;;;;;;;x
EVTOPTAtrial_by_combat.2;Good, now [Root.Host.GetTitledFirstNameNoRegnal] will pick their champion;Bien, maintenant [Root.Host.GetTitledFirstNameNoRegnal] va choisir son champion ;;;Bien, ahora [Root.Host.GetTitledFirstNameNoRegnal] elegirá a su campeón;;;;;;;;;x
EVTDESCtrial_by_combat.3;[Root.GetTitle] [Root.GetFirstName], I am afraid I cannot stand for you in your trial by combat, to do so would present too great a risk to my person.\n\n Regards,\n[From.GetTitledFirstNameWithDynastyNoRegnal];[Root.GetFirstNameWithDynasty], je crains de ne pouvoir vous représenter dans votre duel judiciaire.\n\n Cordialement,\n[From.GetFirstNameWithDynasty];;;[Root.GetFirstNameWithDynasty], me temo que no puedo representaros en vuestro juicio por combate, representa un riesgo demasiado grande hacia mi persona.\n\n Cordialmente,\n[From.GetFirstNameWithDynasty];;;;;;;;;x
EVTOPTAtrial_by_combat.3;Where is [From.GetHerHis] honour?;Où est donc passé son honneur ?;;;¿Dónde está tu honor?;;;;;;;;;x
EVTDESCtrial_by_combat.4;The guards drag [From.GetFirstNameWithDynasty] up from [From.GetHerHis] cell and throw [From.GetHerHim] at your feet. 'I've come for justice,' [From.GetSheHe] says, 'By right of birth and blood, I demand trial by combat.';Les gardes extirpent [From.GetFirstNameWithDynasty] de sa cellule pour l’amener devant vous. ‘Je réclame justice,’ dit-[From.GetSheHe], ‘Par droit de naissance et de sang, j’exige un duel judiciaire.’ ;;;Los guardias sacan a [From.GetFirstNameWithDynasty] de su celda y lo traen ante ti. ‘Reclamo justicia,’ dice, ‘Por derecho de nacimiento y de sangre, exijo un juicio por combate’. ;;;;;;;;;x
EVTOPTAtrial_by_combat.4;You have that right. I will select someone to stand for his [Root.GetTitle];Tel est votre droit. Je vais choisir quelqu’un qui se battra pour [FromFrom.GetHerHim] [Root.GetTitle].;;;Es vuestro derecho. Elegiré a alguien que se batirá por [FromFrom.GetHerHim] [Root.GetTitle].;;;;;;;;;x
EVTOPTBtrial_by_combat.4;I accept. I won't let my sons risk their lives, but perhaps one of the rest of you is willing to fight?;J’accepte. Je ne laisserai pas mes fils risquer leurs vies, mais peut-être que l’un d’entre vous désire se battre ! ;;;Buscaremos un campeón. No dejaré que un hijo mio combata, pero tal vez alguno de vosotros desea batirse?;;;;;;;;;x
EVTOPTCtrial_by_combat.4;I have to accept. We'll have to draw straws.;Je n’ai pas d’autre choix que d’accepter. Tirons à la courte paille. ;;;Tengo que aceptar. Lo echaremos a suerte.;;;;;;;;;x
EVTOPTDtrial_by_combat.4;I'll handle this myself.;Je vais m'en charger moi-même.;;;Me encargaré yo mismo.;;;;;;;;;x
EVTOPTEtrial_by_combat.4;No. I can't afford to lose [From.GetHerHim]. Return the prisoner to the cells!;Je ne peux pas me permettre de  [From.GetHerHim] perdre. Ramenez le prisonnier à sa cellule !;;;No me puedo permitir perderle. Devolved al prisionero a su celda!;;;;;;;;;x
EVTOPTFtrial_by_combat.4;Fire is the champion of House [This.GetOnlyDynastyName].;Le feu est le champion de la Maison [This.GetOnlyDynastyName].;;;El fuego es el campeón de la Casa [This.GetOnlyDynastyName];;;;;;;;;x
EVTDESCtrial_by_combat.5;In an outrageous contravention of ancient law and custom, [From.GetTitledFirstNameNoRegnal] has denied you a trial by combat for your alleged crimes;Foulant au pied l'antique loi et la tradition, [From.GetTitledFirstNameNoRegnal] vous a refusé un duel judiciaire pour vous défendre des crimes dont on vous accuse;;;Pisoteando la antigua ley y tradición, [From.GetTitledFirstNameNoRegnal] ha rechazado tu petición de un juicio por combate para defenderte de los crímenes de que te acusan.;;;;;;;;;x
EVTOPTAtrial_by_combat.5;They will regret this;Ils vont le regretter;;;Ellos se arrepentirán;;;;;;;;;x
EVTDESCtrial_by_combat.6;Who should be my champion in the trial by combat against [FromFrom.GetFirstNameWithDynasty]?;Qui veut être mon champion dans le duel judiciaire qui m'oppose à [FromFrom.GetFirstNameWithDynasty] ?;;;¿Quién debería ser mi campeón en el juicio por combate entre yo y [FromFrom.GetFirstNameWithDynasty] ?;;;;;;;;;x
EVTOPTAtrial_by_combat.6;[champion_1.GetTitledFirstNameNoRegnal] [champion_1.GetOnlyDynastyName] is skilled at arms;[champion_1.GetTitledFirstNameNoRegnal] [champion_1.GetOnlyDynastyName] est habile dans le maniement des armes;;;[champion_1.GetTitledFirstNameNoRegnal] [champion_1.GetOnlyDynastyName] es experto en el uso de las armas;;;;;;;;;x
EVTOPTBtrial_by_combat.6;[champion_2.GetTitledFirstNameNoRegnal] [champion_2.GetOnlyDynastyName] will fight bravely;[champion_2.GetTitledFirstNameNoRegnal] [champion_2.GetOnlyDynastyName] va se battre avec bravoure;;;[champion_2.GetTitledFirstNameNoRegnal] [champion_2.GetOnlyDynastyName] luchará con valentía;;;;;;;;;x
EVTOPTCtrial_by_combat.6;[champion_3.GetTitledFirstNameNoRegnal] [champion_3.GetOnlyDynastyName] will honour me;[champion_3.GetTitledFirstNameNoRegnal] [champion_3.GetOnlyDynastyName] me fera honneur;;;[champion_3.GetTitledFirstNameNoRegnal] [champion_3.GetOnlyDynastyName] me honrará;;;;;;;;;x
EVTOPTDtrial_by_combat.6;[champion_4.GetTitledFirstNameNoRegnal] [champion_4.GetOnlyDynastyName] will do;[champion_4.GetTitledFirstNameNoRegnal] [champion_4.GetOnlyDynastyName] le fera;;;[champion_4.GetTitledFirstNameNoRegnal] [champion_4.GetOnlyDynastyName] lo hará;;;;;;;;;x
EVTOPTEtrial_by_combat.6;They shall face my Kingsguard;Ils feront face à ma Garde Royale;;;Ellos se enfrentarán a mi Guardia Real;;;;;;;;;x
EVTOPTFtrial_by_combat.6;None in my court are suitable;Personne dans ma cour ne convient.;;;Nadie de mi corte es adecuado;;;;;;;;;x
TOOLTIPtrial_by_combat.6;A previously unknown warrior from [Root.Capital.GetName] is found to be your champion\n;Un guerrier inconnu originaire de [Root.Capital.GetName] devient votre champion\n;;;Un guerrero desconocido originario de [Root.Capital.GetName] será tu campeón\n;;;;;;;;;x
TOOLTIPCHOOSETHISPERSON;[This.GetTitledFirstNameNoRegnal] will champion for you;[This.GetTitledFirstNameNoRegnal] va être votre champion;;;[This.GetTitledFirstNameNoRegnal] será tu campeón;;;;;;;;;x
EVTDESCtrial_by_combat.7;I have been selected to champion [From.GetTitledFirstNameNoRegnal] in a trial by combat against [FromFromFrom.GetTitledFirstNameNoRegnal];J'ai été choisi pour être le champion de [From.GetTitledFirstNameNoRegnal] dans un duel judiciaire contre [FromFromFrom.GetName];;;He sido elegido para ser el campeón de [From.GetTitledFirstNameNoRegnal] en el juicio por combate contra [FromFromFrom.GetName];;;;;;;;;x
EVTOPTAtrial_by_combat.7;I will honour [From.GetHerHim];Je lui ferai honneur;;;Yo le honraré;;;;;;;;;x
EVTDESCtrial_by_combat.8;[From.GetTitledFirstNameNoRegnal] steps forward. 'I'll stand for you, [Root.PrimaryTitle.GetFOA].';[From.GetTitledFirstNameNoRegnal] fait un pas en avant. 'Je combattrai pour vous, [Root.PrimaryTitle.GetFOA].' ;;;[From.GetTitledFirstNameNoRegnal] da un paso al frente. 'Yo combatiré por vos, [Root.PrimaryTitle.GetFOA].';;;;;;;;;x
