#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CB_NAME_BLOODY_VENGEANCE;Bloody Vengeance;Vengeance sanglante;;;Venganza de sangre;;;;;;;;;x
CB_NAME_BLOODY_VENGEANCE_COURTIER;Bloody Vengeance vs Courtier;Vengeance sanglante contre courtisan;;;Venganza de sangre contra cortesano;;;;;;;;;x
WAR_NAME_BLOODY_VENGEANCE;$CLAIMANT$'s $ORDER$Retaliation against $DEFENDER$;$ORDER$ de $CLAIMANT$ Vendetta contre $DEFENDER$;;;$ORDER$$FIRST$ venganza de sangre contra $SECOND$;;;;;;;;;x
bloody_vengeance_desc;$CLAIMANT$ is in a deadly feud with $TARGET$, and can use this Casus Belli to take their vengeance.;$CLAIMANT$ a une querelle avec $TARGET$, et peut utiliser ce Casus Belli pour se venger.;;;$CLAIMANT$ en una venganza de sangre con $TARGET$,  puedes utilizar este Casus Belli para vengarte.;;;;;;;;;x
opinion_vengeance;Demands Vengeance;Réclame vengeance;;;Exige venganza;;;;;;;;;x
saved_my_sorry_ass;Rescued me from prison;M'a fait échapper de prison;;;Me rescató de la cárcel;;;;;;;;;x
EVTDESCvengeance.1;My death shall be avenged by those I leave behind;Ma mort sera vengée par ceux que je laisse derrière moi.;;;Mi muerte será vengada por los que dejo atrás.;;;;;;;;;x
EVTDESCvengeance.2;My throat clenches shut... Visions of daggers in the dark... But I know who it was...;Ma gorge se bloque… Visions de dagues dans le noir… Mais je sais qui c'était…;;;Mi garganta se cierra... Visiones de dagas en la oscuridad... Pero yo sé quién fue...;;;;;;;;;x
EVTOPTAvengeance.2;It was... it was...;C'était… c'était…;;;Fue... fue...;;;;;;;;;x
opinion_killed_me;Killed Me;M'a tué;;;Me mató;;;;;;;;;x
opinion_killed_you;I killed this person;J'ai tué cette personne;;;Maté a esta persona;;;;;;;;;x
