#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCvolantis.300;The politics of [Root.TopLiege.PrimaryTitle.GetName] is dominated by two opposing factions, the Tigers who represent the military and the Elephants who represent the merchants.  As a freeborn landholder of [Root.TopLiege.PrimaryTitle.GetName], I am entitled to participate in this process.;La vie politique de [Root.TopLiege.PrimaryTitle.GetName] est dominée par deux factions opposées, les Tigres qui représentent les militaires et les Eléphants qui représentent les marchands. En tant que propriétaire terrien libre de [Root.TopLiege.PrimaryTitle.GetName], j'ai le droit d'y participer.;;;La política de [Root.TopLiege.PrimaryTitle.GetName] está dominada por dos facciones opuestas, los Tigres que representan los militares y los elefantes que representan a los mercaderes. Como hacendado libre de [Root.TopLiege.PrimaryTitle.GetName], tengo derecho a participar..;;;;;;;;;x
EVTOPTBvolantis.300;I side with the Tigers.;Je soutien les tigres.;;;Estoy a favor de los Tigres.;;;;;;;;;x
EVTOPTAvolantis.300;The Elephants have the right of it.;Les éléphants doivent de diriger la cité. ;;;Los Elefantes deben dirigir la ciudad.;;;;;;;;;x
EVTOPTCvolantis.300;Our party will prevail;Notre partie va prévaloir;;;Nuestro partido prevalecerá.;;;;;;;;;x
tiger;Tiger;Tigre;;;Tigre;;;;;;;;;x
tiger_desc;The Tigers are the party of the old aristocracy and warriors who advocate the sword.\nThey expect their Triarchs to back wars of conquest.;Les tigres représentent l'ancienne aristocratie et les guerriers qui soutiennent une politique de fermeté.\nIls attendent de leurs triarques qu'ils reprennent les guerres de conquête.;;;Los Tigres son el partido de la vieja aristocracia y los guerreros que defienden la espada.\nEsperan que sus patriarcas reanuden las guerras de conquista.;;;;;;;;;x
elephant;Elephant;Eléphant;;;Elefante;;;;;;;;;x
elephant_desc;The Elephants are the party of the merchants and moneylenders who advocate trade.\nThey expect their Triarchs to oppose wars of conquest.;Les éléphants représentent les marchands et les banquier.\nIls attendent que leurs triarques s'opposent aux guerres de conquête.;;;Los elefantes son el partido de los comerciantes y usureros quienes abogan por el comercio.\nSus patriarcas esperan oponerse a las guerras de conquista.;;;;;;;;;x
title_triarch;Triarch;Triarque;;;Triarca;;;;;;;;;x
EVTDESCvolantis.1;The Triarchs of [Root.PrimaryTitle.GetName] serve one year terms, and each year must stand for re-election with other would be Triarchs. The time of the elections has come, and for ten days the candidates will hold speeches and debates , and will no doubt cajole and bribe the voters. Only those with the blood of Old Valyria may stand for election.;Les triarques de [Root.PrimaryTitle.GetName] servent pendant un an et doivent se représenter chaque année pour être réélus. Le temps des élections est venu, pendant dix jours les candidats vont tenir des discours et débattre entre eux. Ils en profiteront sans aucun doute pour cajoler et corrompre les électeurs. Seuls ceux en qui coule le sang de l'Antique Valyria peuvent se présenter aux élections.;;;Los Triarcas de [Root.PrimaryTitle.GetName] sirven mandatos de un año y cada año deben presentarse a la reelección con los otros Triarcas. El momento de las elecciones ha llegado, y durante diez días, los candidatos sostendrán charlas y debates, y sin duda persuadirán y sobornarán a los electores. Sólo aquellos con la sangre de la vieja Valyria peude presentarse a las elecciones.;;;;;;;;;x
EVTOPTAvolantis.1;The madness begins...;Que la folie commence…;;;La locura comienza…;;;;;;;;;x
EVTDESCvolantis.2;The Triarchs of [From.PrimaryTitle.GetName] serve one year terms, and each year must stand for re-election with other would be Triarchs. The time of the elections has come, and for ten days the candidates will hold speeches and debates , and will no doubt cajole and bribe the voters. Only those with the blood of Old Valyria may stand for election.;Les triarques de [Root.PrimaryTitle.GetName] servent pendant un an et doivent se représenter chaque année pour être réélus. Le temps des élections est venu, pendant dix jours les candidats vont tenir des discours et débattre entre eux. Ils en profiteront sans aucun doute pour cajoler et corrompre les électeurs. Seuls ceux en qui coule le sang de l'Antique Valyria peuvent se présenter aux élections.;;;Los Triarcas de [From.PrimaryTitle.GetName] sirven mandatos de un año y cada año debe presentarse a la reelección con los otros Triarcas. El momento de las elecciones ha llegado, y durante diez días, los candidatos sostendrán charlas y debates, y sin duda persuadir y sobornar a los electores. Sólo aquellos con la sangre de la vieja Valyria podrán presentarse a las elecciones.;;;;;;;;;x
EVTOPTAvolantis.2;I am not eligible to stand;Je ne peux pas me présenter.;;;No puedo presentarme.;;;;;;;;;x
EVTOPTBvolantis.2;I shall stand for election;Je vais me présenter aux élections.;;;Me presento a las elecciones.;;;;;;;;;x
TOOLTIPEVTOPTBvolantis.2;You put yourself forward as a candidate for Triarch\n\n;Vous êtes candidat pour devenir triarque\n\n;;;Te presentas candidato para Triarca\n\n;;;;;;;;;x
EVTOPTCvolantis.2;I will not be a Triarch, but I shall vote;Je ne serais pas triarque mais je vais voter.;;;No seré Triarca, pero votaré;;;;;;;;;x
TOOLTIPvolantis.3;Many days of campaigning begin and, despite not standing for election, soon you will cast your vote\n\n;La campagne commence et bien que vous ne vous présentiez pas, vous devrez bientôt voter\n\n;;;Comienza la campaña y, a pesar de no presentarte a las elecciones, pronto votarás\n\n;;;;;;;;;x
TOOLTIPvolantis.3C;Many days of campaigning begin where you and all the candidates canvass for votes\n\n;La campagne commence. Vous et vos candidats rivaux allez commencer votre tournée pour réunir des votes en votre faveur\n\n;;;La campaña comienza y tú y los candidatos rivales buscáis votantes\n\n;;;;;;;;;x
EVTOPTDvolantis.2;I don't want to get involved this year;Je ne veux pas m'impliquer cette année.;;;No quiero involucrarme este año.;;;;;;;;;x
TOOLTIPvolantis.3b;You ignore the election this year, and so not voting or being informed of what happens;Vous ignorez l'élection cette année, vous ne votez donc pas et ne serez pas prévenu de ce qui se passe.;;;Este año ignoras las votaciones, por lo que no votarás ni serás informado de lo que sucede.;;;;;;;;;x
EVTDESCvolantis.7;For many restless days you campaigned in the city, entertaining the voters with hired mummers, minstrels and dancers whilst trying to curry favour. However this and your speeches and marches have fallen on deaf ears, and it is clear you have not gathered enough votes to become a Triarch.;Pendant de nombreux jours, sans prendre de repos, vous avez fait compagne dans la cité. Vous avez diverti les électeurs en leur offrant des spectacles grandioses comprenant des baladins, des ménestrels et des danseurs. Malheureusement, tout comme vos discours, ces démarches n'ont pas porté leur fruit, et il est clair que vous n'avez pas réuni assez de votes pour devenir un triarque.;;;Durante muchos días sin descanso has hecho campaña en la ciudad, has divertido a los votantes con malabaristas, juglares y bailarines tratando de ganarte el favor de los votantes. Por desgracia, al igual que tus discursos, estos esfuerzos no han dado sus frutos, y está claro que no has reunido los votos suficientes para convertirse en Triarca .;;;;;;;;;x
EVTOPTAvolantis.7;The voters are lackwits;Ces électeurs sont des idiots.;;;Los votantes son idiotas.;;;;;;;;;x
EVTDESCvolantis.8;After many days of fierce campaigning, filled with torchlight marches, speeches, mummers, minstrels and dancers the clear front runners for election have emerged. The city will now hold the last few days of voting to determine who will be the three Triarchs for the next year.;Après des jours de campagne acharnée, où la cité a vécu au rythme des marches aux flambeaux, des discours, des baladins, des ménestrels et des danseurs, les favoris de l'élection se détachent clairement. Les derniers jours de votes seront décisifs pour désigner les trois triarques de l'année prochaine. ;;;Después de días de implacable campaña, animando la ciudad con antorchas, procesiones, discursos, malabaristas, trovadores y bailarines, los favoritos de las elecciónes destacan claramente. Los últimos días de las votaciones serán cruciales para designar el Triarca del próximo año.;;;;;;;;;x
EVTOPTAvolantis.8;How exciting;C'est excitant !;;;Que excitante!;;;;;;;;;x
EVTDESCvolantis.9;Your first few days of the campaign have been a success. Many voters seem impressed with your speeches, and by the gifts and entertainment no doubt. Now the final few days of voting will begin. How shall we proceed with the campaign?;Vos premiers jours de campagne ont été un franc succès. De nombreux électeurs ont été impressionnés par vos discours, et bien entendu par les divers présents et divertissements que vous leur avez offert. Les derniers jours de votes approchent. Que devons nous faire ?;;;Los primeros días de la campaña han sido un éxito. Muchos votantes parecen impresionados con tus discursos, y también por los regalos y el entretenimiento, sin duda. Se acercan los últimos días para las eleccones. ¿Cómo vamos a seguir adelante con la campaña?;;;;;;;;;x
EVTOPTAvolantis.9;I shall shower the city with gifts and shows!;Je vais arroser la cité de présents et de spectacles !;;;Llenaré la ciudad con regalos y espectáculos!;;;;;;;;;x
EVTOPTBvolantis.9;Hire a large troupe of elephants to bear my name;Engagez une grande troupe d'éléphants pour diffuser mon nom.;;;Contratar a una tropa de elefantes para llevar mi nombre por toda la ciudad.;;;;;;;;;x
EVTOPTCvolantis.9;Organise some modest feasts;Organiser quelques fêtes modestes.;;;Organizar unas fiestas modestas.;;;;;;;;;x
EVTOPTDvolantis.9;I have no means but my words;Je n'ai rien d'autres que mes mots.;;;No tengo más medios que mis palabras.;;;;;;;;;x
EVTOPTFvolantis.9;The vermin shall vote for me or die!;La vermine devra voter pour moi ou mourir !;;;Las sabandijas votarán por mí o morirán!;;;;;;;;;x
EVTDESCvolantis.10;After many days of fierce campaigning, filled with torchlight marches, speeches, mummers, minstrels and dancers the clear front runners for election have emerged. The city will now hold the last few days of voting to determine who will be the three Triarchs for the next year. Who shall get your vote?;Après des jours de campagne acharnée, où la cité a vécu au rythme des marches aux flambeaux, des discours, des baladins, des ménestrels et des danseurs, les favoris de l'élection se détachent clairement. Les derniers jours de votes seront décisifs pour désigner les trois triarques de l'année prochaine. Qui obtiendra votre vote ?;;;Después de días de implacable campaña, animando la ciudad con antorchas, procesiones, discursos, malabaristas, trovadores y bailarines, los favoritos de las elecciónes destacan claramente. Los últimos días de las votaciones serán cruciales para designar los tres patriarcas del próximo año. ¿Quién se llevará mi voto?;;;;;;;;;x
EVTOPTAvolantis.10;They will be wise;Il sera sage.;;;Serán sabios.;;;;;;;;;x
volantis.10threats;[This.GetTitledFirstNameWithDynasty] makes many threats, promising vengeance against all who oppose [This.GetHerHim]\n;[This.GetTitledFirstNameWithDynasty] nous a ouvertement menacé, promettant de se venger contre tous ceux qui s'opposeront à [This.GetHerHim]\n;;;[This.GetTitledFirstNameWithDynasty] nos ha amenazado abiertamente, prometiendo venganza contra todos los que se le opongan\n;;;;;;;;;x
EVTOPTBvolantis.10;This candidate has been generous;Ce candidat a été généreux.;;;Este candidato ha sido generoso;;;;;;;;;x
EVTOPTCvolantis.10;I lend my support to this person;Je soutiens cette personne.;;;Apoyo a esta persona.;;;;;;;;;x
EVTOPTDvolantis.10;I support this person for Triarch;Je soutiens cette personne pour la triarchie.;;;Apoyo a esa persona para la Triarquía.;;;;;;;;;x
EVTOPTEvolantis.10;They are the most worthy;Il est le plus digne.;;;Son los mas dignos.;;;;;;;;;x
EVTOPTFvolantis.10;Who could be better?;Qui pourrait le surpasser ?;;;¿Quién podría ser mejor?;;;;;;;;;x
EVTDESCvolantis.16;Your frenzied campaign sprawled across the whole city. You had armies of dancers and mummers and  extravagant feasts entertaining voters, where handsome bribes were on offer. You even had slave girls and boys laying with them to try and win them over. It was not enough, as you did not gather enough votes to become Triarch.;Votre campagne extravagante a animée la cité. Vous aviez des armées de danseurs et de baladins à votre service qui organisaient des festivités inoubliables pour divertir les électeurs. Les pots de vins et les présents coulaient à flot. Vous disposiez même de jeunes esclaves des deux sexes qui donnaient de leur corps pour convaincre les Volantains de voter pour vous. Mais ce ne fut pas suffisant, vous n'avez pas réuni assez de votes pour devenir triarque. ;;;Tu frenética campaña animó la ciudad. Tenías ejércitos de bailarines y malabaristas a tu servicio que organizaron fiestas inolvidables para entretener a los votantes. Los sobornos y regalos fluían libremente. También tenías esclavos jóvenes de ambos sexos que dieron sus cuerpos para convencer a los volantinos de votarte. Pero no fue suficiente, no has reunido los votos suficientes para convertirte en triarca.;;;;;;;;;x
EVTOPTAvolantis.16;What a waste of wealth;Quelle gaspillage d'argent !;;;que desperdicio de dinero!;;;;;;;;;x
EVTDESCvolantis.17;[From.GetFirstNameWithDynasty]'s frenzied campaign sprawled across the whole city. [From.GetSheHeCap] had armies of dancers and mummers and  extravagant feasts entertaining voters, where handsome bribes were on offer. [From.GetSheHeCap] even had slave girls and boys laying with them to try and win them over. It was not enough, as [From.GetSheHe] did not gather enough votes to become Triarch.;La campagne extravagante de [From.GetFirstNameWithDynasty] a animée la cité. [From.GetSheHeCap] avait des armées de danseurs et de baladins à son service qui organisaient des festivités inoubliables pour divertir les électeurs. Les pots de vins et les présents coulaient à flot. [From.GetSheHeCap] disposait même de jeunes esclaves des deux sexes qui donnaient de leur corps pour convaincre les Volantains de voter pour lui. Mais ce ne fut pas suffisant, [From.GetSheHeCap] n'a pas réuni assez de votes pour devenir triarque. ;;;La frenética campaña de [From.GetFirstNameWithDynasty] animó a toda la ciudad. Tenía ejércitos de bailarines y malabaristas a su servicio que organizaron fiestas inolvidables para entretener a los votantes. Los sobornos y regalos fluían libremente. También tenía esclavos jóvenes de ambos sexos que dieron sus cuerpos para convencer a los volantinos de votarle. Pero no fue suficiente, no ha reunido los votos suficientes para convertirse en Triarca.;;;;;;;;;x
