#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
warden_north;Warden of the North;Gouverneur du Nord;;;Guardián del Norte;;;;;;;;;x
warden_east;Warden of the East;Gouverneur de l'Est;;;Guardián del Este;;;;;;;;;x
warden_west;Warden of the West;Gouverneur de l'Ouest;;;Guardián del Oeste;;;;;;;;;x
warden_south;Warden of the South;Gouverneur du Sud;;;Guardián del Sur;;;;;;;;;x
warden_north_desc;The title of Warden of the North is of a strictly military nature, carrying no connotations of suzerainty. The king nominates wardens for each region to act as supreme military leaders responsible for the defense of their region in the event of foreign invasion. This avoids any hesitation or power struggles between the high lords over command of the army. In times of peace this title is purely honourary and is traditionally held by the Lord of the North.;Le titre de Gouverneur du Nord est de nature strictement militaire, n'ayant pas de lien avec les notions de suzeraineté ou de vassalité. Le roi nomme les gouverneurs pour chaque région pour qu'ils fassent office de commandants militaires suprêmes, responsables de la défense de leur région en cas d'invasion étrangère. Cela évite théoriquement tout problème hiérarchique entre les grands seigneurs pour le commandement des troupes et doit accroître la réactivité des forces armées. Toutefois, en temps de paix, le titre de Gouverneur du Nord n'est que purement honorifique et porté par le Seigneur Suzerain du Nord.;;;El título de Guardián del Norte es de naturaleza estrictamente militar, sin connotaciones de soberanía. El rey nombra a los guardianes de cada región para que actúen como líderes militares supremos.;;;;;;;;;x
warden_east_desc;The title of Warden of the East is of a strictly military nature, carrying no connotations of suzerainty. The king nominates wardens for each region to act as supreme military leaders responsible for the defense of their region in the event of foreign invasion. This avoids any hesitation or power struggles between the high lords over command of the army. In times of peace this title is purely honourary and is traditionally held by the Lord of the Vale.;Le titre de Gouverneur de l'Est est de nature strictement militaire, n'ayant pas de lien avec les notions de suzeraineté ou de vassalité. Le roi nomme les gouverneurs pour chaque région pour qu'ils fassent office de commandants militaires suprêmes, responsables de la défense de leur région en cas d'invasion étrangère. Cela évite théoriquement tout problème hiérarchique entre les grands seigneurs pour le commandement des troupes et doit accroître la réactivité des forces armées. Toutefois, en temps de paix, le titre de Gouverneur de l'Est n'est que purement honorifique et porté par le Seigneur Suzerain du Val.;;;El título de Guardián del Este es de naturaleza estrictamente militar, sin connotaciones de soberanía. El rey nombra a los guardianes de cada región para que actúen como líderes militares supremos.;;;;;;;;;x
warden_west_desc;The title of Warden of the West is of a strictly military nature, carrying no connotations of suzerainty. The king nominates wardens for each region to act as supreme military leaders responsible for the defense of their region in the event of foreign invasion. This avoids any hesitation or power struggles between the high lords over command of the army. In times of peace this title is purely honourary and is traditionally held by the Lord of the Westerlands.;Le titre de Gouverneur de l'Ouest est de nature strictement militaire, n'ayant pas de lien avec les notions de suzeraineté ou de vassalité. Le roi nomme les gouverneurs pour chaque région pour qu'ils fassent office de commandants militaires suprêmes, responsables de la défense de leur région en cas d'invasion étrangère. Cela évite théoriquement tout problème hiérarchique entre les grands seigneurs pour le commandement des troupes et doit accroître la réactivité des forces armées. Toutefois, en temps de paix, le titre de Gouverneur de l'Ouest n'est que purement honorifique et porté par le Seigneur Suzerain des Terres de l'Ouest.;;;El título de Guardián del Oeste es de naturaleza estrictamente militar, sin connotaciones de soberanía. El rey nombra a los guardianes de cada región para que actúen como líderes militares supremos.;;;;;;;;;x
warden_south_desc;The title of Warden of the South is of a strictly military nature, carrying no connotations of suzerainty. The king nominates wardens for each region to act as supreme military leaders responsible for the defense of their region in the event of foreign invasion. This avoids any hesitation or power struggles between the high lords over command of the army. In times of peace this title is purely honourary and is traditionally held by the Lord of the Reach.;Le titre de Gouverneur du Sud est de nature strictement militaire, n'ayant pas de lien avec les notions de suzeraineté ou de vassalité. Le roi nomme les gouverneurs pour chaque région pour qu'ils fassent office de commandants militaires suprêmes, responsables de la défense de leur région en cas d'invasion étrangère. Cela évite théoriquement tout problème hiérarchique entre les grands seigneurs pour le commandement des troupes et doit accroître la réactivité des forces armées. Toutefois, en temps de paix, le titre de Gouverneur du Sud n'est que purement honorifique et porté par le Seigneur Suzerain du Bief.;;;El título de Guardián del Sur es de naturaleza estrictamente militar, sin connotaciones de soberanía. El rey nombra a los guardianes de cada región para que actúen como líderes militares supremos.;;;;;;;;;x
WARDEN1DESC;A Warden title stands empty. This is an ancient and venerable duty, and must be fulfilled.;Un titre de gouverneur n'a pas de titulaire. C'est une charge ancienne et vénérable, et quelqu'un doit l'occuper.;;;Un título de Guardián está libre. Es un antiguo y venerable deber que debe ser ocupado.;;;;;;;;;x
WARDEN1OPTA;We must select a Warden of the North;Nous devons choisir un Gouverneur du Nord;;;Debemos escoger un Guardián del Norte;;;;;;;;;x
WARDEN1OPTB;We must select a Warden of the East;Nous devons choisir un Gouverneur de l'Est;;;Debemos escoger un Guardián del Este;;;;;;;;;x
WARDEN1OPTC;We must select a Warden of the West;Nous devons choisir un Gouverneur de l'Ouest;;;Debemos escoger un Guardián del Oeste;;;;;;;;;x
WARDEN1OPTD;We must select a Warden of the South;Nous devons choisir un Gouverneur du Sud;;;Debemos escoger un Guardián del Sur;;;;;;;;;x
WARDEN2DESC;To whom should this duty fall?;A qui cette charge doit-elle incomber ?;;;¿Sobre quién recaerá este deber?;;;;;;;;;x
WARDEN2OPTA;It should fall to the Lord of the North;Elle doit incomber au Seigneur Suzerain du Nord;;;Recaerá sobre el Señor del Norte;;;;;;;;;x
WARDEN2OPTB;It should fall to the Lord of the Vale;Elle doit incomber au Seigneur Suzerain du Val;;;Recaerá sobre el Señor del Valle;;;;;;;;;x
WARDEN2OPTC;It should fall to the Lord of the West;Elle doit incomber au Seigneur Suzerain des Terres de l'Ouest;;;Recaerá sobre el Señor del Occidente;;;;;;;;;x
WARDEN2OPTD;It should fall to the Lord of the Reach;Elle doit incomber au Seigneur Suzerain du Bief;;;Recaerá sobre el Señor del Dominio;;;;;;;;;x
