EVTDESCwords_events.1;Whilst riding through a mountain pass with a small retinue, I spotted some warriors of a local clan. I notice that one of my bannermen, flying the large bright blue standard of House Arryn, sticks out like teats on a breastplate. I decided to:;Alors que je franchissais un col de montagne avec une petite suite, j'ai rencontré quelques guerriers d'un clan local. L'un de mes bannerets tenaient avec fierté l'étendard bleu ciel de la Maison Arryn. J'ai décidé de :;;;Mientras montaba a través de un paso de montaña con un pequeño séquito, vi a algunos guerreros de un clan local. Uno de mis banderizos, eleva con orgullo el estandarte de color azul brillante de la Casa Arryn. Me decido a:;;;;;;;;;x
EVTOPTAwords_events.1;Let the standard fly and press onwards, as High as Honor, men!;Laisser l'étendard flotter et de le déployer en avant de la colonne, aussi haute qu'Honneur !;;;Dejar que el estandarte ondee bien alto y continuar con determinación, ¡Tan Alto como el Honor!;;;;;;;;;x
EVTOPTBwords_events.1;Leave the standard be, but drop to the back of the column.;Laisser l'étendard flotter mais de le mettre en bout de colonne. ;;;Dejar el estandarte y volver a la retaguardia.;;;;;;;;;x
EVTOPTCwords_events.1;Drop the standard and wait for the clansmen to pass.;D'abaisser l'étendard et d'attendre le passage des hommes des montagnes.;;;Bajar el estandarte y esperar a que los miembros del clan pasen.;;;;;;;;;x
EVTDESCwords_events.2;Your liege has left you at the head of your travelling column, with mountain clansmen all around!;Votre seigneur vous a ordonné de rester à la tête de la colonne, avec des sauvages des montagnes tout autour !;;;¡Vuestro señor os ha ordenado quedaros en vanguardia, rodeado de miembros del clan de las montañas!;;;;;;;;;x
EVTOPTAwords_events.2;The Coward, they are but savages!;Le couard, ce ne sont que des sauvages !;;;¡Cobarde, no son más que salvajes!;;;;;;;;;x
TOOLTIPwords_events.2;will be left in charge of the column;va être désigné responsable de la colonne;;;Quedará a cargo de la vanguardia;;;;;;;;;x
EVTDESCwords_events.3;My bannermen and I were having a council of war, when one of my vassals suggested we should try and pursue peace terms with the enemy! Do Lannisters cave so easy?;Je participais à un conseil de guerre avec mes bannerets, lorsque l'un de mes vassaux a suggeré d'entamer des discussions de paix avec l'ennemi ! Les Lannister cèdent-ils si facilement ? ;;;Mis vasallos y yo estábamos reunidos, cuando uno de mis vasallos sugirió que deberíamos entablar los términos de paz con el enemigo. ¿Los Lannister ceden tan fácilmente?;;;;;;;;;x
EVTOPTAwords_events.3;Craven! Hear me Roar!;Lâche ! Je rugis !;;;¡Cobarde, Oye mi Rugido!;;;;;;;;;x
EVTOPTBwords_events.3;Peace? Get this man some more [Root.GetAlcoholicDrink]!;La paix ? Cessez donc de servir notre ami, le vin ne lui réussit pas.;;;¿Paz? ¡Dadle más [Root.GetAlcoholicDrink] a este hombre!;;;;;;;;;x
EVTOPTCwords_events.3;I'll just smile and nod politely;Je vais juste sourire et hocher la tête poliment;;;Simplemente sonreiré y asentiré cortésmente;;;;;;;;;x
EVTDESCwords_events.4;My liege, [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal], was holding a council of war when I quite wisely suggested we should perhaps seek peace terms with the enemy. [From.GetSheHeCap] reacted quite angrily however, throwing me out of the meeting! [From.GetSheHeCap] was heard to be yelling 'Hear me Roar!' as I made a hasty exit.;Mon seigneur, [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal], était en train de tenir un conseil de guerre lorsque j'ai sagement suggéré que nous pourrions lancer des pourparlers de paix avec l'ennemi. [From.GetSheHeCap] a réagi avec colère, me mettant à la porte du conseil ! Il rugissait littéralement ! ;;;Mi señor, [From.GetTitledFirstNameWithDynastyAndTitleNoRegnal], estaba celebrando un consejo de guerra, cuando yo sabiamente sugerí que tal vez deberíamos negociar los términos de la paz con el enemigo. ¡[From.GetSheHeCap] reaccionó con cólera, echándome del consejo!  Se le escuchó gritar '¡Oye mi Rugido!' mientras salía rápidamente.;;;;;;;;;x
EVTOPTAwords_events.4;How humiliating;Quelle humiliation;;;Que humillación;;;;;;;;;x
TOOLTIPwords_events.4;will be ejected from the council;va être mit à la porte du conseil;;;será expulsado del consejo;;;;;;;;;x
EVTDESCwords_events.5;The land of the Reach is famously fertile. The latest harvest is in, and it is looking to be better than expected!;La terre du Bief est fameuse pour sa fertilité. La dernière récolte est là et elle semble encore meilleure qu'espérée.;;;Las tierras del Dominio son famosas por su fertilidad. La última cosecha ha llegado, ¡y parece ser mejor de lo esperado!;;;;;;;;;x
EVTOPTAwords_events.5;We are Growing Strong! Tax it fully!;Plus haut, plus fort ! Taxons au maximum !;;;¡Estamos Creciendo Fuerte! ¡Gravadlo con impuestos!;;;;;;;;;x
EVTOPTBwords_events.5;Let the smallfolk keep a healthy store for winter;Laissez le petit peuple faire de bonnes provisions pour l'hiver;;;Dejad que el pueblo llano haga buenas provisiones para el invierno.;;;;;;;;;x
EVTDESCwords_events.6;One of my bannermen has behind my back started farming grain on his land after some particularly bad fishing hauls. Whilst his people are undoubtably less hungry, the Old Ways dictate...;L'un de mes vassaux a, derrière mon dos, commencé a cultiver du grain sur ses terres après une succession de mauvaises pêches. Bien que ses gens ont désormais moins faim, l'Antique Voie dicte que…;;;Uno de mis banderizos comenzó a cultivar el grano en su tierra sin mi permiso después de que la pesca fuese mal. Aunque su pueblo pasa ahora menos hambre, las Viejas Costumbres dictan…;;;;;;;;;x
EVTOPTAwords_events.6;We Do Not Sow.;Nous ne semons pas.;;;Nosotros No Sembramos.;;;;;;;;;x
EVTOPTBwords_events.6;The Old Ways are gone. Encourage it.;L'Antique Voie n'est plus, encourageons- le(a).;;;Las viejas costumbres se han acabado. ¡Incentivémoslas!;;;;;;;;;x
EVTOPTCwords_events.6;Ignore it.;Ignorez-le(a).;;;Ignoradle.;;;;;;;;;x
