#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
nick_grey_emperor;Grey Emperor;Empereur Gris;;;El Emperador Gris;;;;;;;;;x
nick_indigo_emperor;Indigo Emperor;Empereur Indigo;;;El Emperador Índigo;;;;;;;;;x
nick_jadegreen_emperor;Jade Green Emperor;Empereur de Jade Vert;;;El Emperador Verde Jade;;;;;;;;;x
nick_seagreen_emperor;Sea Green Emperor;Empereur Vert mer;;;El Emperador Verdemar;;;;;;;;;x
nick_azure_emperor;Azure Emperor;Empereur Azur;;;El Emperador Azul Celeste;;;;;;;;;x
nick_orange_emperor;Orange Emperor;Empereur Orange;;;El Emperador Naranja;;;;;;;;;x
nick_teal_emperor;Teal Emperor;Empereur Sarcelle;;;El Emperador Viridián;;;;;;;;;x
nick_purple_emperor;Purple Emperor;Empereur Pourpre;;;El Emperador Púrpura;;;;;;;;;x
nick_skyblue_emperor;Sky Blue Emperor;Empereur Bleu Ciel;;;El Emperador Lapislázuli;;;;;;;;;x
nick_yellow_emperor;Yellow Emperor;Empereur Jaune;;;El Emperador Amarillo;;;;;;;;;x
nick_scarlet_emperor;Scarlet Emperor;Empereur Ecarlate;;;El Emperador Escarlata;;;;;;;;;x
nick_red_emperor;Red Emperor;Empereur Rouge;;;El Emperador Bermellón;;;;;;;;;x
nick_onyx_emperor;Onyx Emperor;Empereur d'Onyx;;;El Emperador Ónice;;;;;;;;;x
nick_limegreen_emperor;Lime Green Emperor;Empereur Vert citron;;;El Emperador Lima;;;;;;;;;x
nick_magenta_emperor;Magenta Emperor;Empereur Magenta;;;El Emperador Magenta;;;;;;;;;x
nick_brown_emperor;Brown Emperor;Empereur Brun;;;El Emperador Marrón;;;;;;;;;x
nick_amethyst_emperor;Amethyst Emperor;Empereur d'Améthyste;;;El Emperador Amatista;;;;;;;;;x
nick_ashgrey_emperor;Ash Grey Emperor;Empereur Gris cendré;;;El Emperador Gris Ceniza;;;;;;;;;x
nick_blueviolet_emperor;Blue Violet Emperor;Empereur Violet Bleu;;;El Emperador Añil;;;;;;;;;x
nick_violet_emperor;Violet Emperor;Empereur Violet;;;El Emperador Violeta;;;;;;;;;x
nick_lilac_emperor;Lilac Emperor;Empereur Lilas;;;El Emperador Lila;;;;;;;;;x
nick_silver_emperor;Silver Emperor;Empereur d'Argent;;;El Emperador Plateado;;;;;;;;;x
nick_maroon_emperor;Maroon Emperor;Empereur Amarante;;;El Emperador Granate;;;;;;;;;x
nick_coralred_emperor;Coral Red Emperor;Empereur Rouge corail;;;El Emperador Coral;;;;;;;;;x
nick_fuchsia_emperor;Fuchsia Emperor;Empereur Fuschia;;;El Emperador Fucsia;;;;;;;;;x
nick_copper_emperor;Copper Emperor;Empereur de Cuivre;;;El Emperador Cobrizo;;;;;;;;;x
nick_fandango_emperor;Fandango Emperor;Empereur Rose saumon;;;El Emperador Carmesí;;;;;;;;;x
nick_mauve_emperor;Mauve Emperor;Empereur Mauve;;;El Emperador Malva;;;;;;;;;x
nick_taupe_emperor;Taupe Emperor;Empereur Marron;;;El Emperador Lava;;;;;;;;;x
nick_mossgreen_emperor;Moss Green Emperor;Empereur Vert mousse;;;El Emperador Primavera;;;;;;;;;x
nick_claret_emperor;Claret Emperor;Empereur Lie de Vin;;;El Emperador Guinda;;;;;;;;;x
nick_celadon_emperor;Celadon Emperor;Empereur Céladon;;;El Emperador Celadón;;;;;;;;;x
nick_carmine_emperor;Carmine Emperor;Empereur Carmin;;;El Emperador Carmín;;;;;;;;;x
nick_burgundy_emperor;Burgundy Emperor;Empereur Rouge sang;;;El Emperador Cordobán;;;;;;;;;x
nick_bronze_emperor;Bronze Emperor;Empereur de Bronze;;;El Emperador Ocre;;;;;;;;;x
nick_celeste_emperor;Celeste Emperor;Empereur Céleste;;;El Emperador Celeste;;;;;;;;;x
nick_pearlwhite_emperor;Pearl White Emperor;Empereur Blanc perle;;;El Emperador Blanco Perla;;;;;;;;;x
nick_pearl_emperor;Pearl Emperor;Empereur de Perle;;;El Emperador Perla;;;;;;;;;x
nick_jade_emperor;Jade Emperor;Empereur de Jade;;;El Emperador Jade;;;;;;;;;x
nick_tourmaline_emperor;Tourmaline Emperor;Empereur de Tourmaline;;;El Emperador Turmalina;;;;;;;;;x
nick_topaz_emperor;Topaz Emperor;Empereur de Topaze;;;El Emperador Topacio;;;;;;;;;x
nick_opal_emperor;Opal Emperor;Empereur d'Opale;;;El Emperador Ópalo;;;;;;;;;x
nick_bloodstone_emperor;Bloodstone Emperor;Empereur de Jaspe de Sang;;;El Emperador Sanguinaria;;;;;;;;;x
nick_iron_emperor;Iron Emperor;Empereur de Fer;;;El Emperador Férreo;;;;;;;;;x
nick_diamond_emperor;Diamond Emperor;Empereur de Diamant;;;El Emperador Diamante;;;;;;;;;x
nick_ruby_emperor;Ruby Emperor;Empereur de Rubis;;;El Emperador Rubí;;;;;;;;;x
nick_sapphire_emperor;Sapphire Emperor;Empereur de Saphir;;;El Emperador Záfiro;;;;;;;;;x
nick_amber_emperor;Amber Emperor;Empereur d'Ambre;;;El Emperador Ámbar;;;;;;;;;x
nick_aquamarine_emperor;Aquamarine Emperor;Empereur d'Aigue-marine;;;El Emperador Aguamarina;;;;;;;;;x
nick_emerald_emperor;Emerald Emperor;Empereur d'Emeraude;;;El Emperador Esmeralda;;;;;;;;;x
nick_fireopal_emperor;Fire Opal Emperor;Empereur d'Opale de feu;;;El Emperador Ópalo de Fuego;;;;;;;;;x
nick_ivory_emperor;Ivory Emperor;Empereur d'Ivoire;;;El Emperador Marfil;;;;;;;;;x
nick_jetblack_emperor;Jet Black Emperor;Empereur de Jais;;;El Emperador Azabache;;;;;;;;;x
nick_moonstone_emperor;Moonstone Emperor;Empereur de Pierre de lune;;;El Emperador Piedra de Luna;;;;;;;;;x
nick_turquoise_emperor;Turquoise Emperor;Empereur de Turquoise;;;El Emperador Turquesa;;;;;;;;;x
nick_obsidian_emperor;Obsidian Emperor;Empereur d'Obsidienne;;;El Emperador Obsidiana;;;;;;;;;x
nick_sunstone_emperor;Sunstone Emperor;Empereur d'Héliotite;;;El Emperador Piedra de Sol;;;;;;;;;x
nick_black_emperor;Black Emperor;Empereur Noir;;;El Emperador Negro;;;;;;;;;x
nick_white_emperor;White Emperor;Empereur Blanc ;;;El Emperador Blanco;;;;;;;;;x
nick_green_emperor;Green Emperor;Empereur Vert;;;El Emperador Verde;;;;;;;;;x
nick_tan_emperor;Tan Emperor;Empereur Brun roux;;;El Emperador Caoba;;;;;;;;;x
nick_lavender_emperor;Lavender Emperor;Empereur Lavande;;;El Emperador Lavanda;;;;;;;;;x
nick_pink_emperor;Pink Emperor;Empereur Rose;;;El Emperador Rosa;;;;;;;;;x
nick_cyan_emperor;Cyan Emperor;Empereur Cyan;;;El Emperador Cian;;;;;;;;;x
